,NHP2L1 (4809)
ACH-000004,-1.5148973484700001
ACH-000007,-1.33633737959
ACH-000009,-1.58258295427
ACH-000011,-1.18668866449
ACH-000012,-1.31252200641
ACH-000013,-1.5436269697799998
ACH-000014,-1.3258312754000001
ACH-000015,-1.5194961113799998
ACH-000017,-1.52761277216
ACH-000018,-1.11215377092
ACH-000019,-1.60961056402
ACH-000021,-1.22534228812
ACH-000022,-1.5172936323
ACH-000025,-1.47114251614
ACH-000028,-1.3639844633899998
ACH-000030,-1.37216218522
ACH-000035,-1.1019286752
ACH-000036,-1.4259499541999998
ACH-000037,-1.83138756197
ACH-000039,-1.50740989356
ACH-000040,-1.1307169055500002
ACH-000041,-1.40659832887
ACH-000042,-1.5193737997299999
ACH-000045,-1.63019214092
ACH-000047,-1.44850166149
ACH-000052,-1.27145110508
ACH-000053,-1.40626239101
ACH-000054,-1.4057557661500002
ACH-000055,-1.26758486986
ACH-000060,-0.918126022611
ACH-000067,-1.18756265756
ACH-000070,-1.55614024486
ACH-000075,-1.29190624936
ACH-000078,-1.40364465932
ACH-000082,-1.4613428735
ACH-000085,-1.05029239453
ACH-000086,-1.09077109929
ACH-000087,-1.3392623206
ACH-000092,-1.5771237307
ACH-000095,-1.44074979667
ACH-000097,-1.3153899574099999
ACH-000098,-1.46562200813
ACH-000099,-1.54083974246
ACH-000108,-1.25494731752
ACH-000113,-1.55174483344
ACH-000115,-1.6925140789500002
ACH-000116,-1.3718832906799998
ACH-000118,-1.32352267056
ACH-000120,-1.18363841682
ACH-000123,-1.57892123532
ACH-000127,-1.38058704085
ACH-000128,-1.65202102835
ACH-000132,-1.56995326183
ACH-000133,-1.4658497908700001
ACH-000137,-1.4151079602599999
ACH-000138,-1.35549976477
ACH-000142,-1.33240128545
ACH-000143,-1.24635715273
ACH-000146,-1.7212734456599998
ACH-000148,-1.2231298204
ACH-000150,-1.1733523022
ACH-000152,-1.38387091269
ACH-000153,-1.4572028270700002
ACH-000159,-1.1922374290200002
ACH-000160,-1.7108919862399998
ACH-000163,-1.30849605001
ACH-000167,-1.8081117669799998
ACH-000168,-1.3413490741
ACH-000169,-1.2485181596
ACH-000178,-1.47202013736
ACH-000182,-1.56978776764
ACH-000183,-1.27253223922
ACH-000188,-1.35071087375
ACH-000189,-1.0610927859600001
ACH-000190,-1.30382137888
ACH-000198,-1.7431196842200003
ACH-000204,-1.5308145878900001
ACH-000206,-1.7444581253099998
ACH-000207,-1.70511891427
ACH-000211,-1.31560323611
ACH-000215,-1.5978733786000001
ACH-000221,-1.8639236334
ACH-000222,-1.16836558349
ACH-000223,-1.6388517182100002
ACH-000226,-1.26545088325
ACH-000227,-2.02484138786
ACH-000228,-1.48082679399
ACH-000231,-1.4730277633500002
ACH-000232,-1.65076939736
ACH-000233,-1.47693118118
ACH-000234,-1.37284790495
ACH-000235,-1.4219985739899998
ACH-000237,-1.3092832419
ACH-000238,-1.39761170274
ACH-000243,-1.38385444946
ACH-000244,-1.50539535502
ACH-000246,-1.19228531871
ACH-000248,-1.3522586377
ACH-000250,-1.64145214196
ACH-000251,-1.14721445112
ACH-000253,-1.3302764274299999
ACH-000255,-1.01980681659
ACH-000256,-1.4354288186700002
ACH-000257,-1.4922662865799998
ACH-000258,-1.7701994395200003
ACH-000259,-1.49350907656
ACH-000260,-1.4973935265
ACH-000261,-1.4988100314500001
ACH-000262,-1.3025765276899999
ACH-000263,-1.59124288105
ACH-000264,-1.7745349481000001
ACH-000265,-1.309348271
ACH-000266,-1.36652975709
ACH-000272,-1.4936234448399999
ACH-000273,-1.489878986
ACH-000274,-1.81709484397
ACH-000277,-1.42867899618
ACH-000278,-1.39753057385
ACH-000279,-1.71918142667
ACH-000280,-1.3405185933200001
ACH-000281,-0.892508284551
ACH-000288,-1.51470153584
ACH-000291,-1.25522263891
ACH-000293,-1.56592471563
ACH-000294,-1.31020334831
ACH-000295,-1.87454532535
ACH-000296,-1.3359429889
ACH-000302,-2.02358477137
ACH-000304,-1.6505923282100001
ACH-000307,-1.41524321859
ACH-000308,-1.7183079313999998
ACH-000310,-1.66242344025
ACH-000311,-1.50089744908
ACH-000312,-1.2989899276299999
ACH-000315,-1.19591361078
ACH-000316,-1.34282662693
ACH-000317,-1.03994314662
ACH-000318,-1.29835410535
ACH-000319,-1.24285409287
ACH-000320,-1.43201783394
ACH-000322,-1.2881756039299999
ACH-000323,-1.38470210537
ACH-000324,-1.2762600766299999
ACH-000329,-1.4687740387600001
ACH-000330,-1.4110428924399998
ACH-000331,-1.2302943758
ACH-000332,-1.3192838293200002
ACH-000334,-1.97408723846
ACH-000335,-1.0937907833299998
ACH-000336,-1.58502225859
ACH-000337,-1.27457548339
ACH-000339,-1.3484416102399999
ACH-000341,-1.5544712385
ACH-000348,-1.58504769377
ACH-000350,-1.99105543219
ACH-000352,-1.3943839353799998
ACH-000356,-1.2955311577
ACH-000361,-1.06588401392
ACH-000362,-1.72918525158
ACH-000363,-1.61515507839
ACH-000364,-1.31571929226
ACH-000365,-1.5714109985
ACH-000366,-1.48750854086
ACH-000368,-0.9858206094840001
ACH-000374,-1.26131877628
ACH-000375,-1.28320090332
ACH-000376,-1.35494163915
ACH-000381,-1.23206804249
