,INO80 (54617)
ACH-000004,-0.54985891643
ACH-000007,-0.68104795049
ACH-000009,-0.539412088147
ACH-000011,-0.8867895869269999
ACH-000012,-0.558996833246
ACH-000013,-0.8499594908589999
ACH-000014,-0.6736631815009999
ACH-000015,-0.7893094309
ACH-000017,-0.611252967763
ACH-000018,-0.625464225736
ACH-000019,-0.382107765651
ACH-000021,-0.468457780529
ACH-000022,-0.7189936614939999
ACH-000025,-0.658153371189
ACH-000028,-0.292103126274
ACH-000030,-0.38111699788599995
ACH-000035,-0.833260427869
ACH-000036,-0.528290225541
ACH-000037,-0.295581462761
ACH-000039,-0.32734041582199996
ACH-000040,-0.321447065242
ACH-000041,-0.316602539287
ACH-000042,-0.278161500519
ACH-000045,-0.622983767456
ACH-000047,-0.49398975141900003
ACH-000052,-0.35670160894
ACH-000053,-0.725084274097
ACH-000054,-0.681722257965
ACH-000055,-0.41962928565700003
ACH-000060,-0.785985474735
ACH-000067,-0.39587518131899996
ACH-000070,-0.926840694897
ACH-000075,-0.46561474018200005
ACH-000078,-0.246044453608
ACH-000082,-0.712695569817
ACH-000085,-0.7621467249189999
ACH-000086,-0.498732484751
ACH-000087,-0.898312089607
ACH-000092,-0.437391034256
ACH-000095,-0.40179901319600003
ACH-000097,-0.55747717336
ACH-000098,-0.383746520122
ACH-000099,-0.44515304009900003
ACH-000108,-0.465724596386
ACH-000113,-0.525830404633
ACH-000115,-0.925965290877
ACH-000116,-0.561490525806
ACH-000118,-0.6830413912540001
ACH-000120,-0.902989015389
ACH-000123,-0.498935506675
ACH-000127,-0.547574124122
ACH-000128,-0.523667686276
ACH-000132,-0.675821570072
ACH-000133,-0.680393204985
ACH-000137,-0.45864588988300004
ACH-000138,-0.568592689811
ACH-000142,-0.512259995679
ACH-000143,-0.470762500111
ACH-000146,-0.33525101436099997
ACH-000148,-0.594344766941
ACH-000150,-0.288434791853
ACH-000152,-0.41829807320699997
ACH-000153,-0.576579725357
ACH-000159,-0.33678490855899995
ACH-000160,-0.0682491479667
ACH-000163,-0.363888552895
ACH-000167,-0.0914509959237
ACH-000168,-0.39654399282799996
ACH-000169,-0.663329276067
ACH-000178,-0.704198967026
ACH-000182,-0.599746435286
ACH-000183,-0.564418357199
ACH-000188,-0.61376527498
ACH-000189,-0.41657846529700004
ACH-000190,-0.521657252478
ACH-000198,-0.522494728048
ACH-000204,-0.37650800441200005
ACH-000206,-0.546645687626
ACH-000207,-0.28058584310199997
ACH-000211,-0.449996331403
ACH-000215,-0.343980702956
ACH-000221,-0.631769373565
ACH-000222,-0.580920324005
ACH-000223,-0.7098755126749999
ACH-000226,-0.607596350954
ACH-000227,-0.9286010104189999
ACH-000228,-0.731761855688
ACH-000231,-0.667679100892
ACH-000232,-0.618908918229
ACH-000233,-0.6657004940169999
ACH-000234,-0.796068901435
ACH-000235,-0.39437334707800004
ACH-000237,-0.9533383699789999
ACH-000238,-0.45028589299800004
ACH-000243,-0.8488868330399999
ACH-000244,-1.04621154576
ACH-000246,-0.792106707739
ACH-000248,-0.596339006719
ACH-000250,-0.6850323133759999
ACH-000251,-0.783432981801
ACH-000253,-0.502786661134
ACH-000255,-0.423550694598
ACH-000256,-0.487721810531
ACH-000257,-0.76680506818
ACH-000258,-0.303378737794
ACH-000259,-0.311432020984
ACH-000260,-0.632630044648
ACH-000261,-0.768599576415
ACH-000262,-0.5116682620699999
ACH-000263,-0.41321738188100005
ACH-000264,-0.921589869127
ACH-000265,-0.707222083527
ACH-000266,-0.498687684459
ACH-000272,-0.31973067846000003
ACH-000273,-0.321484972297
ACH-000274,-0.795965509708
ACH-000277,-0.627618471769
ACH-000278,-0.927957912623
ACH-000279,-0.526813968392
ACH-000280,-0.6656199225289999
ACH-000281,-0.590709343779
ACH-000288,-0.413955452654
ACH-000291,-0.585890773969
ACH-000293,-0.6852531034170001
ACH-000294,-0.767517621954
ACH-000295,-0.33610675506300003
ACH-000296,-0.644053283402
ACH-000302,-0.952657033011
ACH-000304,-0.8181587986750001
ACH-000307,-0.618660561622
ACH-000308,-0.41206958376100006
ACH-000310,-0.346588539001
ACH-000311,-0.54446774828
ACH-000312,-0.5180978260119999
ACH-000315,-0.798567291261
ACH-000316,-0.756641081072
ACH-000317,-0.451435616877
ACH-000318,-0.7395980437019999
ACH-000319,-0.663150553178
ACH-000320,-0.50175571493
ACH-000322,-0.807099870405
ACH-000323,-0.6383396141
ACH-000324,-0.652088812479
ACH-000329,-0.225688100081
ACH-000330,-0.484609310115
ACH-000331,-0.714994122313
ACH-000332,-0.734027188132
ACH-000334,-0.495838326634
ACH-000335,-0.7479948797079999
ACH-000336,-0.17830749972600002
ACH-000337,-0.741837470165
ACH-000339,-0.25797683748000005
ACH-000341,-0.930324713477
ACH-000348,-0.7173299464759999
ACH-000350,-0.5602513237510001
ACH-000352,-0.5956538656979999
ACH-000356,-0.6119094007729999
ACH-000361,-0.617902545854
ACH-000362,-0.5235477777750001
ACH-000363,-0.601655908943
ACH-000364,-0.329093214664
ACH-000365,-0.526877800285
ACH-000366,-0.463373083032
ACH-000368,-0.5621008000450001
ACH-000374,-0.605998556679
ACH-000375,-0.673474720236
ACH-000376,-0.611250545386
ACH-000381,-0.588753652565
ACH-000383,-0.49263105498899995
ACH-000387,-0.55913265376
ACH-000389,-0.558302724313
ACH-000390,-0.377863319367
ACH-000393,-0.6781300340109999
ACH-000395,-0.433350107579
ACH-000397,-0.554037077476
ACH-000401,-0.7290380422139999
ACH-000402,-0.531483537592
ACH-000403,-0.750322447611
ACH-000404,-0.152500017042
ACH-000406,-0.370803008812
ACH-000407,-0.658621339435
ACH-000408,-0.678640775631
ACH-000410,-0.7082074443359999
ACH-000411,-0.6109406289679999
ACH-000414,-0.7263965518559999
ACH-000415,-0.609011922336
ACH-000416,-0.536633278541
ACH-000420,-0.624452404673
ACH-000421,-0.651864820909
ACH-000424,-0.6783601812450001
ACH-000425,-0.943621237624
ACH-000426,-0.529019229172
ACH-000427,-0.606979383246
ACH-000433,-0.388483935096
ACH-000436,-0.427934020277
ACH-000444,-0.8070703585969999
ACH-000445,-0.510988093957
ACH-000448,-0.816809437648
ACH-000450,-0.569792433038
ACH-000452,-0.590972113564
ACH-000454,-0.305301700164
ACH-000458,-0.6005977953230001
ACH-000459,-0.5447625047
ACH-000460,-0.7619843206999999
ACH-000461,-0.617121586432
ACH-000463,-0.544345025219
ACH-000464,-0.761636183074
ACH-000466,-0.2636832187
ACH-000467,-0.617278113485
ACH-000468,-0.829816812517
ACH-000469,-0.6548286272730001
ACH-000470,-0.666631049339
ACH-000471,-0.7008860839669999
ACH-000472,-0.58091478482
ACH-000473,-0.707251449939
ACH-000475,-0.265784925449
ACH-000476,-0.517331540083
ACH-000477,-0.716823886332
ACH-000480,-0.606156632262
ACH-000481,-0.9213535858580001
ACH-000483,-0.930715906524
ACH-000484,-0.47974631782899996
ACH-000485,-0.505178693003
ACH-000486,-0.6607096850190001
ACH-000487,-0.564752029372
ACH-000488,-0.546668792528
ACH-000490,-0.653074460236
ACH-000491,-0.420411157936
ACH-000495,-0.7741953284800001
ACH-000496,-0.398396345287
ACH-000499,-0.495552370621
ACH-000500,-0.370397478742
ACH-000502,-0.47728662497900004
ACH-000503,-0.954341061776
ACH-000505,-0.853060319331
ACH-000507,-0.660474368824
ACH-000510,-0.544457408843
ACH-000511,-0.546963922075
ACH-000512,-0.792208901401
ACH-000516,-0.635082312297
ACH-000517,-0.609580522174
ACH-000518,-0.442248158301
ACH-000520,-0.6730672562119999
ACH-000521,-0.34478974590000006
ACH-000522,-0.30671075486099997
ACH-000524,-0.43922604086499994
ACH-000527,-0.86801924779
ACH-000528,-0.611485155445
ACH-000537,-0.468938583807
ACH-000541,-0.18665319520999998
ACH-000542,-0.408784837015
ACH-000544,-0.524405564674
ACH-000545,-0.6299017146399999
ACH-000547,-0.707885454888
ACH-000548,-0.882831877067
ACH-000549,-0.892750930705
ACH-000550,-0.7751795612710001
ACH-000552,-0.334711427889
ACH-000556,-0.7405308070700001
ACH-000557,0.055495345407999996
ACH-000570,-0.71708735463
ACH-000571,-0.8209155960629999
ACH-000573,-0.524562192968
ACH-000576,-0.5053804106399999
ACH-000580,-0.573596772104
ACH-000584,-0.550524844363
ACH-000585,-0.319506219194
ACH-000588,-0.618489861231
ACH-000589,-0.738453374658
ACH-000591,-0.394598275801
ACH-000593,-0.498023846233
ACH-000600,-0.9179750764579999
ACH-000601,-0.666120783337
ACH-000604,-0.33794185025
ACH-000605,-0.521853015254
ACH-000606,-0.598698982567
ACH-000608,-0.47757867541999993
ACH-000614,-1.17124817372
ACH-000616,-0.6884712962980001
ACH-000618,-0.660438961122
ACH-000619,-0.7531881022849999
ACH-000620,-0.836901322838
ACH-000621,-0.599820940889
ACH-000622,-0.6336814122760001
