,ATG16L2 (89849)
ACH-000004,-0.42974723848800006
ACH-000007,-0.0539427845295
ACH-000009,-0.319121990066
ACH-000011,-0.0817441061776
ACH-000012,-0.48897327003700003
ACH-000013,-0.129454857378
ACH-000014,0.0751648635877
ACH-000015,-0.116202938595
ACH-000017,-0.30302287004
ACH-000018,0.013609685334199999
ACH-000019,-0.24512684929200002
ACH-000021,-0.25232847131999997
ACH-000022,-0.119622562445
ACH-000025,-0.125326534425
ACH-000028,-0.259745702411
ACH-000030,-0.251179786532
ACH-000035,-0.0685950044324
ACH-000036,-0.139131189541
ACH-000037,-0.37143943857699996
ACH-000039,-0.444618449028
ACH-000040,-0.193707140226
ACH-000041,-0.0853442026842
ACH-000042,-0.263130898844
ACH-000045,-0.130850460484
ACH-000047,-0.22709289012699999
ACH-000052,-0.143845808247
ACH-000053,-0.104550407653
ACH-000054,-0.16987208547000002
ACH-000055,-0.13395704787499998
ACH-000060,-0.238271848697
ACH-000067,-0.160570646083
ACH-000070,-0.289483844457
ACH-000075,-0.155506435946
ACH-000078,-0.279366791208
ACH-000082,-0.263611583774
ACH-000085,-0.324585544568
ACH-000086,-0.35601664618100004
ACH-000087,0.248909253312
ACH-000092,-0.153362044852
ACH-000095,-0.390855044345
ACH-000097,-0.299846254842
ACH-000098,-0.23278978048
ACH-000099,-0.42566128529799996
ACH-000108,-0.276595452608
ACH-000113,-0.149795623058
ACH-000115,0.10014800731899999
ACH-000116,-0.322701085428
ACH-000118,-0.08241344182030001
ACH-000120,-0.015411488946200001
ACH-000123,-0.0630555081584
ACH-000127,-0.109313213895
ACH-000128,-0.178880069364
ACH-000132,-0.19339515599800003
ACH-000133,-0.0668348244926
ACH-000137,-0.150809744932
ACH-000138,-0.287269449956
ACH-000142,-0.21362577895399998
ACH-000143,-0.115839879774
ACH-000146,-0.221812661114
ACH-000148,-0.0263702139702
ACH-000150,-0.27858803534000004
ACH-000152,-0.166514094409
ACH-000153,-0.164793767222
ACH-000159,-0.12268633025
ACH-000160,-0.402376222668
ACH-000163,0.045642202664800006
ACH-000167,-0.555035772193
ACH-000168,-0.32451275925
ACH-000169,-0.189391686492
ACH-000178,-0.19184539736200001
ACH-000182,-0.14255419915200002
ACH-000183,-0.062154895660100004
ACH-000188,-0.13930421770600002
ACH-000189,-0.537091999981
ACH-000190,-0.0944704998229
ACH-000198,-0.30000966475499996
ACH-000204,-0.223547731846
ACH-000206,-0.071354660774
ACH-000207,-0.588707100644
ACH-000211,-0.07605074701460002
ACH-000215,-0.186044662929
ACH-000221,-0.26785650164
ACH-000222,-0.0292389114461
ACH-000223,-0.41898842158200006
ACH-000226,-0.450879489172
ACH-000227,-0.08911135733239998
ACH-000228,-0.393381506251
ACH-000231,-0.10209468308900001
ACH-000232,-0.16955858088599998
ACH-000233,-0.107627766119
ACH-000234,-0.21399508837099998
ACH-000235,-0.20449951393500002
ACH-000237,-0.177831156618
ACH-000238,-0.146748718525
ACH-000243,-0.193508776981
ACH-000244,-0.300942986609
ACH-000246,-0.32696868585
ACH-000248,-0.249593917572
ACH-000250,-0.24970731928399997
ACH-000251,-0.350340795664
ACH-000253,-0.32315960134300004
ACH-000255,-0.351847313052
ACH-000256,-0.128369327098
ACH-000257,0.017162187656700002
ACH-000258,0.097505964848
ACH-000259,-0.301884748051
ACH-000260,-0.367975694079
ACH-000261,-0.09875792571860001
ACH-000262,-0.187978872003
ACH-000263,0.183440555742
ACH-000264,-0.38490628711499997
ACH-000265,-0.351926982699
ACH-000266,-0.26296737107900003
ACH-000272,-0.26334138152
ACH-000273,-0.166736655836
ACH-000274,-0.264300864465
ACH-000277,-0.10046910045700001
ACH-000278,-0.25108508432300003
ACH-000279,-0.13081187990499998
ACH-000280,-0.24932032115299999
ACH-000281,-0.25070530367
ACH-000288,-0.207547665057
ACH-000291,0.079702342264
ACH-000293,-0.246092231787
ACH-000294,-0.30088398962699997
ACH-000295,0.20451425851799998
ACH-000296,-0.280161307176
ACH-000302,-0.217358633023
ACH-000304,-0.428273293419
ACH-000307,-0.122443817534
ACH-000308,-0.195105895167
ACH-000310,-0.54900727835
ACH-000311,-0.544494519374
ACH-000312,-0.350188700967
ACH-000315,-0.23449349014
ACH-000316,-0.0468165906214
ACH-000317,-0.03476478631430001
ACH-000318,-0.23021666376699998
ACH-000319,-0.25418730466
ACH-000320,-0.428530664977
ACH-000322,-0.289660626331
ACH-000323,-0.203708091649
ACH-000324,-0.24225292283000002
ACH-000329,-0.14348754448200002
ACH-000330,-0.21426267670200003
ACH-000331,-0.24174432952199998
ACH-000332,-0.292409896019
ACH-000334,-0.44915605686300003
ACH-000335,-0.0188626218002
ACH-000336,-0.0024811678922399996
ACH-000337,-0.341432757997
ACH-000339,-0.178445654591
ACH-000341,-0.242873293195
ACH-000348,-0.198754299113
ACH-000350,-0.199465083363
ACH-000352,-0.17359743107099998
ACH-000356,-0.20786548211599998
ACH-000361,0.05043668366330001
ACH-000362,-0.237085750238
ACH-000363,-0.155125594731
ACH-000364,-0.208445796175
