,APEH (327)
ACH-000004,-0.278954851909
ACH-000007,-0.22761090442200002
ACH-000009,-0.0674176523235
ACH-000011,-0.21577490320599998
ACH-000012,-0.283445094154
ACH-000013,-0.0847985908861
ACH-000014,-0.131352124424
ACH-000015,-0.152927894334
ACH-000017,-0.045609808469699996
ACH-000018,-0.22723748628899998
ACH-000019,-0.249550716844
ACH-000021,-0.205873216455
ACH-000022,-0.0552370455255
ACH-000025,-0.123312320417
ACH-000028,-0.206773537067
ACH-000030,-0.238492084996
ACH-000035,-0.008644510017799999
ACH-000036,-0.257968309804
ACH-000037,-0.027033393181500002
ACH-000039,-0.19983525786800002
ACH-000040,-0.107633393696
ACH-000041,-0.017399758575400003
ACH-000042,-0.302531444709
ACH-000045,-0.18323359228100003
ACH-000047,-0.0773566020655
ACH-000052,0.128745397697
ACH-000053,-0.266893550372
ACH-000054,-0.362467981219
ACH-000055,-0.155631097817
ACH-000060,-0.21186366159000003
ACH-000067,-0.14475099345999998
ACH-000070,-0.0749066087318
ACH-000075,-0.186679862479
ACH-000078,-0.205309029308
ACH-000082,-0.096163733971
ACH-000085,-0.017481037583700003
ACH-000086,-0.217151493934
ACH-000087,-0.136379306827
ACH-000092,-0.228926273761
ACH-000095,-0.21277869360999999
ACH-000097,-0.24704184956
ACH-000098,-0.197773256699
ACH-000099,-0.149927019192
ACH-000108,-0.124481017542
ACH-000113,-0.158545579065
ACH-000115,0.0048499173842499995
ACH-000116,-0.246764221862
ACH-000118,-0.40783784170599996
ACH-000120,-0.25163486593199996
ACH-000123,-0.255167677586
ACH-000127,-0.211151761701
ACH-000128,-0.176826106882
ACH-000132,-0.07232134700489999
ACH-000133,-0.160967939038
ACH-000137,-0.08408798140589999
ACH-000138,-0.369509333966
ACH-000142,-0.20995748476300002
ACH-000143,-0.009749717341520001
ACH-000146,-0.323045636975
ACH-000148,-0.164916646567
ACH-000150,-0.295590364662
ACH-000152,-0.138621036416
ACH-000153,0.0442020058368
ACH-000159,-0.17667933753400003
ACH-000160,-0.199291783086
ACH-000163,-0.130937329327
ACH-000167,-0.34036641823299996
ACH-000168,-0.481448896435
ACH-000169,-0.211596856786
ACH-000178,-0.125026094116
ACH-000182,-0.22368474784200001
ACH-000183,-0.22178825149300002
ACH-000188,-0.34436180493900004
ACH-000189,-0.441749237219
ACH-000190,0.04251413635419999
ACH-000198,-0.18305791994800003
ACH-000204,-0.153949107197
ACH-000206,-0.223986339783
ACH-000207,-0.5313628152250001
ACH-000211,-0.26267036137099997
ACH-000215,-0.09316964921250001
ACH-000221,-0.12226393576
ACH-000222,-0.361795927738
ACH-000223,-0.20808472243700002
ACH-000226,-0.146366412608
ACH-000227,-0.281020450325
ACH-000228,-0.253503891524
ACH-000231,-0.22396792573399998
ACH-000232,-0.170912497168
ACH-000233,-0.301891951011
ACH-000234,-0.18111394875
ACH-000235,-0.137133754319
ACH-000237,-0.143315347864
ACH-000238,-0.165334493578
ACH-000243,-0.28736899540800004
ACH-000244,-0.42232342132
ACH-000246,-0.217134506905
ACH-000248,-0.17763255377700002
ACH-000250,-0.160941988042
ACH-000251,-0.0611611982871
ACH-000253,-0.08750236262830001
ACH-000255,-0.247844327597
ACH-000256,-0.033777598032400005
ACH-000257,-0.39522296453199995
ACH-000258,-0.41739367816
ACH-000259,-0.260928504615
ACH-000260,-0.154720053708
ACH-000261,-0.147409465957
ACH-000262,0.059260240035100005
ACH-000263,-0.11416649394200001
ACH-000264,-0.318714152414
ACH-000265,-0.362811161088
ACH-000266,-0.20953693459000003
ACH-000272,-0.275206841718
ACH-000273,-0.336349684119
ACH-000274,-0.38495682427
ACH-000277,-0.233916192073
ACH-000278,-0.08963384468930001
ACH-000279,-0.044934396049
ACH-000280,-0.302691069987
ACH-000281,-0.407457136638
ACH-000288,-0.129415345451
ACH-000291,-0.270909390714
ACH-000293,-0.251207992605
ACH-000294,-0.133376056652
ACH-000295,-0.0623303444026
ACH-000296,-0.0997520043485
ACH-000302,-0.231169980015
ACH-000304,-0.144050811781
ACH-000307,-0.20966684298000002
ACH-000308,-0.131920499302
ACH-000310,-0.21365269608800003
ACH-000311,-0.362364816812
ACH-000312,-0.21716892393000004
ACH-000315,0.204234446914
ACH-000316,-0.312137585785
ACH-000317,-0.310455274245
ACH-000318,-0.226774056195
ACH-000319,0.039581846978000004
ACH-000320,-0.428611767616
ACH-000322,-0.17112832979000003
ACH-000323,-0.159858259041
ACH-000324,-0.22398089113000003
ACH-000329,-0.32550009448600004
ACH-000330,-0.287148557696
ACH-000331,-0.09223253881020001
ACH-000332,-0.17144462477800002
ACH-000334,0.0592535787349
ACH-000335,-0.309747341743
ACH-000336,-0.00757134086585
ACH-000337,-0.0997089784728
ACH-000339,-0.266239859006
ACH-000341,-0.163676408583
ACH-000348,-0.1259365595
ACH-000350,-0.0657469290071
ACH-000352,-0.191588349664
ACH-000356,-0.259425951415
ACH-000361,-0.201435724353
ACH-000362,-0.231437800004
ACH-000363,-0.0736416176765
ACH-000364,-0.23766514150600002
ACH-000365,-0.17471476360899998
ACH-000366,-0.166214688789
ACH-000368,-0.10841279382300001
ACH-000374,-0.182018033079
ACH-000375,-0.249450519349
ACH-000376,-0.135167858011
ACH-000381,-0.277526219209
ACH-000383,-0.31314609104
ACH-000387,-0.296516462341
ACH-000389,-0.220116407113
ACH-000390,-0.248474610242
ACH-000393,-0.292007943393
ACH-000395,-0.264563038908
ACH-000397,-0.114844357891
ACH-000401,-0.223865905263
ACH-000402,-0.393684168072
ACH-000403,-0.175409348123
ACH-000404,-0.46802440447899996
ACH-000406,-0.101830070428
ACH-000407,-0.10872482033299999
ACH-000408,-0.151429107926
ACH-000410,-0.283328289526
ACH-000411,-0.255057397005
ACH-000414,-0.243092456024
ACH-000415,-0.209355053114
ACH-000416,-0.055065169376800005
ACH-000420,-0.432226620758
ACH-000421,-0.11428495295999998
ACH-000424,-0.39332148941399997
ACH-000425,-0.207109772887
ACH-000426,-0.306975123563
ACH-000427,0.00782308352999
ACH-000433,-0.21935819539999998
ACH-000436,-0.334764018004
ACH-000444,-0.346956025236
ACH-000445,-0.174524025484
ACH-000448,-0.113711929101
ACH-000450,-0.322379429753
ACH-000452,-0.179490795722
ACH-000454,-0.214474095907
ACH-000458,-0.310029307946
ACH-000459,-0.0351043054545
ACH-000460,-0.112550867372
ACH-000461,-0.18552494530699998
ACH-000463,-0.23078316061299997
ACH-000464,-0.49127641812600004
ACH-000466,-0.20857249729200003
ACH-000467,-0.293495305445
ACH-000468,-0.179480727559
ACH-000469,-0.28528553912
ACH-000470,-0.15267799775000002
ACH-000471,-0.135708993219
ACH-000472,-0.298475568663
ACH-000473,-0.0888989228393
ACH-000475,-0.110340436438
ACH-000476,-0.24254187336
ACH-000477,-0.18004680948399998
ACH-000480,-0.048506984135
ACH-000481,-0.154957875874
ACH-000483,-0.10451636204399999
ACH-000484,-0.271662306373
ACH-000485,-0.298757048447
ACH-000486,-0.318835311763
ACH-000487,0.033359638826900004
ACH-000488,-0.235320035963
ACH-000490,-0.246447560575
ACH-000491,-0.227302775378
ACH-000495,-0.27807396659899997
ACH-000496,-0.18450040762000003
ACH-000499,-0.22810441211899998
ACH-000500,-0.243958971639
ACH-000502,-0.300264351086
ACH-000503,-0.47287579763899995
ACH-000505,-0.18060547694499998
ACH-000507,-0.026995088321700004
ACH-000510,-0.181816171164
ACH-000511,-0.166049001581
ACH-000512,0.09296287451189998
ACH-000516,-0.160245483057
ACH-000517,-0.15453695384500002
ACH-000518,0.050735112888099995
ACH-000520,-0.132957876137
ACH-000521,-0.111075254911
ACH-000522,-0.319657163586
ACH-000524,-0.247539208849
ACH-000527,-0.299697242265
ACH-000528,-0.163249852134
ACH-000537,-0.172806163757
ACH-000541,0.028020972273
ACH-000542,-0.195341347729
ACH-000544,-0.159864479987
ACH-000545,-0.123910796711
ACH-000547,-0.34438425085999996
ACH-000548,-0.212408142534
ACH-000549,-0.211703409444
ACH-000550,-0.370805251783
ACH-000552,-0.13131191324000002
ACH-000556,-0.351439751975
ACH-000557,-0.0808902471463
ACH-000570,-0.106898669664
ACH-000571,-0.16991184148699998
ACH-000573,-0.125128891675
ACH-000576,-0.132620140853
ACH-000580,-0.26212046815400003
ACH-000584,-0.111471510968
ACH-000585,-0.14603839353599998
ACH-000588,0.09840751937999999
ACH-000589,-0.3325195978
ACH-000591,-0.18436883842399998
ACH-000593,-0.0832887517955
ACH-000600,-0.167246683517
ACH-000601,-0.23755012883
ACH-000604,0.143562977476
ACH-000605,-0.281957280127
ACH-000606,-0.357551267364
ACH-000608,-0.229482722718
ACH-000614,-0.324577866569
ACH-000616,-0.11572384147199999
ACH-000618,-0.392403326869
ACH-000619,-0.222770833523
ACH-000620,-0.224340635685
