,DGKA (1606)
ACH-000004,-0.122172533487
ACH-000007,-0.167592536679
ACH-000009,-0.274840952114
ACH-000011,0.0316547157408
ACH-000012,-0.23779878719300002
ACH-000013,-0.164863131408
ACH-000014,-0.019094563677700002
ACH-000015,-0.273523891329
ACH-000017,-0.17941719094900002
ACH-000018,-0.380499753477
ACH-000019,-0.213993247812
ACH-000021,-0.205796421592
ACH-000022,-0.183090829974
ACH-000025,-0.36112556525399997
ACH-000028,-0.288986964665
ACH-000030,-0.165485161905
ACH-000035,-0.41830713025399996
ACH-000036,-0.0666239702619
ACH-000037,-0.323370220979
ACH-000039,-0.45366335255
ACH-000040,-0.233303966054
ACH-000041,-0.344249114851
ACH-000042,-0.23449341924199998
ACH-000045,-0.328060648678
ACH-000047,-0.20147508646600001
ACH-000052,-0.210871859379
ACH-000053,-0.282457049914
ACH-000054,-0.306255382694
ACH-000055,-0.293990663017
ACH-000060,-0.10743541544099999
ACH-000067,-0.341366365988
ACH-000070,-0.15848403595899999
ACH-000075,-0.206992936291
ACH-000078,-0.145460406191
ACH-000082,-0.187783991593
ACH-000085,-0.21517714143000002
ACH-000086,-0.37962490568499996
ACH-000087,-0.268510442897
ACH-000092,0.0009089078079789999
ACH-000095,-0.0769987697789
ACH-000097,-0.196991744056
ACH-000098,-0.103587498643
ACH-000099,-0.127913939083
ACH-000108,-0.0060181871616800005
ACH-000113,-0.248321974203
ACH-000115,-0.41442952705700004
ACH-000116,-0.256159591453
ACH-000118,-0.27396231082
ACH-000120,-0.26309834527
ACH-000123,-0.383070382371
ACH-000127,-0.163852503201
ACH-000128,-0.34760428612899996
ACH-000132,-0.16192222261
ACH-000133,-0.221332035148
ACH-000137,-0.344850325029
ACH-000138,-0.0404219453846
ACH-000142,-0.160768340895
ACH-000143,0.0277163156104
ACH-000146,-0.086313152429
ACH-000148,-0.30368844451099997
ACH-000150,-0.248575954086
ACH-000152,-0.44433358444399995
ACH-000153,-0.24669103533199999
ACH-000159,-0.149307751218
ACH-000160,-0.23981143603900001
ACH-000163,-0.387263195206
ACH-000167,-0.49290840910800005
ACH-000168,-0.246723530942
ACH-000169,-0.257743794742
ACH-000178,-0.0952995741785
ACH-000182,-0.119450497918
ACH-000183,-0.125073070109
ACH-000188,-0.0773224190188
ACH-000189,-0.7495664920980001
ACH-000190,-0.493614659493
ACH-000198,-0.19802597050299997
ACH-000204,-0.331494248672
ACH-000206,0.0730209582221
ACH-000207,-0.220181972029
ACH-000211,-0.07226527628010002
ACH-000215,-0.24492617151700002
ACH-000221,-0.272944041206
ACH-000222,-0.248859883632
ACH-000223,-0.322169141194
ACH-000226,-0.198980261992
ACH-000227,-0.33582914259900004
ACH-000228,-0.262650176304
ACH-000231,-0.123379817003
ACH-000232,-0.182679895589
ACH-000233,-0.21068987127
ACH-000234,-0.389274575164
ACH-000235,-0.207952894675
ACH-000237,-0.17690710594300002
ACH-000238,-0.19363392578400002
ACH-000243,-0.289047470433
ACH-000244,-0.508630878525
ACH-000246,-0.183906558119
ACH-000248,-0.206735262016
ACH-000250,-0.114073643063
ACH-000251,-0.18081482962099998
ACH-000253,-0.179769004715
ACH-000255,-0.18418196953899998
ACH-000256,-0.595999764412
ACH-000257,0.17652426454300002
ACH-000258,-0.0182565206911
ACH-000259,-0.21167050586
ACH-000260,-0.12222193446900001
ACH-000261,-0.236251111144
ACH-000262,-0.34211308346
ACH-000263,-0.28525868914700003
ACH-000264,-0.25210044275800003
ACH-000265,-0.155522634777
ACH-000266,-0.273875406792
ACH-000272,-0.0969909983408
ACH-000273,-0.1063287533
ACH-000274,-0.207455197291
ACH-000277,-0.238495528156
ACH-000278,-0.274382329898
ACH-000279,-0.377487658499
ACH-000280,-0.170484620413
ACH-000281,-0.42878525791999994
ACH-000288,-0.289007355024
ACH-000291,-0.13097423002800002
ACH-000293,-0.0628879504339
ACH-000294,-0.137509785186
ACH-000295,-0.418061798741
ACH-000296,-0.39677427344000005
ACH-000302,-0.312232041606
ACH-000304,-0.383942281518
ACH-000307,-0.236891434278
ACH-000308,-0.271472555353
ACH-000310,-0.205700082007
ACH-000311,-0.34241067228
ACH-000312,-0.29999811006099997
ACH-000315,-0.41578079151999997
ACH-000316,-0.33386596947700004
ACH-000317,-0.142923779377
ACH-000318,-0.10645092899900001
ACH-000319,-0.23987342549000001
ACH-000320,-0.352349743665
ACH-000322,-0.246125028007
ACH-000323,-0.258954305975
ACH-000324,-0.216283084003
ACH-000329,-0.0939168960805
ACH-000330,-0.0867725707028
ACH-000331,-0.157436855165
ACH-000332,-0.210809609293
ACH-000334,-0.087190765295
ACH-000335,-0.200523077108
ACH-000336,-0.16516367497
ACH-000337,-0.259212422995
ACH-000339,-0.429555583784
ACH-000341,-0.39173414269199996
ACH-000348,-0.275614759801
ACH-000350,-0.299048062726
ACH-000352,-0.163191434674
ACH-000356,-0.1661795946
ACH-000361,-0.0665723151643
ACH-000362,-0.0606212059492
ACH-000363,-0.09343396195939999
ACH-000364,-0.332589646406
ACH-000365,-0.204609013732
