,PLAC8L1 (153770)
ACH-000004,0.09297291223760001
ACH-000007,-0.23485843892900002
ACH-000009,-0.10544896691500001
ACH-000011,-0.254017209179
ACH-000012,-0.127236448818
ACH-000013,-0.12120095907
ACH-000014,-0.04890483616219999
ACH-000015,-0.255702599077
ACH-000017,-0.20191168424000003
ACH-000018,-0.191058751495
ACH-000019,-0.0725107218723
ACH-000021,-0.0928023050176
ACH-000022,-0.143918972593
ACH-000025,-0.31909368673300004
ACH-000028,-0.118089600101
ACH-000030,-0.114573151545
ACH-000035,-0.134103276928
ACH-000036,-0.24436650730300002
ACH-000037,-0.291595397204
ACH-000039,-0.550665475965
ACH-000040,-0.322053769697
ACH-000041,0.187787423963
ACH-000042,-0.0921972432119
ACH-000045,-0.13296943064300001
ACH-000047,0.0769126614415
ACH-000052,-0.424841770582
ACH-000053,-0.138204318998
ACH-000054,-0.191560743216
ACH-000055,-0.00729724484572
ACH-000060,-0.15504786984000002
ACH-000067,-0.029110931622700002
ACH-000070,-0.0113534394707
ACH-000075,-0.235076552557
ACH-000078,-0.0480277957905
ACH-000082,-0.187345127993
ACH-000085,-0.373489317496
ACH-000086,-0.021755615628999997
ACH-000087,0.0396169249183
ACH-000092,-0.10767232706700001
ACH-000095,-0.271738376768
ACH-000097,-0.00022857060442299997
ACH-000098,-0.187553090436
ACH-000099,-0.194613704828
ACH-000108,-0.136965007308
ACH-000113,-0.202717743648
ACH-000115,0.123290036005
ACH-000116,-0.018335060806700002
ACH-000118,-0.0701169985478
ACH-000120,-0.128998967969
ACH-000123,-0.071295311042
ACH-000127,-0.16922559366300002
ACH-000128,-0.14518539471
ACH-000132,-0.060275720071900005
ACH-000133,-0.186101053834
ACH-000137,-0.11438360740999999
ACH-000138,-0.14597910112
ACH-000142,-0.289317371565
ACH-000143,-0.284344336004
ACH-000146,-0.10836788211500001
ACH-000148,-0.0165532000376
ACH-000150,-0.0654863454215
ACH-000152,-0.179758132804
ACH-000153,-0.27474304765999996
ACH-000159,-0.14376966747
ACH-000160,-0.079896673871
ACH-000163,-0.33614333821099995
ACH-000167,-0.0512932612776
ACH-000168,0.0552513787617
ACH-000169,-0.190869330511
ACH-000178,-0.20109843177
ACH-000182,-0.07171209480560001
ACH-000183,-0.383843837155
ACH-000188,-0.130477944939
ACH-000189,0.274477605072
ACH-000190,-0.365672221334
ACH-000198,-0.18263131171799998
ACH-000204,-0.47783785219400005
ACH-000206,0.0348772924915
ACH-000207,-0.0959078729153
ACH-000211,-0.104716754176
ACH-000215,-0.12908384507600001
ACH-000221,-0.00563731928945
ACH-000222,-0.036323206888900006
ACH-000223,-0.11363757022299999
ACH-000226,-0.172628105089
ACH-000227,-0.295187628567
ACH-000228,-0.0640023802746
ACH-000231,-0.132523066468
ACH-000232,-0.236445923032
ACH-000233,-0.145321322929
ACH-000234,-0.06688438995939999
ACH-000235,-0.06131425635940001
ACH-000237,0.000148739149662
ACH-000238,-0.1681275749
ACH-000243,-0.0823764429708
ACH-000244,0.0214983607455
ACH-000246,-0.16460555236
ACH-000248,-0.0510946633651
ACH-000250,-0.205696343373
ACH-000251,-0.269213968791
ACH-000253,-0.200196034991
ACH-000255,-0.128903129216
ACH-000256,-0.138721105323
ACH-000257,-0.144682453991
ACH-000258,-0.106130035207
ACH-000259,-0.104299275807
ACH-000260,-0.25094541244
ACH-000261,-0.0877167511565
ACH-000262,-0.262812105976
ACH-000263,-0.234554708497
ACH-000264,-0.0506113602257
ACH-000265,0.0054235955515699995
ACH-000266,-0.0930757690374
ACH-000272,-0.134541958396
