,GABRD (2563)
ACH-000004,-0.042349927878900004
ACH-000007,-0.047210776178299996
ACH-000009,-0.36963538511699995
ACH-000011,-0.247860580587
ACH-000012,-0.163521429139
ACH-000013,-0.11175230915300001
ACH-000014,-0.00789248018176
ACH-000015,-0.19724560911699998
ACH-000017,-0.286521802364
ACH-000018,-0.0137698515677
ACH-000019,0.163318523099
ACH-000021,-0.34345602665200003
ACH-000022,-0.17697036384599998
ACH-000025,-0.18986244478
ACH-000028,-0.0681354480896
ACH-000030,-0.155991929836
ACH-000035,-0.34848979673299996
ACH-000036,-0.385014117608
ACH-000037,-0.359796652534
ACH-000039,-0.324669984223
ACH-000040,-0.501361638839
ACH-000041,-0.229446505015
ACH-000042,-0.19590876720699998
ACH-000045,-0.249752186886
ACH-000047,-0.36487689386999994
ACH-000052,-0.381938900568
ACH-000053,-0.275838536947
ACH-000054,-0.17876134627999998
ACH-000055,-0.188210837003
ACH-000060,-0.20042536291299998
ACH-000067,-0.10739376074200001
ACH-000070,-0.131949313507
ACH-000075,-0.0892002535963
ACH-000078,-0.20457905539700003
ACH-000082,-0.129286661463
ACH-000085,-0.297632950856
ACH-000086,-0.18800296653299997
ACH-000087,-0.152465971489
ACH-000092,-0.197867908207
ACH-000095,-0.423597478613
ACH-000097,-0.144060436072
ACH-000098,-0.20222415173799999
ACH-000099,-0.224052693448
ACH-000108,-0.458063366443
ACH-000113,0.08245898196769999
ACH-000115,-0.12536444227399998
ACH-000116,-0.320696805484
ACH-000118,-0.151822693722
ACH-000120,-0.19485120895599997
ACH-000123,-0.267807698109
ACH-000127,-0.17100428025699999
ACH-000128,-0.163442855702
ACH-000132,-0.17074394841200002
ACH-000133,-0.187402332452
ACH-000137,-0.07321232040539999
ACH-000138,-0.142986785402
ACH-000142,-0.265312252298
ACH-000143,-0.345348435322
ACH-000146,-0.19487111919300001
ACH-000148,-0.15185401611
ACH-000150,-0.47008533209
ACH-000152,-0.208829389077
ACH-000153,0.271292114696
ACH-000159,-0.23925539483600003
ACH-000160,-0.145365480888
ACH-000163,-0.100659885143
ACH-000167,-0.306322450653
ACH-000168,-0.10751956741100001
ACH-000169,-0.20545928622
ACH-000178,-0.162436774645
ACH-000182,-0.022732210476500002
ACH-000183,-0.114542598122
ACH-000188,-0.32705440815299996
ACH-000189,-0.385152374515
ACH-000190,-0.284842899293
ACH-000198,-0.11901628306600001
ACH-000204,-0.23915839066999997
ACH-000206,-0.434045147976
ACH-000207,-0.359863871606
ACH-000211,-0.146589928871
ACH-000215,-0.33294955738000004
ACH-000221,-0.23980618091800002
ACH-000222,-0.223769319217
ACH-000223,-0.032910405815
ACH-000226,-0.185811623092
ACH-000227,-0.0958694004318
ACH-000228,-0.058998711932899996
ACH-000231,-0.302795161939
ACH-000232,0.033224480462
ACH-000233,-0.0461012911154
ACH-000234,-0.45658031684600003
ACH-000235,-0.17925656391199998
ACH-000237,-0.40423616471100005
ACH-000238,-0.198105152415
ACH-000243,-0.142046748454
ACH-000244,-0.211783569128
ACH-000246,-0.20966957245999998
ACH-000248,-0.14712829141699998
ACH-000250,-0.26132843919599996
ACH-000251,-0.399629567943
ACH-000253,-0.12651283527
ACH-000255,-0.20626848984
ACH-000256,-0.0139381603604
ACH-000257,-0.414362982658
ACH-000258,-0.215614157969
ACH-000259,-0.25592902547699997
ACH-000260,-0.31944491889000004
ACH-000261,-0.271773894553
ACH-000262,-0.423478377746
ACH-000263,-0.399592816737
ACH-000264,-0.216535418765
ACH-000265,-0.06947492471210001
ACH-000266,-0.215782180934
ACH-000272,-0.217581616608
ACH-000273,-0.29375325022
ACH-000274,-0.281586855127
ACH-000277,-0.0932489628608
ACH-000278,-0.390088939383
ACH-000279,-0.255401273283
ACH-000280,-0.134838474411
ACH-000281,-0.201361889888
ACH-000288,-0.351839186285
ACH-000291,-0.11760697011700001
ACH-000293,-0.283649557464
ACH-000294,-0.171212033179
ACH-000295,-0.376061174069
ACH-000296,0.0687014683423
ACH-000302,-0.26605337558000003
ACH-000304,-0.11657079858
ACH-000307,-0.256672620507
ACH-000308,-0.0825294042281
ACH-000310,-0.334444942237
ACH-000311,-0.212465768823
ACH-000312,-0.34476857902900004
ACH-000315,-0.39987570470899997
ACH-000316,-0.12056623098
ACH-000317,-0.20187413174000002
ACH-000318,-0.184081091113
ACH-000319,-0.22722282336599997
ACH-000320,-0.177436287296
ACH-000322,-0.250617269573
ACH-000323,-0.36398887548799996
ACH-000324,-0.176326323741
ACH-000329,-0.35888357810099997
ACH-000330,-0.218053579617
ACH-000331,-0.198857178248
ACH-000332,-0.12255279808599999
ACH-000334,0.169455163034
ACH-000335,-0.0245223161038
ACH-000336,-0.29168481997900003
ACH-000337,-0.138137746478
ACH-000339,-0.180398937832
ACH-000341,-0.405850932367
ACH-000348,-0.125399590123
ACH-000350,-0.285301678645
ACH-000352,-0.14351482645400002
ACH-000356,-0.04130449202980001
ACH-000361,-0.409895095992
ACH-000362,-0.273785891708
ACH-000363,-0.196381301115
ACH-000364,0.0700978526599
ACH-000365,-0.0892192464048
ACH-000366,-0.25964611947599997
ACH-000368,-0.388339954994
ACH-000374,-0.0857879442623
ACH-000375,-0.44137882707500004
ACH-000376,-0.20724435467099997
ACH-000381,-0.115380141162
ACH-000383,-0.15093213610300002
ACH-000387,-0.302392532216
ACH-000389,-0.08236906735939999
ACH-000390,-0.11413913412599999
ACH-000393,-0.26804021767499997
ACH-000395,-0.218594354343
ACH-000397,-0.216201683449
ACH-000401,-0.39117037295
ACH-000402,-0.375615779199
ACH-000403,-0.120416497728
ACH-000404,-0.633387604072
ACH-000406,-0.17367988079799998
ACH-000407,-0.396905068032
ACH-000408,-0.266322679362
ACH-000410,-0.0881976083292
ACH-000411,-0.0180327879535
ACH-000414,-0.256664617485
ACH-000415,-0.0622229293831
ACH-000416,-0.18083143624200002
ACH-000420,-0.10058877987999999
ACH-000421,-0.225739912548
ACH-000424,-0.189876023266
ACH-000425,-0.183042675484
ACH-000426,-0.151643655129
ACH-000427,0.0457762011503
ACH-000433,-0.524165291193
ACH-000436,-0.403571698055
ACH-000444,-0.221634339835
ACH-000445,-0.324937854923
ACH-000448,-0.13962725028200001
ACH-000450,-0.192413087498
ACH-000452,-0.267397227201
ACH-000454,-0.338865598064
ACH-000458,-0.258673968233
ACH-000459,-0.163011177999
ACH-000460,-0.164037867336
ACH-000461,-0.400358833777
ACH-000463,0.0026915209516799998
ACH-000464,-0.168945259847
ACH-000466,-0.200119666727
ACH-000467,-0.16177728790999998
ACH-000468,-0.35401116891
ACH-000469,-0.37039138424400003
ACH-000470,-0.270652985252
ACH-000471,-0.118269600665
ACH-000472,-0.17701024325999998
ACH-000473,-0.0668798096845
ACH-000475,-0.198776390624
ACH-000476,-0.100367032636
ACH-000477,-0.121703134784
ACH-000480,-0.133436405796
ACH-000481,-0.0768346218893
ACH-000483,-0.34934925162600006
ACH-000484,-0.1364357831
ACH-000485,-0.245918736741
ACH-000486,0.00718710691197
ACH-000487,-0.22550487188700002
ACH-000488,-0.206491096108
ACH-000490,-0.226794669172
ACH-000491,-0.558192163516
ACH-000495,-0.17031777321699998
ACH-000496,-0.3909021887
ACH-000499,-0.0413820646063
ACH-000500,0.24987346137400002
ACH-000502,-0.332978765923
ACH-000503,0.0112206330816
ACH-000505,-0.267259018704
ACH-000507,-0.0954074369913
ACH-000510,-0.197039539714
ACH-000511,-0.18809021502300002
ACH-000512,-0.197169044959
ACH-000516,-0.27461311520599996
ACH-000517,-0.183445332245
ACH-000518,-0.327741352502
ACH-000520,-0.13264130680199998
ACH-000521,-0.34571128446500005
ACH-000522,-0.199317918662
ACH-000524,-0.172760340707
ACH-000527,-0.25312703075599996
ACH-000528,-0.140025547014
ACH-000537,-0.310457550807
ACH-000541,-0.235160825819
ACH-000542,-0.09284251062589999
ACH-000544,-0.3396242811
ACH-000545,-0.215853862554
ACH-000547,-0.268311702924
ACH-000548,-0.20961999075100002
ACH-000549,-0.030325941592599995
ACH-000550,-0.552341245269
ACH-000552,-0.10168760081499999
ACH-000556,-0.108052305561
ACH-000557,-0.223239869186
ACH-000570,-0.110777519336
ACH-000571,-0.252247043193
ACH-000573,-0.0880981243718
ACH-000576,-0.15920170130300001
ACH-000580,-0.10179300014
ACH-000584,-0.227904556796
ACH-000585,-0.206895240817
ACH-000588,-0.193787365204
ACH-000589,-0.16965573780499998
ACH-000591,-0.17485687899099997
ACH-000593,-0.265543290626
ACH-000600,-0.304511818854
ACH-000601,-0.173750792491
ACH-000604,-0.0879540538565
ACH-000605,-0.240065733969
ACH-000606,-0.014210675737799999
ACH-000608,-0.250268002978
ACH-000614,-0.208820479881
ACH-000616,-0.154841696938
ACH-000618,-0.29690502120400003
ACH-000619,-0.121820603725
ACH-000620,-0.015266452773500002
ACH-000621,-0.324972389615
ACH-000622,0.0645501385516
ACH-000623,-0.252432262291
ACH-000624,-0.17529802066199998
ACH-000627,-0.258622448166
ACH-000630,-0.271337304371
ACH-000632,-0.209701979844
ACH-000633,-0.159477747659
ACH-000637,-0.0155199347792
ACH-000638,-0.13037276421900001
ACH-000646,-0.323162662245
ACH-000647,-0.044718820134699994
ACH-000648,-0.205923592313
ACH-000649,-0.235402604627
ACH-000651,-0.11209600054199999
ACH-000652,-0.25439033592300003
ACH-000653,-0.120987194209
ACH-000657,-0.292652657689
ACH-000658,0.012720045602
ACH-000661,-0.19041894611
ACH-000662,-0.0827586836061
ACH-000663,-0.26247110263900003
ACH-000665,-0.104773936643
ACH-000671,-0.0933346966935
ACH-000673,-0.177909615766
ACH-000676,-0.19062680423599998
ACH-000677,0.012816043922700002
ACH-000681,-0.254443720751
ACH-000682,-0.232583135152
ACH-000683,-0.285409716049
ACH-000684,0.031234321808799998
ACH-000688,-0.260228741164
ACH-000693,-0.151890373658
ACH-000694,-0.128681321623
ACH-000695,-0.0441177018526
ACH-000696,-0.27417703693000006
ACH-000697,-0.230094827442
ACH-000699,-0.194020151149
ACH-000701,-0.287404450573
ACH-000706,0.000843418734608
ACH-000711,-0.17679501165999997
ACH-000713,-0.177746170603
ACH-000714,-0.243508516943
ACH-000718,-0.282044093359
ACH-000720,-0.35688843384700003
ACH-000721,-0.09266705037
ACH-000724,-0.33047355950999996
ACH-000725,-0.224396295734
ACH-000732,-0.278039317047
ACH-000734,-0.19815301604000002
ACH-000735,-0.14485335312300002
ACH-000736,-0.19459631138300001
ACH-000738,-0.17091652382300002
ACH-000746,0.104499673206
ACH-000747,0.0024660432007600004
ACH-000748,-0.19850811004500002
ACH-000753,-0.37503608186399995
ACH-000756,-0.38940758160899996
ACH-000757,-0.16411397965900001
ACH-000758,-0.527250034096
ACH-000760,-0.33622774377899994
ACH-000763,-0.0710211880653
ACH-000764,-0.312271807686
ACH-000765,-0.258598724014
ACH-000766,-0.272424048168
ACH-000767,-0.18906288167500002
ACH-000768,-0.08630960097760002
ACH-000769,-0.220681408092
ACH-000770,-0.172303390526
ACH-000771,-0.143001108991
ACH-000773,-0.260241843267
ACH-000776,-0.372583623728
ACH-000777,-0.145627635909
ACH-000778,-0.246582692885
ACH-000781,-0.125233786746
ACH-000782,-0.195332349371
ACH-000783,-0.130792789671
ACH-000784,-0.265552168901
ACH-000785,-0.247788828766
ACH-000787,-0.198441591473
ACH-000788,-0.260282883355
ACH-000791,-0.13383626531099999
ACH-000792,-0.120276129894
ACH-000794,-0.293660199608
ACH-000796,-0.14032773982000002
ACH-000799,-0.120993437016
ACH-000800,-0.25766598867199997
ACH-000802,-0.171963596328
ACH-000804,-0.33334295629599997
ACH-000805,0.060443129936
ACH-000809,-0.23555720044
ACH-000810,0.036203040110199994
ACH-000811,-0.275043658387
ACH-000817,-0.273357829668
ACH-000819,-0.11000443691400001
ACH-000820,0.0264657562446
ACH-000821,0.0964286790821
ACH-000822,-0.117079160935
ACH-000823,-0.115033643806
ACH-000824,-0.125290323035
ACH-000827,-0.177244593255
ACH-000829,-0.505792248041
ACH-000831,-0.192435035239
ACH-000832,-0.272854234025
ACH-000833,-0.471368345884
ACH-000834,-0.10492386805
ACH-000835,-0.0701738483852
ACH-000836,-0.25607683519499996
ACH-000837,-0.289079472143
ACH-000838,-0.289938730842
ACH-000839,-0.332361893414
ACH-000840,-0.319137155082
ACH-000841,-0.295218452752
ACH-000843,-0.19566156576699997
ACH-000846,-0.271420917148
ACH-000847,-0.386582369615
ACH-000848,-0.23472967891399998
ACH-000849,-0.124101865824
ACH-000851,-0.134517566038
ACH-000855,-0.045163779354099994
ACH-000856,-0.38850286761200004
ACH-000858,-0.282123689172
ACH-000859,-0.163846129797
ACH-000861,-0.247287164432
ACH-000862,-0.161983684596
ACH-000865,-0.09851184665760002
ACH-000866,-0.13459711707
ACH-000867,-0.18007878659200002
ACH-000869,-0.131765294109
ACH-000872,-0.237767755568
ACH-000873,-0.202114984129
ACH-000876,-0.146800611786
ACH-000878,-0.37372311116499995
ACH-000880,-0.383495522405
ACH-000881,-0.09684734390869999
ACH-000882,-0.0575840629529
ACH-000884,-0.34416437761
ACH-000885,-0.116803107344
ACH-000887,-0.14797945402
ACH-000888,-0.162321112165
ACH-000889,-0.104552376974
ACH-000890,-0.0730252364414
ACH-000896,-0.040155787692599997
ACH-000898,0.0153088402226
ACH-000900,-0.061409167579100005
ACH-000901,-0.40073692235799996
ACH-000905,-0.18911036991
ACH-000906,-0.12010686074100001
ACH-000907,-0.036288407673400004
ACH-000910,-0.247477680191
ACH-000911,-0.207199657227
ACH-000912,-0.239078751699
ACH-000913,-0.21006861146699998
ACH-000915,-0.157505482699
ACH-000916,-0.15412738093599998
ACH-000917,-0.25224435979800003
ACH-000921,-0.09250273706980001
ACH-000924,-0.197071498342
ACH-000926,-0.205032551532
ACH-000928,-0.23357575783300003
ACH-000929,-0.247127467283
ACH-000932,0.07992142816660001
ACH-000935,-0.0777922278235
ACH-000936,-0.228022848577
ACH-000937,-0.186973500559
ACH-000938,-0.0552910190498
ACH-000939,-0.253268349194
ACH-000941,-0.154332055453
ACH-000943,-0.17265695035700002
ACH-000946,-0.116385109223
ACH-000947,-0.125565132045
ACH-000948,-0.0916287649103
ACH-000950,-0.317857852921
ACH-000953,-0.364386537109
ACH-000957,-0.251091644785
ACH-000958,0.0524216789915
ACH-000960,-0.054967101590400004
ACH-000963,-0.0266183619097
ACH-000968,-0.186204974692
ACH-000969,-0.121751215071
ACH-000973,-0.0563042401988
ACH-000974,-0.18704530337499997
