,PPHLN1 (51535)
ACH-000004,-0.39753776614799996
ACH-000007,-0.559750072522
ACH-000009,-0.46368526139399996
ACH-000011,-0.28700781355
ACH-000012,-0.303061869275
ACH-000013,-0.48346876051200005
ACH-000014,-0.393653176642
ACH-000015,-0.339936523905
ACH-000017,-0.253756191407
ACH-000018,-0.36375469700499996
ACH-000019,-0.500944143459
ACH-000021,-0.331366171238
ACH-000022,-0.240675851347
ACH-000025,-0.441973666822
ACH-000028,-0.42576890678199997
ACH-000030,-0.320480454995
ACH-000035,-0.304192667355
ACH-000036,-0.701066170861
ACH-000037,-0.527588478088
ACH-000039,-0.444077052386
ACH-000040,-0.6296670844009999
ACH-000041,-0.42755049673699996
ACH-000042,-0.372724539709
ACH-000045,-0.42348927755500004
ACH-000047,-0.395334232478
ACH-000052,-0.6529501488139999
ACH-000053,-0.258859928294
ACH-000054,-0.433982183751
ACH-000055,-0.584823924568
ACH-000060,-0.299971205799
ACH-000067,-0.5035831043729999
ACH-000070,-0.302084103325
ACH-000075,-0.400111561933
ACH-000078,-0.393933447528
ACH-000082,-0.227624890007
ACH-000085,-0.634701170183
ACH-000086,-0.6071084910760001
ACH-000087,-0.45771190502400005
ACH-000092,-0.241609498041
ACH-000095,-0.251036660107
ACH-000097,-0.35304250544
ACH-000098,-0.290681912252
ACH-000099,-0.5904760508820001
ACH-000108,-0.191600970273
ACH-000113,-0.698436363064
ACH-000115,-0.422897894183
ACH-000116,-0.46663693683300006
ACH-000118,-0.276685750495
ACH-000120,-0.274057249021
ACH-000123,-0.39118346519599995
ACH-000127,-0.45127377738799995
ACH-000128,-0.463352163296
ACH-000132,-0.16657872037000002
ACH-000133,-0.415632660687
ACH-000137,-0.7359805774070001
ACH-000138,-0.308325568605
ACH-000142,-0.45199635788599996
ACH-000143,-0.223660952108
ACH-000146,-0.6191693753540001
ACH-000148,-0.388444547812
ACH-000150,-0.405388020309
ACH-000152,-0.562850913843
ACH-000153,-0.635888354714
ACH-000159,-0.333677872287
ACH-000160,-0.515463581534
ACH-000163,-0.325825901801
ACH-000167,-0.316461818492
ACH-000168,-0.588213093218
ACH-000169,-0.452926935936
ACH-000178,-0.351506780371
ACH-000182,-0.446082633322
ACH-000183,-0.459722211803
ACH-000188,-0.291092505603
ACH-000189,-0.178567073552
ACH-000190,-0.222169330249
ACH-000198,-0.354227327236
ACH-000204,-0.442933774644
ACH-000206,-0.299841811485
ACH-000207,-0.426401212737
