,EIF3I (8668)
ACH-000004,-1.15240267266
ACH-000007,-1.40972039498
ACH-000009,-1.7226283189099998
ACH-000011,-1.41183302526
ACH-000012,-1.06126284879
ACH-000013,-1.30833004568
ACH-000014,-1.23954516872
ACH-000015,-1.25493189535
ACH-000017,-1.29025798751
ACH-000018,-1.48567281816
ACH-000019,-1.33637012508
ACH-000021,-1.27864690263
ACH-000022,-1.4041707870200002
ACH-000025,-1.41139532356
ACH-000028,-1.3211699933299998
ACH-000030,-1.27329641302
ACH-000035,-1.19941421844
ACH-000036,-1.2774643948200002
ACH-000037,-1.4326993121
ACH-000039,-1.18517347448
ACH-000040,-1.33361237223
ACH-000041,-1.27257299418
ACH-000042,-1.25574969646
ACH-000045,-1.2824856783299998
ACH-000047,-1.15875503434
ACH-000052,-1.5239857082700001
ACH-000053,-1.4837033674000002
ACH-000054,-1.36290501342
ACH-000055,-1.13891858447
ACH-000060,-1.45929689467
ACH-000067,-1.2859570039200001
ACH-000070,-1.5440488913100001
ACH-000075,-1.2814581899600002
ACH-000078,-1.63417563884
ACH-000082,-1.37917956206
ACH-000085,-1.05492524625
ACH-000086,-1.1923860153599999
ACH-000087,-1.05524532082
ACH-000092,-1.2024587505600002
ACH-000095,-1.4310834056600001
ACH-000097,-1.4612848552899997
ACH-000098,-1.30830469551
ACH-000099,-1.4743970228100003
ACH-000108,-1.3713976800299998
ACH-000113,-1.1753953166600002
ACH-000115,-1.7931548306799998
ACH-000116,-1.00855460517
ACH-000118,-1.0848315883
ACH-000120,-1.69237329069
ACH-000123,-1.1550083595899998
ACH-000127,-1.42746440016
ACH-000128,-1.44763611864
ACH-000132,-1.26247351897
ACH-000133,-1.2484395777
ACH-000137,-1.25326950781
ACH-000138,-1.14663373565
ACH-000142,-1.2993567150799998
ACH-000143,-1.29305957816
ACH-000146,-1.60948362282
ACH-000148,-1.20972849498
ACH-000150,-1.3990811230200002
ACH-000152,-1.01075294878
ACH-000153,-1.25835482146
ACH-000159,-1.4899676407100002
ACH-000160,-1.5542519803900001
ACH-000163,-1.34190585953
ACH-000167,-1.62150733378
ACH-000168,-1.2285412127200002
ACH-000169,-1.2114731326700001
ACH-000178,-1.08018283042
ACH-000182,-1.1908046374899999
ACH-000183,-1.3784123114200002
ACH-000188,-1.09493696395
ACH-000189,-0.9782372067990001
ACH-000190,-1.4184190825799998
ACH-000198,-1.2561506866
ACH-000204,-1.57103996493
ACH-000206,-1.02352664677
ACH-000207,-1.3712062869
ACH-000211,-1.25768813559
ACH-000215,-1.3101514143600002
ACH-000221,-1.24196185295
ACH-000222,-1.23412308628
ACH-000223,-1.2677484176
ACH-000226,-1.3742274088600002
ACH-000227,-1.7175650411599999
ACH-000228,-1.12260025331
ACH-000231,-1.24884415451
ACH-000232,-1.27198112097
ACH-000233,-1.06107389739
ACH-000234,-1.68773064566
ACH-000235,-1.37226001584
ACH-000237,-1.43205943533
ACH-000238,-1.2421095153200001
ACH-000243,-1.16557613778
ACH-000244,-1.1618961772
ACH-000246,-1.4975692914399998
ACH-000248,-1.30005792864
ACH-000250,-1.4930369936399999
ACH-000251,-1.32643963126
ACH-000253,-1.40295157771
ACH-000255,-1.2942564673899999
ACH-000256,-1.4705359402
ACH-000257,-1.30235156999
ACH-000258,-1.28216809218
ACH-000259,-1.16653250094
ACH-000260,-1.26809885626
ACH-000261,-1.47678924285
ACH-000262,-1.62138523847
ACH-000263,-1.81253497229
ACH-000264,-1.58685752092
ACH-000265,-0.9829834939000001
ACH-000266,-1.29873886176
ACH-000272,-1.5603320641499998
ACH-000273,-1.45316755242
ACH-000274,-1.60301225595
ACH-000277,-1.5224665421599999
ACH-000278,-1.31282090059
ACH-000279,-1.3224549757700002
ACH-000280,-1.3905783654799997
ACH-000281,-1.31853819314
ACH-000288,-1.26451172237
ACH-000291,-1.2088991154000002
ACH-000293,-1.00229689126
ACH-000294,-1.62752323744
ACH-000295,-1.19309266934
ACH-000296,-1.31066758664
ACH-000302,-1.35186182049
ACH-000304,-1.09131282803
ACH-000307,-1.4014860418000001
ACH-000308,-1.2280929182
ACH-000310,-1.73957651271
ACH-000311,-0.8996423178849999
ACH-000312,-1.32448956596
ACH-000315,-1.0802512256299999
ACH-000316,-1.07929045627
ACH-000317,-1.11569962499
ACH-000318,-1.1290418662200001
ACH-000319,-1.5377097158500002
ACH-000320,-1.11288376384
ACH-000322,-1.37102461546
