,AKAP8L (26993)
ACH-000004,-0.274459440677
ACH-000007,-0.0832784457248
ACH-000009,0.046008259999599996
ACH-000011,-0.104426535613
ACH-000012,-0.0162222129985
ACH-000013,-0.143950293025
ACH-000014,-0.0489476311453
ACH-000015,-0.32608762207499997
ACH-000017,-0.111487703054
ACH-000018,-0.383313340934
ACH-000019,-0.21092363145799997
ACH-000021,-0.0854023348882
ACH-000022,-0.149636135971
ACH-000025,-0.143396367332
ACH-000028,-0.06032262826780001
ACH-000030,-0.0682986085812
ACH-000035,-0.14928336453
ACH-000036,0.0691406713627
ACH-000037,-0.171262464236
ACH-000039,0.304350690316
ACH-000040,-0.194015559222
ACH-000041,-0.331649421023
ACH-000042,-0.308981779232
ACH-000045,-0.23975441152899998
ACH-000047,-0.09093171155030001
ACH-000052,-0.23787863528099998
ACH-000053,-0.016939096268499997
ACH-000054,-0.18058087489500002
ACH-000055,-0.05075020729830001
ACH-000060,-0.118221764774
ACH-000067,-0.330067250807
ACH-000070,-0.149088704365
ACH-000075,-0.0795939884857
ACH-000078,-0.19720339131700002
ACH-000082,-0.23532113341
ACH-000085,-0.153260546839
ACH-000086,-0.34026178985
ACH-000087,0.0674195861688
ACH-000092,-0.20240286090100001
ACH-000095,-0.0815640910983
ACH-000097,-0.0518901112622
ACH-000098,-0.159722373432
ACH-000099,-0.14351129657199999
ACH-000108,-0.279197612993
ACH-000113,-0.23817288500599998
ACH-000115,-0.319913254714
ACH-000116,-0.192335483688
ACH-000118,-0.0597222859875
ACH-000120,-0.0196278988386
ACH-000123,0.106847539112
ACH-000127,-0.254636763048
ACH-000128,-0.333498558529
ACH-000132,-0.195376653895
ACH-000133,-0.13729508923800002
ACH-000137,-0.183700290724
ACH-000138,-0.330114809377
ACH-000142,-0.0759402189351
ACH-000143,-0.215352297223
ACH-000146,-0.0671691379268
ACH-000148,-0.045233577130699996
ACH-000150,0.0516146771376
ACH-000152,-0.11997955757
ACH-000153,0.42804263006300003
ACH-000159,-0.275296675394
ACH-000160,-0.196652585656
ACH-000163,-0.570290985054
ACH-000167,-0.293765469658
ACH-000168,-0.0643523489908
ACH-000169,-0.301640555794
ACH-000178,-0.0189691539435
ACH-000182,-0.14803893115
ACH-000183,-0.126562933007
ACH-000188,-0.193740458341
ACH-000189,-0.165622152098
ACH-000190,-0.021149256664999998
ACH-000198,-0.261616614198
ACH-000204,-0.0699301796099
ACH-000206,-0.161984306225
ACH-000207,-0.289786428151
ACH-000211,-0.111305067525
ACH-000215,-0.169875707837
ACH-000221,-0.240455366899
ACH-000222,-0.196491863442
ACH-000223,-0.08419092961689999
ACH-000226,-0.0417032661894
ACH-000227,-0.17577517033300002
ACH-000228,-0.173828351121
ACH-000231,-0.269432590023
ACH-000232,-0.0722485845952
ACH-000233,-0.112474319559
ACH-000234,-0.22342517249699997
ACH-000235,-0.142872389287
ACH-000237,-0.103220520637
ACH-000238,-0.197506210759
ACH-000243,-0.159500493373
ACH-000244,-0.033909183078099994
ACH-000246,-0.112026198643
ACH-000248,-0.19947049418499999
ACH-000250,-0.32532217746500003
ACH-000251,-0.19364967011300002
ACH-000253,-0.266460721949
ACH-000255,-0.11593381320599999
ACH-000256,-0.029595143514099996
ACH-000257,-0.20663789412500003
ACH-000258,0.167637599539
ACH-000259,-0.124960439599
ACH-000260,-0.15147470730999998
ACH-000261,-0.151807915041
ACH-000262,-0.309145052553
ACH-000263,-0.593412982689
ACH-000264,-0.0664887133865
ACH-000265,-0.195495301965
ACH-000266,-0.0729157425761
ACH-000272,-0.261187202764
ACH-000273,-0.06628517596649999
ACH-000274,0.0637111212051
ACH-000277,-0.106734068974
ACH-000278,-0.109336982164
ACH-000279,-0.101069916181
ACH-000280,-0.214591068603
ACH-000281,-0.229071091672
ACH-000288,-0.13771089000999998
ACH-000291,-0.292773538707
ACH-000293,0.00795410328444
ACH-000294,-0.111001300919
ACH-000295,-0.027349792775900002
ACH-000296,-0.22709078878699998
ACH-000302,-0.341582223534
ACH-000304,-0.11396970333699999
ACH-000307,-0.24462389292599998
ACH-000308,-0.17375691473700003
ACH-000310,0.0653376586817
ACH-000311,-0.0661531218904
ACH-000312,-0.17229268706700002
ACH-000315,-0.323012725951
ACH-000316,-0.401172787513
ACH-000317,-0.183294496065
ACH-000318,-0.461938767826
ACH-000319,-0.328402512859
ACH-000320,-0.11059867954199999
ACH-000322,0.0742427659853
ACH-000323,-0.0338658410304
ACH-000324,-0.12400933203400001
ACH-000329,-0.00770124234236
ACH-000330,-0.0744135569632
ACH-000331,-0.0997192181204
ACH-000332,-0.192255646585
ACH-000334,-0.45444446533999994
ACH-000335,-0.013549740506400001
ACH-000336,-0.250828561627
ACH-000337,-0.17394911845400002
ACH-000339,-0.09393742803439999
ACH-000341,-0.767325782777
ACH-000348,-0.07499715265269999
ACH-000350,-0.104082639973
ACH-000352,-0.193665290504
ACH-000356,0.028579454764400002
ACH-000361,-0.0486012939724
ACH-000362,-0.191396797941
ACH-000363,-0.248549977877
ACH-000364,0.06884152739789999
ACH-000365,-0.0255158789744
ACH-000366,-0.176500027299
ACH-000368,-0.38147974674199997
ACH-000374,0.229638613422
ACH-000375,-0.14577123390900001
ACH-000376,-0.131597526382
ACH-000381,0.0517506261855
ACH-000383,-0.126595626598
ACH-000387,0.0679680499749
ACH-000389,-0.294532911426
ACH-000390,-0.34270777301700006
ACH-000393,-0.253891697907
ACH-000395,-0.23600554249699998
ACH-000397,-0.155403400026
ACH-000401,-0.140240034923
ACH-000402,-0.009029290708440002
ACH-000403,-0.127527082748
ACH-000404,-0.11719956736199999
ACH-000406,-0.040077042287800006
ACH-000407,-0.10005860967800001
ACH-000408,-0.286901433333
ACH-000410,-0.239970756235
ACH-000411,-0.051431438348400006
ACH-000414,0.0485473373606
ACH-000415,-0.301813824858
ACH-000416,-0.255789117324
ACH-000420,-0.16117943927300002
ACH-000421,-0.185097241492
ACH-000424,-0.27697400976500003
ACH-000425,-0.0159342901005
ACH-000426,-0.0184518005961
ACH-000427,-0.07142520018160001
ACH-000433,-0.260087347219
ACH-000436,-0.0270941283501
ACH-000444,0.0504356401375
ACH-000445,-0.089500915026
ACH-000448,-0.354043203037
ACH-000450,-0.446746043767
ACH-000452,-0.30790233577599996
ACH-000454,-0.312695537867
ACH-000458,-0.3801579753
ACH-000459,0.0043950393119
ACH-000460,-0.11447727497000001
ACH-000461,-0.331683487344
ACH-000463,-0.146082749738
ACH-000464,0.020984489969099997
ACH-000466,0.0598036956788
ACH-000467,-0.212062351329
ACH-000468,0.08983462418019998
ACH-000469,-0.010848105196799998
ACH-000470,-0.172576508041
ACH-000471,-0.217067973451
ACH-000472,-0.117962907258
ACH-000473,-0.18363022629099998
ACH-000475,-0.12496987198
ACH-000476,-0.259505339344
ACH-000477,-0.201332705518
ACH-000480,-0.20942479712099998
ACH-000481,-0.284448488633
ACH-000483,-0.278904886075
ACH-000484,-0.368192032575
ACH-000485,-0.00939215155884
ACH-000486,-0.127764577179
ACH-000487,-0.282975112118
ACH-000488,-0.22638061197099998
ACH-000490,-0.144603711508
ACH-000491,-0.351302532554
ACH-000495,-0.310929754123
ACH-000496,-0.09827584454959999
ACH-000499,-0.262804044111
ACH-000500,0.041851354577199996
ACH-000502,-0.29182772832
ACH-000503,-0.037624359596199995
ACH-000505,-0.29525291241
ACH-000507,-0.05567628411040001
ACH-000510,-0.1712481514
ACH-000511,-0.117311245739
ACH-000512,-0.176235368954
ACH-000516,-0.0976608551174
ACH-000517,-0.17093875387000002
ACH-000518,-0.31902054318100004
ACH-000520,-0.293797753426
ACH-000521,-0.221568404981
ACH-000522,-0.234045565412
ACH-000524,-0.07690486046
ACH-000527,-0.113888440204
ACH-000528,0.00709608731255
ACH-000537,0.0154371430152
ACH-000541,-0.138914032369
ACH-000542,-0.12181033433
ACH-000544,-0.194500066539
ACH-000545,-0.308003749462
ACH-000547,-0.11062053182
ACH-000548,-0.160534029114
ACH-000549,-0.35605875687
ACH-000550,-0.09661192936389999
ACH-000552,-0.257230931354
