,EPRS (2058)
ACH-000004,-1.1349018180500001
ACH-000007,-1.15506657481
ACH-000009,-1.2316473863
ACH-000011,-1.02159486907
ACH-000012,-1.123050979
ACH-000013,-1.2353301165000001
ACH-000014,-0.949139202845
ACH-000015,-1.2793592124
ACH-000017,-1.0186114455500002
ACH-000018,-1.28907929353
ACH-000019,-1.14655302941
ACH-000021,-1.20027110114
ACH-000022,-1.35323297619
ACH-000025,-0.950375506953
ACH-000028,-1.1864934687
ACH-000030,-1.15311083862
ACH-000035,-1.1841826590200002
ACH-000036,-1.06217317384
ACH-000037,-0.20571279322900002
ACH-000039,-1.09660161359
ACH-000040,-0.998374089061
ACH-000041,-1.18365743964
ACH-000042,-1.24027587184
ACH-000045,-1.39214725479
ACH-000047,-1.05149693584
ACH-000052,-1.23709296315
ACH-000053,-1.2621379745499999
ACH-000054,-1.19237727597
ACH-000055,-1.11679826377
ACH-000060,-0.878866925282
ACH-000067,-1.25802277504
ACH-000070,-0.993177043129
ACH-000075,-1.25891054133
ACH-000078,-1.19122700222
ACH-000082,-1.1673557738299998
ACH-000085,-1.4847488196899998
ACH-000086,-1.39795897296
ACH-000087,-1.24230283082
ACH-000092,-1.3489484774200002
ACH-000095,-1.18272484376
ACH-000097,-0.962669852192
ACH-000098,-1.50909053955
ACH-000099,-1.3283748065
ACH-000108,-1.1466061972200001
ACH-000113,-0.9002086542309999
ACH-000115,-1.3609984974899998
ACH-000116,-1.31933474448
ACH-000118,-1.13775751982
ACH-000120,-1.28398819435
ACH-000123,-1.30477207177
ACH-000127,-1.1385897580600002
ACH-000128,-1.17484288549
ACH-000132,-1.3655336177200001
ACH-000133,-1.26541484221
ACH-000137,-1.45647132687
ACH-000138,-1.22440002574
ACH-000142,-1.24839722917
ACH-000143,-1.07947190287
ACH-000146,-0.8541003159110001
ACH-000148,-1.21226265516
ACH-000150,-0.9668346499830001
ACH-000152,-1.08201167236
ACH-000153,-1.21242382432
ACH-000159,-1.19804920129
ACH-000160,-1.45615868838
ACH-000163,-1.29510590037
ACH-000167,-1.7794068689200002
ACH-000168,-1.27115580911
ACH-000169,-1.2315501338400001
ACH-000178,-0.9213793671130001
ACH-000182,-1.3300524077299998
ACH-000183,-0.9709627677220001
ACH-000188,-1.13746525796
ACH-000189,-1.05490048803
ACH-000190,-1.16463877294
ACH-000198,-1.17796911403
ACH-000204,-1.6143547061899999
ACH-000206,-1.34790693919
ACH-000207,-1.33261273343
ACH-000211,-1.09736474474
ACH-000215,-1.24645348322
ACH-000221,-1.0180332055299999
ACH-000222,-1.14976593656
ACH-000223,-1.16361407582
ACH-000226,-0.788759770916
ACH-000227,-1.1155122807200002
ACH-000228,-1.24621671421
ACH-000231,-1.1988784259799998
ACH-000232,-1.2700951703299999
ACH-000233,-0.839227184847
ACH-000234,-0.960536437252
ACH-000235,-1.11669535138
ACH-000237,-1.22596517975
ACH-000238,-1.04381656632
ACH-000243,-1.1152211032200001
ACH-000244,-1.3879720803600002
ACH-000246,-0.9359175970739999
ACH-000248,-1.14237169656
ACH-000250,-1.2058841789899999
ACH-000251,-1.23709597746
ACH-000253,-1.2253390131
ACH-000255,-1.26450129818
ACH-000256,-1.17242808475
ACH-000257,-1.4297546134
ACH-000258,-0.946836226348
ACH-000259,-1.03808765688
ACH-000260,-1.19320531031
ACH-000261,-1.19963353108
ACH-000262,-1.05066834123
ACH-000263,-0.9935757931620001
ACH-000264,-1.47424043535
ACH-000265,-1.1858478247
ACH-000266,-1.2030958207200002
ACH-000272,-1.28653312874
ACH-000273,-1.28898953629
ACH-000274,-1.16172469286
ACH-000277,-1.37614898879
ACH-000278,-1.03547336157
ACH-000279,-1.24564016521
ACH-000280,-1.16610873328
ACH-000281,-1.30970714207
ACH-000288,-1.27088552936
ACH-000291,-1.14762181335
ACH-000293,-1.05904343655
ACH-000294,-1.2794103645000001
ACH-000295,-1.3696431591299998
ACH-000296,-1.19632964699
ACH-000302,-0.953632574532
ACH-000304,-0.937635859855
ACH-000307,-1.25417999794
ACH-000308,-0.9396398745219999
ACH-000310,-1.4928200463499999
ACH-000311,-1.0317778117799998
ACH-000312,-1.1674078876
ACH-000315,-1.17335794794
ACH-000316,-0.9088802959289999
ACH-000317,-1.07360671455
ACH-000318,-1.2946175266
ACH-000319,-1.1469733125900001
ACH-000320,-1.20948897753
ACH-000322,-0.9698743455230001
ACH-000323,-1.4694416039700002
ACH-000324,-1.08407221886
ACH-000329,-1.20429809017
ACH-000330,-1.2933142113200002
