,GP1BA (2811)
ACH-000004,-0.159173212934
ACH-000007,-0.024697484676
ACH-000009,-0.11346284190099999
ACH-000011,-0.007899997898649999
ACH-000012,0.0028007738163899998
ACH-000013,-0.125722929164
ACH-000014,-0.109150464232
ACH-000015,-0.196466011782
ACH-000017,0.0363172977192
ACH-000018,-0.20733414576900003
ACH-000019,-0.0598314213568
ACH-000021,0.0400981819531
ACH-000022,-0.09310425740110001
ACH-000025,-0.19438805139
ACH-000028,-0.130317386469
ACH-000030,-0.044893175878800005
ACH-000035,-0.00550655731275
ACH-000036,-0.20949035362500001
ACH-000037,-0.009480452034069999
ACH-000039,-0.205548514076
ACH-000040,-0.164923203383
ACH-000041,-0.108993506367
ACH-000042,-0.0938137437225
ACH-000045,-0.0645973707644
ACH-000047,0.0349429263009
ACH-000052,-0.022520359146099997
ACH-000053,-0.173271706081
ACH-000054,-0.0488167500364
ACH-000055,0.0821828893883
ACH-000060,-0.186294465002
ACH-000067,-0.279678330663
ACH-000070,-0.09207877219110001
ACH-000075,-0.265713050914
ACH-000078,-0.161633823479
ACH-000082,-0.253688945014
ACH-000085,-0.126504348347
ACH-000086,-0.0227660889493
ACH-000087,0.16986131013
ACH-000092,0.006340884306579999
ACH-000095,-0.0911818703142
ACH-000097,-0.0769060167298
ACH-000098,-0.18431663278700003
ACH-000099,-0.11731510530200001
ACH-000108,-0.061596479962300006
ACH-000113,-0.159801379845
ACH-000115,-0.07202143999489999
ACH-000116,-0.054413023556500004
ACH-000118,-0.18091444865400003
ACH-000120,-0.17784243967500002
ACH-000123,-0.109739131416
ACH-000127,-0.09132763071180001
ACH-000128,0.00649719777946
ACH-000132,0.0315920013022
ACH-000133,-0.244934690253
ACH-000137,0.022509234215000003
ACH-000138,-0.11822456216600001
ACH-000142,-0.15099395311
ACH-000143,0.0172324122128
ACH-000146,-0.0229371698353
ACH-000148,-0.0547938192451
ACH-000150,-0.0661282438232
ACH-000152,-0.0352832057009
ACH-000153,0.0801024954019
ACH-000159,-0.0907438916406
ACH-000160,-0.0536709997195
ACH-000163,-0.143777577423
ACH-000167,-0.17511154536100001
ACH-000168,-0.084287572201
ACH-000169,-0.167343607256
ACH-000178,0.0298789854545
ACH-000182,-0.0688834969863
ACH-000183,-0.0871550923773
ACH-000188,-0.197184371301
ACH-000189,-0.17653543968899998
ACH-000190,-0.055225552971
ACH-000198,0.0436842406643
ACH-000204,-0.203456831811
ACH-000206,-0.0708350795336
ACH-000207,-0.247944115306
ACH-000211,0.0319731126582
ACH-000215,-0.0548672276536
ACH-000221,-0.34416494173199996
ACH-000222,-0.182559862432
ACH-000223,0.038784348301499995
ACH-000226,-0.190918488477
ACH-000227,-0.11075918571799999
ACH-000228,-0.114308310171
ACH-000231,-0.09129881124309999
ACH-000232,0.025642113825500003
ACH-000233,-0.0418138738799
ACH-000234,0.031617430233900005
ACH-000235,-0.042576288648
ACH-000237,-0.0623298845923
ACH-000238,-0.125628694298
ACH-000243,-0.186694891039
ACH-000244,-0.145374626182
ACH-000246,-0.0774743071883
ACH-000248,0.0143761574972
ACH-000250,-0.17909856582199998
ACH-000251,-0.0408812294159
ACH-000253,-0.048416510161899996
ACH-000255,0.08221879284479999
ACH-000256,-0.28320137974599996
ACH-000257,0.19526126912500003
ACH-000258,-0.0766863142975
ACH-000259,-0.19420491540800003
ACH-000260,-0.174174373849
ACH-000261,-0.133165215092
ACH-000262,-0.123911382409
ACH-000263,0.170703144558
ACH-000264,-0.07550630311789999
ACH-000265,-0.08786029331150001
ACH-000266,-0.130145082566
ACH-000272,-0.131099545099
ACH-000273,-0.112291432872
ACH-000274,-0.10589153326199999
ACH-000277,-0.252453457685
ACH-000278,-0.14899026082699998
ACH-000279,-0.138396118245
ACH-000280,-0.159716091168
ACH-000281,-0.16370841926100002
ACH-000288,-0.289367675837
ACH-000291,-0.0137720924079
ACH-000293,-0.047457589079900005
ACH-000294,-0.168237829472
ACH-000295,-0.0320341567845
ACH-000296,-0.110837828347
ACH-000302,-0.056976202184
ACH-000304,0.278579219987
ACH-000307,0.00952585845873
ACH-000308,-0.026593952683200004
ACH-000310,-0.06753162392459999
ACH-000311,-0.232890557405
ACH-000312,-0.238177924932
ACH-000315,0.10866662965700001
ACH-000316,-0.289527687555
ACH-000317,0.120392328935
ACH-000318,0.0146646243274
ACH-000319,-0.10666697322100001
ACH-000320,0.00485955852929
ACH-000322,-0.155500992699
ACH-000323,-0.045833267959900004
ACH-000324,-0.09909840842369999
ACH-000329,-0.0868370843907
ACH-000330,0.032341036627599996
ACH-000331,-0.0495337093954
ACH-000332,-0.060286563104
ACH-000334,0.19993510611499998
ACH-000335,-0.139024464098
ACH-000336,0.023353302396900002
ACH-000337,0.297037392414
ACH-000339,-0.129830105043
ACH-000341,0.0871144508906
ACH-000348,-0.0542447910494
ACH-000350,-0.297972999868
ACH-000352,0.121467801732
ACH-000356,-0.188135601911
ACH-000361,-0.0499383988614
ACH-000362,-0.07330615364830001
ACH-000363,-0.13121054193
ACH-000364,-0.0792387962695
ACH-000365,-0.0191193419892
ACH-000366,-0.09874810270510001
ACH-000368,-0.032166559555
ACH-000374,0.077732790441
ACH-000375,-0.110810240718
ACH-000376,-0.06279332144869999
ACH-000381,-0.138862651659
