,NIPBL (25836)
ACH-000004,-0.291674218227
ACH-000007,-0.2234572959
ACH-000009,-0.831617302532
ACH-000011,-0.808565230854
ACH-000012,-0.510498239596
ACH-000013,-0.49099296362499995
ACH-000014,-0.37011152936499997
ACH-000015,-0.8227527038689999
ACH-000017,-0.593256362693
ACH-000018,-0.49485342092100004
ACH-000019,-0.252090936543
ACH-000021,-0.42231995700999997
ACH-000022,-0.6038515441969999
ACH-000025,-0.025068630774500004
ACH-000028,-0.5053687528840001
ACH-000030,0.040398478933800004
ACH-000035,-0.0737549373261
ACH-000036,-0.173123355062
ACH-000037,0.17724294363600002
ACH-000039,-0.40083484096600003
ACH-000040,-1.0592456531
ACH-000041,-1.15032074726
ACH-000042,-0.9799394118029999
ACH-000045,-0.5291569135499999
ACH-000047,-0.101981891283
ACH-000052,-0.58253270165
ACH-000053,-0.5207976727100001
ACH-000054,-0.363912688654
ACH-000055,-0.408145770041
ACH-000060,-0.00810113769159
ACH-000067,-0.492030295753
ACH-000070,-0.40308521684500004
ACH-000075,-0.379176865321
ACH-000078,-0.46707514160499997
ACH-000082,-0.556105106989
ACH-000085,-0.029311839386200002
ACH-000086,-0.135685491931
ACH-000087,-0.698670653239
ACH-000092,-0.306928308676
ACH-000095,-0.712834834242
ACH-000097,0.123717606946
ACH-000098,-0.496585447772
ACH-000099,-0.854135177384
ACH-000108,-0.393969818486
ACH-000113,-0.660610066194
ACH-000115,-1.4175284247
ACH-000116,0.08196821085099999
ACH-000118,-0.496482782152
ACH-000120,-0.522764743257
ACH-000123,-0.824682311688
ACH-000127,-0.715194020331
ACH-000128,-0.41686974784999997
ACH-000132,0.031883411080400006
ACH-000133,-0.368024222788
ACH-000137,0.350346206549
ACH-000138,-0.380301986678
ACH-000142,-0.820418707718
ACH-000143,-0.979775152677
ACH-000146,-0.65514125128
ACH-000148,-0.550381007322
ACH-000150,-0.349236620399
ACH-000152,-0.44071179638499997
ACH-000153,-0.352261543186
ACH-000159,-0.266749856367
ACH-000160,0.105011793088
ACH-000163,-1.09218929525
ACH-000167,0.08940980524310001
ACH-000168,-0.492884578871
ACH-000169,-0.622612066742
ACH-000178,-0.728628273797
ACH-000182,-0.49498901303900006
ACH-000183,-0.525287871983
ACH-000188,-0.257456029402
ACH-000189,-0.149778856906
ACH-000190,-0.0599713893953
ACH-000198,-0.6769135933310001
ACH-000204,0.035910417032699996
ACH-000206,0.00947914046399
ACH-000207,-0.147553732557
ACH-000211,-0.254923690835
ACH-000215,-0.5002449179330001
ACH-000221,-0.508643586895
ACH-000222,-0.360437117632
ACH-000223,-0.376486724926
ACH-000226,-0.21074235197000002
ACH-000227,0.17783383547200002
ACH-000228,-0.414768286594
ACH-000231,-0.19451033631200002
ACH-000232,-0.339127718773
ACH-000233,-0.245403527437
ACH-000234,-0.443620797332
ACH-000235,-0.452635196555
ACH-000237,0.10204059394300001
ACH-000238,-0.362175426787
ACH-000243,-0.646503205137
ACH-000244,-0.485887210027
ACH-000246,-0.125046269892
ACH-000248,-0.46302633323700004
ACH-000250,0.00558220920249
ACH-000251,-0.500390616183
ACH-000253,-0.572913366011
ACH-000255,-0.48712246116400004
ACH-000256,-0.321258602804
ACH-000257,-0.46115311202299997
ACH-000258,0.196229984101
ACH-000259,-0.7827778533059999
ACH-000260,-1.06279472048
ACH-000261,-0.45287988541
ACH-000262,-0.027652223314200003
ACH-000263,-0.344234775577
ACH-000264,-0.552869097562
ACH-000265,-0.401069323035
ACH-000266,-0.402412661018
ACH-000272,-0.108535771484
ACH-000273,-0.22190330100900002
ACH-000274,-0.449690248977
ACH-000277,-0.768197810642
ACH-000278,-0.26598242168200004
ACH-000279,-0.76205784964
ACH-000280,-0.8330536697130001
ACH-000281,-0.39712064638899996
ACH-000288,0.149528954765
ACH-000291,-0.914572507263
ACH-000293,-0.41232593733999995
ACH-000294,-0.0504298854039
ACH-000295,-0.303221648113
ACH-000296,-0.0308720508055
ACH-000302,0.056574625283900004
ACH-000304,-0.8520860381
ACH-000307,-0.24086125841400002
ACH-000308,-0.735436782269
ACH-000310,-0.42951852476
ACH-000311,-0.393065103318
ACH-000312,-0.457089790101
ACH-000315,-0.46938637278800005
ACH-000316,-0.278884092481
ACH-000317,-0.463856093832
ACH-000318,-0.5785337787529999
ACH-000319,-0.289428396622
ACH-000320,-0.21111829110999997
ACH-000322,-0.0511488909863
ACH-000323,-0.652490900972
ACH-000324,-0.250659981779
ACH-000329,-0.209876378242
ACH-000330,-0.822787586746
ACH-000331,-0.420749779807
ACH-000332,-0.49084528318099996
ACH-000334,-0.429722894413
ACH-000335,-0.0664513408036
ACH-000336,-0.386550472751
ACH-000337,-0.21708573304200002
ACH-000339,-0.274655125187
ACH-000341,-0.923272786314
ACH-000348,-0.506837919643
ACH-000350,-0.370046193457
ACH-000352,-0.746766731443
ACH-000356,-0.324099490161
ACH-000361,0.10626579338600001
ACH-000362,-0.7113004302629999
ACH-000363,-0.570657283362
ACH-000364,-0.05040457646240001
ACH-000365,-0.358723186613
ACH-000366,-0.46342099525799996
ACH-000368,-0.252920476132
