,SAC3D1 (29901)
ACH-000004,0.24260843335
ACH-000007,0.09524832174789999
ACH-000009,0.042814372589099994
ACH-000011,-0.08717817934149999
ACH-000012,0.016216597964
ACH-000013,-0.150954578626
ACH-000014,0.062617338526
ACH-000015,-0.16168342612
ACH-000017,0.0867786806979
ACH-000018,0.164315799157
ACH-000019,-0.0796432692997
ACH-000021,0.0349484595794
ACH-000022,0.044316351385500004
ACH-000025,-0.058798253415
ACH-000028,-0.116043811567
ACH-000030,-0.0710969360725
ACH-000035,0.0076395753301899995
ACH-000036,-0.11149439862
ACH-000037,-0.0419688209911
ACH-000039,0.125850339188
ACH-000040,0.0535875738064
ACH-000041,-0.181811804064
ACH-000042,-0.01243391902
ACH-000045,0.00374404267842
ACH-000047,0.0838254914066
ACH-000052,0.0872653764568
ACH-000053,0.125092191782
ACH-000054,0.03659534382580001
ACH-000055,-0.149849055746
ACH-000060,0.0656336725453
ACH-000067,0.051647503676199996
ACH-000070,-0.0437837983986
ACH-000075,-0.637625125694
ACH-000078,0.0595150493666
ACH-000082,-0.290488497658
ACH-000085,-0.106146891302
ACH-000086,-0.182170472625
ACH-000087,-0.0823861727154
ACH-000092,0.022979834139400003
ACH-000095,0.045940559817300004
ACH-000097,-0.0454741038296
ACH-000098,-0.103298264736
ACH-000099,0.026078992821800002
ACH-000108,0.0802202327259
ACH-000113,-0.162547467069
ACH-000115,-0.37817506794
ACH-000116,-0.274460245409
ACH-000118,-0.0663244494229
ACH-000120,0.0111669629978
ACH-000123,0.0685854852813
ACH-000127,0.16526032299
ACH-000128,-0.0340204818162
ACH-000132,-0.096471035011
ACH-000133,-0.104496112403
ACH-000137,-0.0618708352165
ACH-000138,-0.0714822946329
ACH-000142,0.051508202699800006
ACH-000143,-0.049394477624199996
ACH-000146,0.0221045999615
ACH-000148,0.10457558285700001
ACH-000150,-0.21199571568300002
ACH-000152,0.0873597597092
ACH-000153,-0.526752575961
ACH-000159,-0.122643334745
ACH-000160,-0.20033350246
ACH-000163,-0.0260954145413
ACH-000167,-0.156418887054
ACH-000168,0.00447303414998
ACH-000169,-0.0112066088098
ACH-000178,0.028297859111599998
ACH-000182,-0.047943063537
ACH-000183,-0.0422024338051
ACH-000188,-0.041717951721699995
ACH-000189,-0.418000651497
ACH-000190,-0.0349305253094
ACH-000198,-0.23342208522
ACH-000204,-0.383930920663
ACH-000206,-0.108047734329
ACH-000207,-0.299297858957
ACH-000211,-0.116292168496
ACH-000215,-0.019485198776799998
ACH-000221,-0.0818937715068
ACH-000222,0.12354615263299999
ACH-000223,-0.0294953044694
ACH-000226,0.00298313188509
ACH-000227,0.28082119610100004
ACH-000228,-0.18007196956799998
ACH-000231,-0.0114712203749
ACH-000232,-0.0417649514247
ACH-000233,-0.046049149977699995
ACH-000234,-0.10669098173699999
ACH-000235,-0.050810106304699995
ACH-000237,0.0623035612675
ACH-000238,0.0216357769441
ACH-000243,0.06328029359130001
ACH-000244,0.0280675350582
ACH-000246,-0.0695923744311
ACH-000248,-0.033095822319
ACH-000250,-0.0627973701278
ACH-000251,0.008878231633860001
ACH-000253,-0.0008270815639139998
ACH-000255,-0.214175531391
ACH-000256,-0.304250982901
ACH-000257,-0.0395973287694
ACH-000258,-0.10428677646
ACH-000259,-0.0590155264707
ACH-000260,0.0328160338337
ACH-000261,-0.108156716357
ACH-000262,-0.29479175027
ACH-000263,-0.158749313267
ACH-000264,-0.012943689031499998
ACH-000265,-0.047405034947800004
ACH-000266,0.00937891856353
ACH-000272,-0.10509788027999999
ACH-000273,0.0164635746096
ACH-000274,0.197614319127
ACH-000277,-0.381137661152
ACH-000278,0.166841846575
ACH-000279,-0.0508593842523
ACH-000280,0.0620142769878
ACH-000281,-0.0673956738874
ACH-000288,-0.101619076693
ACH-000291,0.110518538045
ACH-000293,-0.166605880234
ACH-000294,-0.08094640706180001
ACH-000295,-0.17697557762000002
ACH-000296,0.203701085395
ACH-000302,0.017608811590599998
ACH-000304,-0.025287436375599995
ACH-000307,-0.08844358158610001
ACH-000308,-0.09845933389450001
ACH-000310,0.0298191595595
ACH-000311,0.164412980312
ACH-000312,0.127794271586
ACH-000315,-0.164572725924
ACH-000316,-0.18962424771699998
ACH-000317,-0.23840818588100002
ACH-000318,-0.346400485027
ACH-000319,-0.0783884543535
ACH-000320,0.355628892495
ACH-000322,0.10544528767000001
ACH-000323,-0.171862624313
ACH-000324,0.14212353328400001
ACH-000329,0.10707721365700001
ACH-000330,-0.127126161937
ACH-000331,-0.0155938267732
ACH-000332,-0.0714600787035
ACH-000334,-0.239404707902
ACH-000335,0.0901088841647
ACH-000336,-0.191724718539
ACH-000337,-0.18831239883099998
ACH-000339,0.07229225973469999
ACH-000341,-0.147876746267
ACH-000348,0.071317844703
ACH-000350,0.0353567302581
ACH-000352,-0.08564801805189999
ACH-000356,-0.150218555142
ACH-000361,-0.09832942001589999
ACH-000362,-0.0699788476945
ACH-000363,-0.103011284808
ACH-000364,-0.0637758750088
ACH-000365,-0.0507369872413
ACH-000366,-0.15032672371300002
ACH-000368,-0.215224126087
ACH-000374,-0.207174171964
ACH-000375,-0.049852736845300005
ACH-000376,-0.0734888025881
ACH-000381,0.07633326338280001
ACH-000383,-0.139168108379
ACH-000387,0.010163608201700002
ACH-000389,-0.07844289145830001
ACH-000390,-0.080429264632
ACH-000393,0.0898251870348
ACH-000395,0.162453582127
ACH-000397,-0.0802072912433
ACH-000401,-0.216205019478
ACH-000402,-0.122204264979
ACH-000403,-0.026668165956900004
ACH-000404,-0.361920418001
ACH-000406,-0.00264573141835
ACH-000407,-0.015007426111700002
ACH-000408,-0.231269061242
ACH-000410,-0.060063339094900005
ACH-000411,0.0049431667948199995
ACH-000414,0.182096209799
ACH-000415,0.0147172335855
ACH-000416,0.0007755794649510001
ACH-000420,-0.23197088989999998
ACH-000421,-0.08117872992719999
ACH-000424,-0.0823731325028
ACH-000425,0.052106005917100004
ACH-000426,-0.14656262290799998
ACH-000427,-0.23823972173500002
ACH-000433,-0.0941043839405
ACH-000436,-0.202108996597
ACH-000444,-0.0768329251173
ACH-000445,-0.203244290799
ACH-000448,-0.0581187574461
ACH-000450,0.060008712407599994
ACH-000452,-0.03463062679369999
ACH-000454,0.0380900365594
ACH-000458,-0.008460696280609999
ACH-000459,0.196006031851
ACH-000460,0.0656467543316
ACH-000461,-0.32068793807100004
ACH-000463,-0.14861749902899998
ACH-000464,-0.0642124956509
ACH-000466,-0.233861996825
ACH-000467,0.12420136305
ACH-000468,0.0584199255855
ACH-000469,-0.08177534308880001
ACH-000470,-0.0438820094374
ACH-000471,-0.00173101916464
ACH-000472,-0.0212811927012
ACH-000473,-0.0669629722193
ACH-000475,-0.10671623695499999
ACH-000476,-0.19903218163199998
ACH-000477,-0.48909929822400006
ACH-000480,0.0664678383419
ACH-000481,-0.104439478563
ACH-000483,-0.189276382481
ACH-000484,0.201581983121
ACH-000485,-0.0898718589057
ACH-000486,0.05828209797640001
ACH-000487,-0.210567267623
ACH-000488,0.034172062283700004
ACH-000490,0.04185869994019999
ACH-000491,-0.0555036721761
ACH-000495,-0.164795823602
ACH-000496,-0.022181568152099998
ACH-000499,-0.232253499348
ACH-000500,0.277687174511
ACH-000502,0.039629689286000004
ACH-000503,-0.154856659731
ACH-000505,-0.073390075471
ACH-000507,-0.178161681805
ACH-000510,0.0353322194353
ACH-000511,-0.163581857383
ACH-000512,-0.0794326150017
ACH-000516,0.102464205657
ACH-000517,0.0338273244194
ACH-000518,-0.0378161052418
ACH-000520,-0.208482524621
ACH-000521,0.0101855265515
ACH-000522,-0.0629062214759
ACH-000524,-0.070111678941
