,ISG15 (9636)
ACH-000004,-0.03459666782469999
ACH-000007,-0.200904644454
ACH-000009,-0.028109529257999998
ACH-000011,-0.18435771797800002
ACH-000012,-0.0711699450667
ACH-000013,-0.0920606016722
ACH-000014,-0.19786500292599998
ACH-000015,0.0334230075541
ACH-000017,-0.115287921877
ACH-000018,-0.137826587202
ACH-000019,-0.125552783525
ACH-000021,-0.025504907146900003
ACH-000022,-0.144618624896
ACH-000025,-0.25483545616799996
ACH-000028,0.012056113585999999
ACH-000030,-0.049925034814
ACH-000035,-1.44352944341
ACH-000036,-0.0713763845433
ACH-000037,-0.159655355335
ACH-000039,-0.164586540345
ACH-000040,-0.252681113124
ACH-000041,-0.0100390506996
ACH-000042,-0.06466590958190001
ACH-000045,-0.281882290416
ACH-000047,-0.145392616371
ACH-000052,-0.220643575527
ACH-000053,-0.132621129116
ACH-000054,-0.152709383405
ACH-000055,-0.207027257828
ACH-000060,-0.331894759757
ACH-000067,-0.0411056434836
ACH-000070,-0.178295248585
ACH-000075,-0.031192314492200002
ACH-000078,-0.092430800703
ACH-000082,-0.211006437321
ACH-000085,-0.180893700601
ACH-000086,-0.11686773604299999
ACH-000087,-0.17673174394299998
ACH-000092,-0.168764568306
ACH-000095,-0.116346149709
ACH-000097,-0.09967263485689999
ACH-000098,-0.035791385957
ACH-000099,-0.09717526772019999
ACH-000108,-0.249751747984
ACH-000113,-0.233377767274
ACH-000115,-0.108050653277
ACH-000116,-0.020050448377
ACH-000118,-0.08913230610780001
ACH-000120,0.00328811311827
ACH-000123,-0.0384909972011
ACH-000127,-0.0975411376925
ACH-000128,-0.10441817699200001
ACH-000132,-0.026376537897
ACH-000133,-0.039342234526400004
ACH-000137,-0.0804310679338
ACH-000138,-0.265205016119
ACH-000142,-0.0946329855453
ACH-000143,-0.20424994360999998
ACH-000146,-0.19536934916700002
ACH-000148,-0.039915626110800004
ACH-000150,-0.545023068757
ACH-000152,0.12028625445800001
ACH-000153,-0.09139571816
ACH-000159,-0.148062361325
ACH-000160,0.0383006697865
ACH-000163,-0.16188230544600002
ACH-000167,-0.514186626869
ACH-000168,-0.409026816842
ACH-000169,-0.09922135936380001
ACH-000178,-0.317434502816
ACH-000182,-0.0640144850026
ACH-000183,-0.24512649673300002
ACH-000188,-0.180719068171
ACH-000189,-0.118751973006
ACH-000190,0.201157862903
ACH-000198,-0.183225255263
ACH-000204,-0.10262871269
ACH-000206,-0.067315247642
ACH-000207,-0.186211276713
ACH-000211,-0.019393730757
