,GMNN (51053)
ACH-000004,-1.21029957389
ACH-000007,-0.573532715448
ACH-000009,-0.742404387165
ACH-000011,-0.635092070897
ACH-000012,-0.960789718257
ACH-000013,-0.6589357248659999
ACH-000014,-0.352261054128
ACH-000015,-0.009746517998709998
ACH-000017,-0.386707973021
ACH-000018,-0.7554447565710001
ACH-000019,-0.471672834438
ACH-000021,-0.9450796108939999
ACH-000022,-0.222946761889
ACH-000025,-0.694699553203
ACH-000028,-0.616169101307
ACH-000030,-0.703551115632
ACH-000035,-0.397482811203
ACH-000036,-0.541966963159
ACH-000037,-0.100120750047
ACH-000039,-0.678047515343
ACH-000040,-0.23836584386
ACH-000041,-0.420334762141
ACH-000042,-1.12747201453
ACH-000045,-0.6692616402170001
ACH-000047,-0.608024616617
ACH-000052,-0.435972049425
ACH-000053,-0.5821125525249999
ACH-000054,-0.600177305799
ACH-000055,-0.6908006192399999
ACH-000060,-0.631988733501
ACH-000067,-0.863610214614
ACH-000070,-0.15624336664400001
ACH-000075,-0.206023765062
ACH-000078,-0.591690894721
ACH-000082,-0.904824988161
ACH-000085,-0.8152657637090001
ACH-000086,-0.287154599749
ACH-000087,-0.42853184825999996
ACH-000092,-0.82973126844
ACH-000095,-0.349414766743
ACH-000097,-0.7335029329610001
ACH-000098,-0.315668263216
ACH-000099,-0.157962021806
ACH-000108,-0.8109960401980001
ACH-000113,-0.359212290147
ACH-000115,-0.379575406189
ACH-000116,-0.967596520341
ACH-000118,-1.05671023011
ACH-000120,-0.0667239868065
ACH-000123,-0.6996783865
ACH-000127,-0.509598155173
ACH-000128,-0.521870492078
ACH-000132,-0.858422630986
ACH-000133,-0.815161584043
ACH-000137,-0.72581873213
ACH-000138,-0.59860332529
ACH-000142,-0.679988853548
ACH-000143,-0.43033452026
ACH-000146,-1.7608222227900001
ACH-000148,-0.563871842926
ACH-000150,-0.389433747808
ACH-000152,-0.118213714705
ACH-000153,-1.11902710724
ACH-000159,0.00125686887285
ACH-000160,-1.51214103178
ACH-000163,-0.32776939761199997
ACH-000167,-0.502355242562
ACH-000168,-0.443450718785
ACH-000169,-0.530221914934
ACH-000178,-0.6179611894870001
ACH-000182,-1.20023659688
ACH-000183,-0.654636407058
ACH-000188,-0.30383641332600003
ACH-000189,-0.646098688249
ACH-000190,-0.661365532572
ACH-000198,-0.447651597258
ACH-000204,-0.571549906748
ACH-000206,-0.648340716374
ACH-000207,-0.740209101952
ACH-000211,-0.387493259868
ACH-000215,-0.00111795971301
ACH-000221,-0.7336600889720001
ACH-000222,-0.845086539341
ACH-000223,-0.834894916355
ACH-000226,-0.319061540173
ACH-000227,-0.18808825051
ACH-000228,-1.07234344646
ACH-000231,-0.274026369519
ACH-000232,-0.7018331393170001
ACH-000233,-0.40316417716799996
ACH-000234,-0.6760171315219999
ACH-000235,-0.19717416501899998
ACH-000237,-0.7537492974079999
ACH-000238,-0.204787877533
ACH-000243,-0.758049488034
ACH-000244,-0.48581996738000005
ACH-000246,-0.8145857795229999
