,FARSB (10056)
ACH-000004,-1.94857130482
ACH-000007,-1.7104045454899999
ACH-000009,-1.86201298176
ACH-000011,-1.9949880282599997
ACH-000012,-1.7829585905599998
ACH-000013,-2.13218256679
ACH-000014,-1.8110829211300001
ACH-000015,-1.8709151464200002
ACH-000017,-1.95921518843
ACH-000018,-1.8585918411900002
ACH-000019,-1.8386438261900002
ACH-000021,-1.88925326069
ACH-000022,-1.9770251829799999
ACH-000025,-1.94315749997
ACH-000028,-1.8013928764200002
ACH-000030,-1.74336072809
ACH-000035,-1.69566252054
ACH-000036,-1.78220586116
ACH-000037,-2.58658092532
ACH-000039,-1.94621901972
ACH-000040,-1.666975097
ACH-000041,-2.10431588335
ACH-000042,-1.9394764576900003
ACH-000045,-1.8680255561400003
ACH-000047,-1.7496413769699999
ACH-000052,-1.8425911957700003
ACH-000053,-1.6588755822499999
ACH-000054,-1.8356952683
ACH-000055,-1.9485682674200002
ACH-000060,-1.7395076117700001
ACH-000067,-1.48418247861
ACH-000070,-1.80795317711
ACH-000075,-1.8356390026400002
ACH-000078,-1.8686028560099999
ACH-000082,-1.7755987427000002
ACH-000085,-2.20820540874
ACH-000086,-1.64128159402
ACH-000087,-1.73326107191
ACH-000092,-1.7410053498500002
ACH-000095,-1.96865891754
ACH-000097,-1.9215644025299998
ACH-000098,-1.9196194429599998
ACH-000099,-1.8437667580500001
ACH-000108,-1.77404956697
ACH-000113,-1.75427209667
ACH-000115,-1.8998072581999998
ACH-000116,-2.02614723525
ACH-000118,-1.66608912251
ACH-000120,-1.7710320588
ACH-000123,-1.75385774722
ACH-000127,-1.64031281361
ACH-000128,-2.00173382662
ACH-000132,-1.7683389020700002
ACH-000133,-1.7202995923599997
ACH-000137,-1.9510624351299999
ACH-000138,-1.9797831525299998
ACH-000142,-1.72856954323
ACH-000143,-1.8918050155300001
ACH-000146,-2.2633662594
ACH-000148,-2.14158343315
ACH-000150,-1.68695263927
ACH-000152,-1.87836663283
ACH-000153,-1.69643722812
ACH-000159,-2.15172211706
ACH-000160,-1.7736420804799997
ACH-000163,-1.9013140366099999
ACH-000167,-2.15458123835
ACH-000168,-1.88930055303
ACH-000169,-1.6840618254799997
ACH-000178,-1.94333646582
ACH-000182,-1.80181847733
ACH-000183,-1.52712886224
ACH-000188,-1.70938695683
ACH-000189,-1.7286694016
ACH-000190,-1.97650349533
ACH-000198,-1.8646359931099998
ACH-000204,-1.49290708622
ACH-000206,-2.01737372873
ACH-000207,-1.54575094291
ACH-000211,-1.76260261167
ACH-000215,-1.9461761811700002
ACH-000221,-1.8071483801400003
ACH-000222,-1.8203658772799998
ACH-000223,-1.8299677398900003
ACH-000226,-1.86100570649
ACH-000227,-1.2695984308
ACH-000228,-1.6827520647999998
ACH-000231,-1.6714859718000001
ACH-000232,-1.96239919287
ACH-000233,-2.0485050400200002
ACH-000234,-2.39066114949
ACH-000235,-1.82187342678
ACH-000237,-1.9312494488599998
ACH-000238,-1.78626241164
ACH-000243,-1.7836819687099998
ACH-000244,-1.5353232792299998
ACH-000246,-1.7840115199900002
ACH-000248,-1.75421829935
ACH-000250,-1.95460101124
ACH-000251,-2.03512952783
ACH-000253,-1.92300332991
ACH-000255,-1.8496833331
ACH-000256,-1.79527051949
ACH-000257,-1.9839830085499999
ACH-000258,-1.9138914511900003
ACH-000259,-1.94302118167
ACH-000260,-1.75344207177
ACH-000261,-1.8835423584400002
ACH-000262,-1.73695979224
ACH-000263,-2.13809509808
ACH-000264,-1.80917789935
ACH-000265,-1.7748311260299998
ACH-000266,-1.7096472779700003
ACH-000272,-1.9288617733200002
ACH-000273,-1.95207260974
ACH-000274,-2.30602316406
ACH-000277,-2.3415298997400003
ACH-000278,-1.7350288530700002
ACH-000279,-1.93637202782
ACH-000280,-2.05124832913
ACH-000281,-2.0787751341400003
ACH-000288,-1.87798527714
ACH-000291,-1.7858377536
ACH-000293,-1.68283338856
ACH-000294,-2.49109589181
ACH-000295,-1.94511784086
ACH-000296,-1.9346864886000001
ACH-000302,-2.3254404179700003
ACH-000304,-2.52925977716
ACH-000307,-1.90864506771
ACH-000308,-1.75812543523
ACH-000310,-1.82919050575
ACH-000311,-1.8955840217299997
ACH-000312,-1.93421322463
ACH-000315,-2.10080232759
ACH-000316,-1.79455629998
ACH-000317,-1.86975375407
ACH-000318,-2.10652687131
ACH-000319,-1.83719807132
ACH-000320,-1.7193446196000002
ACH-000322,-1.6116945137099998
ACH-000323,-1.89292096455
ACH-000324,-1.7301836529199999
ACH-000329,-2.1854958626
ACH-000330,-2.1999658952
ACH-000331,-1.63335370445
ACH-000332,-1.9147401678599998
ACH-000334,-1.6084696085799999
ACH-000335,-1.7780757066
ACH-000336,-1.8964256013799998
ACH-000337,-1.8970550005900002
ACH-000339,-1.7569684367299998
ACH-000341,-2.5721144279700003
ACH-000348,-1.8616640176700001
ACH-000350,-2.44482130553
ACH-000352,-1.98591948773
ACH-000356,-1.56925706984
ACH-000361,-2.03858239945
ACH-000362,-2.12123263688
ACH-000363,-1.51218279581
ACH-000364,-1.51524153342
ACH-000365,-1.9031477564099997
ACH-000366,-2.21951848983
ACH-000368,-1.64234579709
ACH-000374,-1.72482113633
ACH-000375,-2.04212692179
ACH-000376,-1.82375477475
ACH-000381,-2.01742759918
ACH-000383,-1.9105689290299999
ACH-000387,-2.00519122749
ACH-000389,-1.7735563187799999
ACH-000390,-2.0428775516
ACH-000393,-1.66756458913
ACH-000395,-2.07511612355
ACH-000397,-1.7987157854499998
ACH-000401,-1.91738578656
ACH-000402,-2.0276397586400003
ACH-000403,-1.97509580357
ACH-000404,-2.41106832062
ACH-000406,-2.0905520000599997
ACH-000407,-1.65159951018
ACH-000408,-1.7415413579499999
ACH-000410,-1.7203753410599998
ACH-000411,-2.02395478776
ACH-000414,-2.19712334296
ACH-000415,-1.8767866114400003
ACH-000416,-1.7537701519799997
ACH-000420,-1.6863999484
ACH-000421,-1.7365857112599998
ACH-000424,-1.76152537567
ACH-000425,-1.52130126639
ACH-000426,-1.87275747405
ACH-000427,-1.83924543143
ACH-000433,-1.85394357118
ACH-000436,-1.69367545227
ACH-000444,-1.61093233722
ACH-000445,-1.9741803455700002
ACH-000448,-1.77517471822
ACH-000450,-1.71312931943
ACH-000452,-1.91686298438
ACH-000454,-1.9591569786200003
ACH-000458,-2.09133252214
ACH-000459,-1.91141580961
ACH-000460,-1.90871822846
ACH-000461,-1.78424655932
ACH-000463,-1.77989277301
ACH-000464,-1.96683771747
ACH-000466,-2.44537961271
ACH-000467,-1.74965863385
ACH-000468,-2.01342977097
ACH-000469,-1.8873064579099998
ACH-000470,-1.85779530254
ACH-000471,-1.91038070352
ACH-000472,-2.0838183344599996
ACH-000473,-2.1235243535599997
ACH-000475,-1.93049924747
ACH-000476,-2.0085759945599997
ACH-000477,-2.33135010841
ACH-000480,-1.7032584034399998
ACH-000481,-1.94827648469
ACH-000483,-2.32009183686
ACH-000484,-1.58102737685
ACH-000485,-1.8194655133400002
ACH-000486,-1.58663668067
ACH-000487,-1.8437840406900001
ACH-000488,-1.72499668408
ACH-000490,-1.7437318405900002
ACH-000491,-1.9031718094299999
ACH-000495,-1.7656702513
ACH-000496,-1.8779877623599996
ACH-000499,-1.71288430421
ACH-000500,-1.9419922297799999
ACH-000502,-1.8148109559099999
ACH-000503,-1.56809265477
ACH-000505,-1.8075403482700003
ACH-000507,-1.85604050259
ACH-000510,-2.0368890565599997
ACH-000511,-1.6652733226899998
ACH-000512,-1.81052680164
ACH-000516,-1.68302318211
ACH-000517,-1.8386335751499998
ACH-000518,-2.01028630876
ACH-000520,-1.7906454104400003
ACH-000521,-1.8257423332599998
ACH-000522,-1.8356949017299997
ACH-000524,-2.1192033992700003
ACH-000527,-1.85881858472
ACH-000528,-1.81168456879
ACH-000537,-2.0306944311
ACH-000541,-2.14212200494
ACH-000542,-1.80566832354
ACH-000544,-1.7491178336500002
ACH-000545,-1.75416636147
ACH-000547,-1.83833771067
ACH-000548,-1.8884056381
ACH-000549,-1.5645796923299997
ACH-000550,-1.8456194571900002
ACH-000552,-2.04023088898
ACH-000556,-1.9600324446900002
ACH-000557,-2.24136748432
ACH-000570,-1.80370840317
ACH-000571,-2.0005354562599997
ACH-000573,-2.03279295825
ACH-000576,-2.08685846801
ACH-000580,-2.0834858383
ACH-000584,-2.13184569396
ACH-000585,-2.0302859058
ACH-000588,-1.69231488588
ACH-000589,-1.7361289311599999
ACH-000591,-2.02941377808
ACH-000593,-2.08241181998
ACH-000600,-1.86447183903
ACH-000601,-1.69201192722
ACH-000604,-1.8128013360900004
ACH-000605,-2.12482831163
ACH-000606,-1.67839485857
ACH-000608,-1.9850048120099997
ACH-000614,-2.1308491323700003
ACH-000616,-1.9392589798099997
ACH-000618,-1.8380613721
ACH-000619,-1.88662434065
ACH-000620,-1.96872615118
ACH-000621,-1.9885775227000002
ACH-000622,-1.7502867579900003
ACH-000623,-1.98312647602
ACH-000624,-1.84193707483
ACH-000627,-1.61861752229
ACH-000630,-1.8515054675599998
ACH-000632,-1.92949240478
ACH-000633,-2.03128158623
ACH-000637,-1.8004280362599998
ACH-000638,-1.9438073357599996
ACH-000646,-1.7644099481
ACH-000647,-1.81034292694
ACH-000648,-1.79705192678
ACH-000649,-2.0027519725
ACH-000651,-1.87377432692
ACH-000652,-1.8456905402000001
ACH-000653,-2.12331009675
ACH-000657,-2.0890047510599996
ACH-000658,-2.13309860914
ACH-000661,-2.28535682379
ACH-000662,-2.02807204604
ACH-000663,-2.14216632103
ACH-000665,-1.8370597559200001
ACH-000671,-1.91351594118
ACH-000673,-1.75945097716
ACH-000676,-1.79777048697
