,YARS (8565)
ACH-000004,-1.68347461627
ACH-000007,-1.84652710803
ACH-000009,-2.0728384704700002
ACH-000011,-1.70714762419
ACH-000012,-1.7576378832099997
ACH-000013,-1.8892296448099997
ACH-000014,-1.7020059972400001
ACH-000015,-1.56996604806
ACH-000017,-1.92007511555
ACH-000018,-1.78384767116
ACH-000019,-1.9541367042200002
ACH-000021,-1.74608943997
ACH-000022,-1.87051982097
ACH-000025,-1.7021214873
ACH-000028,-1.5789769502200002
ACH-000030,-1.7004333431999998
ACH-000035,-1.60427602853
ACH-000036,-1.6127565074799999
ACH-000037,-2.02616823494
ACH-000039,-1.9005019883200003
ACH-000040,-1.6649543007499998
ACH-000041,-1.67686239533
ACH-000042,-1.8677711128
ACH-000045,-1.83156968505
ACH-000047,-1.60527289229
ACH-000052,-1.90384660153
ACH-000053,-1.76310414467
ACH-000054,-1.84290179307
ACH-000055,-1.75825666708
ACH-000060,-1.8929031905200002
ACH-000067,-1.7579935842299999
ACH-000070,-1.9029862201099998
ACH-000075,-1.91257761815
ACH-000078,-2.11653749785
ACH-000082,-1.5458876893900002
ACH-000085,-1.7079432936
ACH-000086,-1.60650517628
ACH-000087,-1.51387985778
ACH-000092,-1.80804592472
ACH-000095,-1.96183625643
ACH-000097,-2.05416468053
ACH-000098,-1.88197251245
ACH-000099,-2.10863475774
ACH-000108,-1.7371718766599997
ACH-000113,-1.7250892866900003
ACH-000115,-2.4079271014900003
ACH-000116,-1.57777726981
ACH-000118,-1.58098902838
ACH-000120,-2.00785947679
ACH-000123,-1.7693611384999999
ACH-000127,-1.9806699500099998
ACH-000128,-1.8624254388900003
ACH-000132,-2.16799336958
ACH-000133,-1.5528387527599998
ACH-000137,-1.74027041435
ACH-000138,-1.7123415853400001
ACH-000142,-1.74163272363
ACH-000143,-2.03120545366
ACH-000146,-1.8775044851299998
ACH-000148,-1.77198692897
ACH-000150,-2.02247256897
ACH-000152,-1.7989585488799997
ACH-000153,-1.7952520801499998
ACH-000159,-1.9685342548299998
ACH-000160,-2.0539766551400005
ACH-000163,-1.5384928257700001
ACH-000167,-2.50284611917
ACH-000168,-1.8898947064400002
ACH-000169,-1.61834760488
ACH-000178,-1.69296129514
ACH-000182,-2.03416491809
ACH-000183,-1.84633051879
ACH-000188,-1.6253144654700002
ACH-000189,-1.54156925609
ACH-000190,-1.45502641182
ACH-000198,-1.74314816724
ACH-000204,-1.7329625401
ACH-000206,-1.7873488698500002
ACH-000207,-1.60558884669
ACH-000211,-1.82487609148
ACH-000215,-1.91158734562
ACH-000221,-1.82065371127
ACH-000222,-1.79249770583
ACH-000223,-2.02428458344
ACH-000226,-1.55361543333
ACH-000227,-2.0861242939099998
ACH-000228,-1.5164946021899999
ACH-000231,-1.77818227944
ACH-000232,-1.8931486591599997
ACH-000233,-1.62032823365
ACH-000234,-1.8993503666999998
ACH-000235,-1.9834727545400002
ACH-000237,-1.6896540301299998
ACH-000238,-1.8406702804599997
ACH-000243,-1.64078278933
ACH-000244,-1.83296154527
ACH-000246,-1.7204770846700002
ACH-000248,-1.67281437395
ACH-000250,-1.69137026636
ACH-000251,-1.75203544569
ACH-000253,-1.9874921546400002
ACH-000255,-1.3802956237600001
ACH-000256,-1.7457022795800001
ACH-000257,-2.1871523971
ACH-000258,-1.32182523381
ACH-000259,-1.80438476824
ACH-000260,-1.5800898193900001
ACH-000261,-1.8424305085
ACH-000262,-2.02632881067
ACH-000263,-1.8300854455400002
ACH-000264,-2.21923587758
ACH-000265,-1.61765112484
ACH-000266,-1.91543774565
ACH-000272,-2.19955742387
ACH-000273,-1.7824532703599998
ACH-000274,-2.0263939775299997
ACH-000277,-2.20919235648
ACH-000278,-1.4325219553100002
ACH-000279,-1.8294649865900001
ACH-000280,-1.83687437527
ACH-000281,-1.92346820754
ACH-000288,-1.9693474857900002
ACH-000291,-1.87845922686
ACH-000293,-1.65353272054
ACH-000294,-1.65549670254
ACH-000295,-2.0363528619799998
ACH-000296,-2.03280810174
ACH-000302,-1.8575759269099998
ACH-000304,-1.90680433857
ACH-000307,-1.7300909189099998
ACH-000308,-2.16999147967
ACH-000310,-2.2338981911099998
ACH-000311,-1.82691705029
ACH-000312,-1.99338815125
ACH-000315,-1.7642498054799998
ACH-000316,-1.9596012235
ACH-000317,-1.87816545875
ACH-000318,-1.67094408653
ACH-000319,-1.9177452204299998
ACH-000320,-2.08585862556
ACH-000322,-2.02526277852
ACH-000323,-1.7736409886900002
ACH-000324,-1.70019350935
ACH-000329,-1.95745579167
ACH-000330,-1.83746493903
ACH-000331,-1.5850856361
ACH-000332,-1.8153532068
ACH-000334,-1.9435071978099998
ACH-000335,-1.8201768265599998
ACH-000336,-2.0589934306599997
ACH-000337,-1.7466564120099997
ACH-000339,-1.8736508620099999
ACH-000341,-2.08621559084
ACH-000348,-1.66882562596
ACH-000350,-1.9550797516099998
ACH-000352,-2.01293670719
ACH-000356,-1.62701049939
ACH-000361,-1.51892166456
ACH-000362,-1.71231646761
ACH-000363,-1.7217481111900002
ACH-000364,-1.63737231561
ACH-000365,-1.9905694970599996
ACH-000366,-2.03255444897
ACH-000368,-1.8805110342299998
ACH-000374,-1.7695858946
ACH-000375,-1.67338477312
ACH-000376,-1.4821728434399999
ACH-000381,-1.94534045865
ACH-000383,-2.31028386754
ACH-000387,-1.69082138429
ACH-000389,-1.6546743050400001
ACH-000390,-1.9575306166900004
ACH-000393,-1.7408552952599998
ACH-000395,-1.7425635879599997
ACH-000397,-1.7644169284599998
ACH-000401,-1.4270793964
ACH-000402,-1.82771907665
ACH-000403,-2.00779202467
ACH-000404,-1.60175085056
ACH-000406,-1.7728054488900002
ACH-000407,-2.1004443933
ACH-000408,-1.9358142813299999
ACH-000410,-1.60859235667
ACH-000411,-1.6792075280599998
ACH-000414,-2.05394445753
ACH-000415,-1.8609103642299998
ACH-000416,-1.62054510819
ACH-000420,-1.7835018361200001
ACH-000421,-1.56825228614
ACH-000424,-1.9869544890200002
ACH-000425,-1.9239906262200002
ACH-000426,-1.67832456303
ACH-000427,-1.97865588535
ACH-000433,-1.7253603572999998
ACH-000436,-1.86281568775
ACH-000444,-1.6961928391
ACH-000445,-1.8693668815
ACH-000448,-1.77670963975
ACH-000450,-1.9353700563499998
ACH-000452,-2.07879111724
ACH-000454,-1.6139440052399998
ACH-000458,-1.59939477484
ACH-000459,-1.27531193259
ACH-000460,-1.57117073779
ACH-000461,-1.70774697976
ACH-000463,-1.6950363293700001
ACH-000464,-2.18168175526
ACH-000466,-1.95515663935
ACH-000467,-1.6620281590500001
ACH-000468,-2.0503536058700003
ACH-000469,-1.82338755834
ACH-000470,-2.28723379949
ACH-000471,-2.18865244634
ACH-000472,-2.22672704447
ACH-000473,-1.65894960868
ACH-000475,-2.0305617658400004
ACH-000476,-1.7829115626099998
ACH-000477,-1.6455042052200002
ACH-000480,-1.75459033768
ACH-000481,-1.99983432622
ACH-000483,-1.7836635044599998
ACH-000484,-1.64697169604
ACH-000485,-1.9692364052900002
ACH-000486,-1.76401713748
ACH-000487,-1.73114782465
ACH-000488,-1.7114761309600002
ACH-000490,-1.75168634083
ACH-000491,-1.8585352676400002
ACH-000495,-1.6131596085799997
ACH-000496,-1.86748170164
ACH-000499,-1.7732730358400002
ACH-000500,-1.81014233015
ACH-000502,-1.7961542286400003
ACH-000503,-1.54776190495
ACH-000505,-1.7435380092700001
ACH-000507,-1.62322713919
ACH-000510,-1.88187922903
ACH-000511,-1.5183502673700002
ACH-000512,-1.8488306111200001
ACH-000516,-1.62296714678
ACH-000517,-1.9040704801
ACH-000518,-1.62041705115
ACH-000520,-1.8444232568099999
ACH-000521,-1.9224446766
ACH-000522,-1.9872177526599997
ACH-000524,-1.9858872923500002
ACH-000527,-1.74605190435
ACH-000528,-1.66554008246
ACH-000537,-1.56916888924
ACH-000541,-1.5198412959099998
ACH-000542,-1.95799723902
ACH-000544,-1.7074963568900001
ACH-000545,-1.8158761056200001
ACH-000547,-1.51229833845
ACH-000548,-1.6688507838
ACH-000549,-1.4472739573700002
ACH-000550,-1.8079288921799999
ACH-000552,-1.7508563398199999
ACH-000556,-1.76857414605
ACH-000557,-2.10812383277
ACH-000570,-1.7546651289099997
ACH-000571,-2.39961441243
ACH-000573,-1.70332821792
ACH-000576,-1.76373830322
ACH-000580,-1.88653033463
ACH-000584,-2.0717433018799998
ACH-000585,-2.05381815925
ACH-000588,-1.7234807646099999
ACH-000589,-1.77838970337
ACH-000591,-1.8612774081999999
ACH-000593,-2.10355289291
ACH-000600,-2.01534856507
ACH-000601,-1.7597298559
ACH-000604,-1.6925482018
ACH-000605,-1.85255410126
ACH-000606,-1.52074110342
ACH-000608,-2.03388632458
ACH-000614,-1.5028296485100001
ACH-000616,-1.65962215691
ACH-000618,-1.5934782205000002
ACH-000619,-1.63130676064
ACH-000620,-2.09128980156
ACH-000621,-2.12483251683
ACH-000622,-1.6556904452599999
ACH-000623,-1.76478677313
ACH-000624,-1.8569516326599997
ACH-000627,-1.93740356295
ACH-000630,-1.58618875732
ACH-000632,-1.8020252834700001
ACH-000633,-2.28090026161
ACH-000637,-1.4442335897
ACH-000638,-1.8216832285
ACH-000646,-1.9284050357900002
ACH-000647,-1.8107951480400002
ACH-000648,-1.56084272352
ACH-000649,-1.8192541953299999
ACH-000651,-1.7959531886400002
ACH-000652,-1.89665357553
ACH-000653,-1.8756188343
ACH-000657,-1.9997557624400002
ACH-000658,-2.0253721759200003
ACH-000661,-1.64665237841
ACH-000662,-1.94327552838
ACH-000663,-1.66319685001
ACH-000665,-1.6371923710799998
ACH-000671,-1.95450332341
ACH-000673,-1.8319434729900002
ACH-000676,-1.8173185464099997
ACH-000677,-1.5034917059200001
ACH-000681,-1.86164668776
ACH-000682,-1.93410863935
ACH-000683,-2.26427305979
ACH-000684,-2.03240521629
ACH-000688,-1.8567692217099998
ACH-000693,-1.7709068447799998
ACH-000694,-1.87287189993
ACH-000695,-1.85902262155
ACH-000696,-1.5675265916799999
ACH-000697,-1.58229431012
ACH-000699,-1.5724215026
ACH-000701,-1.64180623725
ACH-000706,-1.73456312092
ACH-000711,-1.7362868876299997
ACH-000713,-1.7993539850099998
ACH-000714,-1.80790968748
ACH-000718,-2.06279008946
ACH-000720,-1.7338847075400001
ACH-000721,-1.85452523088
ACH-000724,-2.06855273125
ACH-000725,-1.3693142280500001
ACH-000732,-1.66964497466
ACH-000734,-1.90999037867
ACH-000735,-1.77351937188
ACH-000736,-1.8071378116900003
ACH-000738,-1.67750224287
ACH-000746,-1.9622369535
ACH-000747,-1.6115536518
ACH-000748,-1.78498313688
ACH-000753,-1.6671152227200001
ACH-000756,-1.8394514641799997
ACH-000757,-2.33101608862
ACH-000758,-1.83310073099
ACH-000760,-1.63548494027
ACH-000763,-1.65901538426
ACH-000764,-1.81272706302
ACH-000765,-1.45244263985
ACH-000766,-2.12601619238
ACH-000767,-1.82505734603
ACH-000768,-1.59396690133
ACH-000769,-1.8614042313900003
ACH-000770,-1.7054010264700001
ACH-000771,-1.4784295851299998
ACH-000773,-1.80603464431
ACH-000776,-1.67134644416
ACH-000777,-1.70011066379
ACH-000778,-1.8018621126400003
ACH-000781,-1.6930829287399998
ACH-000782,-1.6205216619799998
ACH-000783,-2.35774290136
ACH-000784,-1.92800737292
ACH-000785,-1.5431448989399998
ACH-000787,-1.7790530461900003
ACH-000788,-1.9156995878799998
ACH-000791,-1.7603460972599998
ACH-000792,-1.5792658129700001
ACH-000794,-1.72338624437
ACH-000796,-1.87338946435
ACH-000799,-1.48143840502
ACH-000800,-1.5297570323299998
ACH-000802,-1.89407137305
ACH-000804,-1.8158848356900001
ACH-000805,-1.7316255439099997
ACH-000809,-1.8298519539400002
ACH-000810,-1.783669994
ACH-000811,-1.97004327836
ACH-000817,-1.4718898539899998
ACH-000819,-1.78200512057
ACH-000820,-1.7157326371000001
ACH-000821,-1.7197118073700002
ACH-000822,-1.9783947798599997
ACH-000823,-1.8731280029599997
ACH-000824,-1.7694333352900002
ACH-000827,-1.45637117706
ACH-000829,-1.7550039551599996
ACH-000831,-1.6161941884200002
ACH-000832,-1.6877614860799999
ACH-000833,-1.4967070867299999
ACH-000834,-1.8406056000400002
ACH-000835,-1.8421721169499998
ACH-000836,-1.9587560360799998
ACH-000837,-1.8026465421000002
ACH-000838,-1.8469009731400001
ACH-000839,-1.63526222617
ACH-000840,-1.4909672694799998
ACH-000841,-1.85837197375
ACH-000843,-1.7558476759400001
ACH-000846,-1.44621395069
ACH-000847,-1.9464467932099998
ACH-000848,-1.4904589999700002
ACH-000849,-1.7779146889400002
ACH-000851,-1.75479804646
ACH-000855,-1.8240304198500001
ACH-000856,-1.74022016526
ACH-000858,-1.50072987613
ACH-000859,-1.74397873039
ACH-000861,-1.6728098062799999
ACH-000862,-1.73239115743
ACH-000865,-1.6518469072400002
ACH-000866,-1.9296636019
ACH-000867,-1.76543835045
ACH-000869,-2.42935984903
ACH-000872,-1.63159824549
ACH-000873,-1.8071666126099997
ACH-000876,-1.2122333694
ACH-000878,-1.38592386606
ACH-000880,-1.7193593479
ACH-000881,-1.62427841555
ACH-000882,-1.5452718275600001
ACH-000884,-1.78454928193
ACH-000885,-1.67333026764
ACH-000887,-1.71084442806
ACH-000888,-1.8442454573599998
ACH-000889,-2.07110355698
ACH-000890,-1.95057479181
ACH-000896,-1.65163133694
ACH-000898,-1.7644691558599999
ACH-000900,-1.7323794969
ACH-000901,-1.86936576616
ACH-000905,-1.7616976416699999
ACH-000906,-1.75003143395
ACH-000907,-1.7063919907299998
ACH-000910,-1.9234226403
ACH-000911,-1.76206732933
ACH-000912,-1.6369868628
ACH-000913,-1.89417604665
ACH-000915,-1.7616257233000001
ACH-000916,-2.17587491321
ACH-000917,-1.8849206840400001
ACH-000921,-1.52639339746
