,OR5AS1 (219447)
ACH-000004,-0.0839818071447
ACH-000007,-0.042244413402000004
ACH-000009,-0.04385683121069999
ACH-000011,-0.269583711485
ACH-000012,-0.136093616472
ACH-000013,-0.125414675656
ACH-000014,-0.031824183495400005
ACH-000015,-0.0837663417682
ACH-000017,-0.118350454359
ACH-000018,0.155460078894
ACH-000019,-0.199613880289
ACH-000021,-0.0995272324807
ACH-000022,-0.13240015563
ACH-000025,-0.119333243233
ACH-000028,-0.110069482438
ACH-000030,-0.20794309919300002
ACH-000035,-0.0245381519635
ACH-000036,-0.148923012828
ACH-000037,-0.153093684256
ACH-000039,-0.263111731857
ACH-000040,-0.060855230407499995
ACH-000041,0.282438703195
ACH-000042,-0.17119201290199998
ACH-000045,-0.18262867147999998
ACH-000047,-0.09962688423730001
ACH-000052,-0.182712600229
ACH-000053,-0.08119018062689999
ACH-000054,0.0145706444405
ACH-000055,0.161743620149
ACH-000060,-0.0728354778448
ACH-000067,-0.175867447337
ACH-000070,8.12302176175e-05
ACH-000075,-0.0430827126472
ACH-000078,-0.17601826783799998
ACH-000082,-0.08894410217609999
ACH-000085,0.0919007503795
ACH-000086,-0.20596461666299998
ACH-000087,0.250429948924
ACH-000092,-0.0376937455771
ACH-000095,-0.133010386082
ACH-000097,-0.171779425224
ACH-000098,-0.023327292913799997
ACH-000099,-0.08346965832669999
ACH-000108,-0.281063508226
ACH-000113,0.0903281028149
ACH-000115,-0.021027121546400004
ACH-000116,-0.033431571655099995
ACH-000118,-0.20881084824299997
ACH-000120,-0.012960800226
ACH-000123,-0.0188079044537
ACH-000127,-0.11612591247199999
ACH-000128,-0.249815450418
ACH-000132,-0.364470524447
ACH-000133,-0.14419873215
ACH-000137,0.00632818895943
ACH-000138,-0.119732532973
ACH-000142,-0.503895988342
ACH-000143,-0.09896887680939999
ACH-000146,0.0242219316166
ACH-000148,-0.19454624083900002
ACH-000150,0.0382348595451
ACH-000152,0.0444289136876
ACH-000153,0.239459456613
ACH-000159,-0.08430096087439999
