,UBE2K (3093)
ACH-000004,-0.617303388202
ACH-000007,-0.11084673672800001
ACH-000009,0.23066528059
ACH-000011,-0.0347307136426
ACH-000012,-0.26624638374000004
ACH-000013,-0.187594896431
ACH-000014,0.36877142316699996
ACH-000015,-0.561071512716
ACH-000017,0.369893690236
ACH-000018,-0.32624118477499997
ACH-000019,-0.200052384017
ACH-000021,-0.452636571162
ACH-000022,-0.206683586885
ACH-000025,-0.00364915940455
ACH-000028,-0.330262485931
ACH-000030,-0.229244968769
ACH-000035,-0.195827803253
ACH-000036,-0.127777644892
ACH-000037,-0.375224955079
ACH-000039,-0.846687134036
ACH-000040,-0.141706654676
ACH-000041,-0.206449847379
ACH-000042,-0.45608353100000004
ACH-000045,-0.648386784816
ACH-000047,-0.337729288309
ACH-000052,-0.204316840887
ACH-000053,-0.35628310034
ACH-000054,-0.17711421659499998
ACH-000055,-0.210229439429
ACH-000060,-0.4722569140899999
ACH-000067,-0.187674354056
ACH-000070,-0.191414101147
ACH-000075,-0.07290668237970001
ACH-000078,-0.04751716918269999
ACH-000082,-0.2525523769
ACH-000085,-0.520042578261
ACH-000086,-0.365915242481
ACH-000087,-0.102906494928
ACH-000092,-0.345235577374
ACH-000095,-0.260659139166
ACH-000097,0.252897198067
ACH-000098,-0.266896708266
ACH-000099,-0.279380456605
ACH-000108,-0.303978765431
ACH-000113,-0.5023413344950001
ACH-000115,-0.259260449093
ACH-000116,-0.393372608632
ACH-000118,-0.586556817825
ACH-000120,-0.35945927416199996
ACH-000123,-0.295831813954
ACH-000127,-0.235701886193
ACH-000128,-0.345562892185
ACH-000132,-0.134219026381
ACH-000133,-0.539207217786
ACH-000137,-0.19451782325800002
ACH-000138,-0.574955291697
ACH-000142,-0.431960742302
ACH-000143,-0.328039421846
ACH-000146,-0.29128944636799997
ACH-000148,-0.276718066823
ACH-000150,-0.0746187542767
ACH-000152,-0.429576096775
ACH-000153,-0.456959207426
ACH-000159,-0.0369639840654
ACH-000160,-0.259964164074
ACH-000163,-0.788470816533
ACH-000167,-0.09993939451789999
ACH-000168,-0.039690917446800006
ACH-000169,-0.11993623393899999
ACH-000178,-0.385864507528
ACH-000182,-0.404768135551
ACH-000183,0.0845415210708
ACH-000188,-0.405451507686
ACH-000189,0.273895383506
ACH-000190,-0.264480140515
ACH-000198,-0.813965287666
ACH-000204,-0.510091704734
ACH-000206,-0.255562986542
ACH-000207,-0.612558635409
ACH-000211,-0.037123746476300006
ACH-000215,-0.434231185033
ACH-000221,-0.323806034455
ACH-000222,-0.609427450524
ACH-000223,-0.314339318321
ACH-000226,-0.248445335651
ACH-000227,-0.22123710240400002
ACH-000228,-0.266524195973
ACH-000231,-0.44495624768299996
ACH-000232,-0.0017855433957799998
ACH-000233,-0.08768306321519999
ACH-000234,0.410177380502
ACH-000235,-0.322978553905
ACH-000237,-0.286322578447
ACH-000238,-0.489417622565
ACH-000243,-0.323601224794
ACH-000244,0.7104302011929999
ACH-000246,0.08894258386210001
ACH-000248,-0.445546285669
ACH-000250,-0.5095102930100001
ACH-000251,-0.970567766367
ACH-000253,-0.45623538546099995
ACH-000255,-0.238391299905
ACH-000256,-0.273712809773
ACH-000257,-0.596211440255
ACH-000258,-1.28371045277
ACH-000259,-0.22812015768899999
ACH-000260,-0.10321820421399999
ACH-000261,-0.47552564794299995
ACH-000262,-0.33960856409
ACH-000263,-0.43509665366300004
ACH-000264,-0.716008441955
ACH-000265,-0.253089508075
ACH-000266,-0.36821265782799995
ACH-000272,-0.363285401284
ACH-000273,-0.340008955607
ACH-000274,0.022301543104
ACH-000277,-0.7130565550489999
ACH-000278,-0.17252537074299998
ACH-000279,-0.165377119201
ACH-000280,-0.105576279651
ACH-000281,-0.0911701408152
ACH-000288,-0.295736233408
ACH-000291,-0.144133651781
ACH-000293,-0.282125108206
ACH-000294,-0.648531772726
ACH-000295,-0.663384723988
ACH-000296,-0.192418180918
ACH-000302,-0.197461784595
ACH-000304,-0.143125937031
ACH-000307,-0.34533239284199996
ACH-000308,-0.43358499219499996
ACH-000310,-0.11778482477499999
ACH-000311,-0.240735608528
ACH-000312,0.008064522677770001
ACH-000315,-0.235280910797
ACH-000316,-0.505559795402
ACH-000317,0.192560551954
ACH-000318,-0.274075213897
ACH-000319,-0.310457648884
ACH-000320,-0.110882173572
ACH-000322,0.27243105870900003
ACH-000323,-0.282109055851
ACH-000324,-0.350083536721
ACH-000329,-0.22370387411400003
ACH-000330,-0.36398856379199995
ACH-000331,-0.36940397777500006
ACH-000332,-0.194910872749
ACH-000334,-0.384203407798
ACH-000335,-0.141369545444
ACH-000336,-0.46969838844800005
ACH-000337,-0.635729024992
