,CEP85L (387119)
ACH-000004,-0.39794687924500005
ACH-000007,-0.279389518913
ACH-000009,-0.0872056718168
ACH-000011,-0.262525401853
ACH-000012,-0.059679381234
ACH-000013,-0.238854070988
ACH-000014,-0.308040208145
ACH-000015,-0.25966987180100004
ACH-000017,-0.0421247122396
ACH-000018,-0.517243299787
ACH-000019,-0.351089975444
ACH-000021,-0.35406773415799997
ACH-000022,-0.293851986701
ACH-000025,-0.297816883979
ACH-000028,-0.234147814154
ACH-000030,-0.325649879531
ACH-000035,-0.19495962873
ACH-000036,-0.367651087266
ACH-000037,-0.00475184541962
ACH-000039,-0.641806126681
ACH-000040,-0.0223797837377
ACH-000041,-0.299770252599
ACH-000042,-0.147163067294
ACH-000045,-0.13508984258600001
ACH-000047,-0.17024271651200001
ACH-000052,-0.22981375394200002
ACH-000053,-0.038300729374599995
ACH-000054,-0.35197568191100004
ACH-000055,-0.418485879413
ACH-000060,-0.46792252646000004
ACH-000067,-0.45530068113899996
ACH-000070,-0.334396967669
ACH-000075,-0.07930010481610002
ACH-000078,0.0330476323422
ACH-000082,-0.366810479137
ACH-000085,-0.41923150645900004
ACH-000086,-0.230284916695
ACH-000087,-0.346052953766
ACH-000092,-0.260529261411
ACH-000095,-0.307185623788
ACH-000097,-0.12117594979900001
ACH-000098,-0.425084266062
ACH-000099,-0.336658609921
ACH-000108,-0.0258248462125
ACH-000113,-0.241779765966
ACH-000115,-0.173740067857
ACH-000116,-0.177275332996
ACH-000118,-0.117285475101
ACH-000120,-0.198308407143
ACH-000123,-0.143814528281
ACH-000127,-0.128132117229
ACH-000128,-0.264989902293
ACH-000132,-0.474530197645
ACH-000133,-0.0293451346513
ACH-000137,-0.28012119522100004
ACH-000138,-0.138185502439
ACH-000142,-0.10250451454500001
ACH-000143,-0.30047073376999994
ACH-000146,-0.195769474903
ACH-000148,-0.251802249642
ACH-000150,-0.122712791637
ACH-000152,-0.36519935590999997
ACH-000153,-0.047964971020200003
ACH-000159,-0.288883502597
ACH-000160,-0.36336583986000004
ACH-000163,-0.29865269134399997
ACH-000167,-0.6623532269969999
ACH-000168,-0.18068502671199999
ACH-000169,-0.1620635066
ACH-000178,-0.106005291403
ACH-000182,-0.230364547319
ACH-000183,0.036388875501800005
ACH-000188,-0.135144604366
ACH-000189,-0.444538063129
ACH-000190,-0.315748422313
ACH-000198,-0.144556234413
ACH-000204,-0.5376753759880001
ACH-000206,-0.503829488778
ACH-000207,-0.177145277619
ACH-000211,-0.298351968123
ACH-000215,-0.19623591074000002
ACH-000221,-0.23269834925500002
ACH-000222,0.0611451963411
ACH-000223,-0.31002193413
ACH-000226,-0.18541628097100002
ACH-000227,-0.7436082166500001
ACH-000228,-0.410425898235
ACH-000231,-0.329247927234
ACH-000232,-0.159785864034
ACH-000233,-0.26508506489
ACH-000234,-0.13876902156600002
ACH-000235,-0.167360064832
ACH-000237,0.043431710994800005
ACH-000238,-0.16794211850000001
ACH-000243,-0.084273024406
ACH-000244,-0.588276998677
ACH-000246,-0.115072714736
ACH-000248,-0.127512701963
ACH-000250,-0.128650976836
ACH-000251,-0.42838158929700004
ACH-000253,-0.30915851524
ACH-000255,-0.22363359546300002
ACH-000256,-0.0616982484255
ACH-000257,-0.150337957118
ACH-000258,-0.060772139939099995
ACH-000259,-0.237524815783
ACH-000260,-0.21334707212499998
ACH-000261,-0.47922950079
