,UQCRC2 (7385)
ACH-000004,-0.940525250235
ACH-000007,-0.871681869708
ACH-000009,-0.648196937166
ACH-000011,-0.422270297834
ACH-000012,-0.871918266388
ACH-000013,-0.8485782237739999
ACH-000014,-0.7208312228110001
ACH-000015,-1.16789102206
ACH-000017,-0.429159369135
ACH-000018,-0.47048195794299996
ACH-000019,-0.928275285993
ACH-000021,-0.8548262944949999
ACH-000022,-0.6226367935980001
ACH-000025,-0.792697027788
ACH-000028,-0.888024493348
ACH-000030,-0.9246147915880001
ACH-000035,-0.7882418484710001
ACH-000036,-0.185962931243
ACH-000037,-0.7914672151119999
ACH-000039,-0.6940142477850001
ACH-000040,-0.54444605156
ACH-000041,-0.679387879289
ACH-000042,-0.44413283891500005
ACH-000045,-0.7132468126710001
ACH-000047,-0.8738808163349999
ACH-000052,-0.39601095905
ACH-000053,-0.7880402525810001
ACH-000054,-1.10426363375
ACH-000055,-0.53426263964
ACH-000060,-0.455482652654
ACH-000067,-0.705945954896
ACH-000070,-1.14243828425
ACH-000075,-0.36668259641500006
ACH-000078,-0.786716155054
ACH-000082,-0.47122505415700006
ACH-000085,-0.147364482126
ACH-000086,-0.891521054985
ACH-000087,-1.1048737340500001
ACH-000092,-0.573245876392
ACH-000095,-0.307418041977
ACH-000097,-0.7131043199160001
ACH-000098,-0.772557427528
ACH-000099,-0.9332625967810001
ACH-000108,-0.502759252905
ACH-000113,-0.9888388466179999
ACH-000115,-0.835798101185
ACH-000116,-0.71773914897
ACH-000118,-1.12911518911
ACH-000120,-0.774663223937
ACH-000123,-0.80966368137
ACH-000127,-0.998833196856
ACH-000128,-0.709414649547
ACH-000132,-0.801857464155
ACH-000133,-0.427804916496
ACH-000137,-0.619941064904
ACH-000138,-1.08173116372
ACH-000142,-0.280321281323
ACH-000143,-0.5878633757989999
ACH-000146,-0.9564332067839999
ACH-000148,-0.824560701472
ACH-000150,-0.9355149948479999
ACH-000152,-0.642009083191
ACH-000153,-0.8593530112860001
ACH-000159,-0.774413363214
ACH-000160,-1.02476723731
ACH-000163,-0.6735114118979999
ACH-000167,-0.687227628052
ACH-000168,-0.5094517997429999
ACH-000169,-0.640502151353
ACH-000178,-0.365008315727
ACH-000182,-1.21665968869
ACH-000183,-1.03027211641
ACH-000188,-0.435951946018
ACH-000189,-0.759776942838
ACH-000190,-0.8179062382790001
ACH-000198,-0.830162529149
ACH-000204,-0.7376944998139999
ACH-000206,-0.5553302730399999
ACH-000207,-0.980342017317
ACH-000211,-0.53277728757
ACH-000215,-0.7946854082420001
ACH-000221,-1.18517988142
ACH-000222,-0.801671785339
ACH-000223,-0.809704683431
ACH-000226,-0.999864749217
ACH-000227,-0.912957443777
ACH-000228,-0.543782241628
ACH-000231,-0.373590529702
ACH-000232,-0.544944151063
ACH-000233,-0.948050428045
ACH-000234,-0.70219845126
ACH-000235,-0.760538512395
ACH-000237,-0.253439668944
ACH-000238,-0.407392422702
ACH-000243,-0.770153389528
ACH-000244,-0.41169015804399994
ACH-000246,-0.884411894056
ACH-000248,-0.68589632872
ACH-000250,-0.31706682478
ACH-000251,-0.6666993186569999
ACH-000253,-0.936484685248
ACH-000255,-0.374021110283
ACH-000256,-0.385222294063
ACH-000257,-0.9722484488950001
ACH-000258,-0.8025677923710001
ACH-000259,-0.696187374769
ACH-000260,-0.424082689148
ACH-000261,-0.52912588732
ACH-000262,-0.8453840768340001
ACH-000263,-0.713151531751
ACH-000264,-0.678627848337
ACH-000265,-1.0402507226
ACH-000266,-0.517969465114
ACH-000272,-0.740530188523
ACH-000273,-0.637619541188
ACH-000274,-0.602155787822
ACH-000277,-0.835237289016
ACH-000278,-0.451801025664
ACH-000279,-1.0683190178200002
ACH-000280,-0.647030659356
ACH-000281,-0.753358587359
ACH-000288,-0.9968745198479999
ACH-000291,-0.7630438592829999
ACH-000293,-0.696880715485
ACH-000294,-0.6792145216969999
ACH-000295,-0.77949747064
ACH-000296,-0.342478963796
ACH-000302,-0.68027038277
ACH-000304,-0.9692079267489999
ACH-000307,-0.912105348876
ACH-000308,-0.746054257438
ACH-000310,-0.666709750986
ACH-000311,-0.896438037627
ACH-000312,-1.04944020484
ACH-000315,-0.514581375443
ACH-000316,-0.782329202561
ACH-000317,-1.16412340279
ACH-000318,-0.702624657065
ACH-000319,-0.919983417543
ACH-000320,-0.9260512002619999
ACH-000322,-1.1309620005
ACH-000323,-0.847395595443
ACH-000324,-0.339027849208
ACH-000329,-1.1540200663299998
ACH-000330,-0.653049878336
ACH-000331,-0.31897681387
ACH-000332,-0.351366871256
ACH-000334,-1.05905619524
ACH-000335,-0.544712662041
ACH-000336,-0.675389604525
ACH-000337,-0.812876314419
ACH-000339,-1.03766546636
ACH-000341,-0.722460829034
ACH-000348,-0.809624567353
ACH-000350,-0.646420877699
ACH-000352,-0.9012934547470001
ACH-000356,-0.794445952847
ACH-000361,-0.301016372297
ACH-000362,-0.9348459177799999
ACH-000363,-0.9032090108349999
ACH-000364,-0.641742542028
ACH-000365,-0.94193955154
ACH-000366,-0.781365207559
ACH-000368,-0.665206153002
ACH-000374,-0.980919581161
ACH-000375,-0.772171662648
ACH-000376,-0.844606889278
ACH-000381,-0.9147533533159999
ACH-000383,-1.07150598256
ACH-000387,-1.10030135923
ACH-000389,-0.28155091062800003
ACH-000390,-0.874550926862
ACH-000393,-0.336518017484
ACH-000395,-0.650552975868
ACH-000397,-0.426045618154
ACH-000401,-0.8262453235320001
ACH-000402,-0.8044570618260001
ACH-000403,-0.782219929753
ACH-000404,-0.924523925566
ACH-000406,-1.01680471608
ACH-000407,-0.552951470428
ACH-000408,-0.725259918797
ACH-000410,-0.7676115874670001
ACH-000411,-0.564325311005
ACH-000414,-0.769842157725
ACH-000415,-0.7087922417020001
ACH-000416,-0.8412101579979999
ACH-000420,-0.699743966254
ACH-000421,-0.538675808479
ACH-000424,-0.958651845227
ACH-000425,-1.19143333816
ACH-000426,-0.594029376971
ACH-000427,-0.846710623257
ACH-000433,-0.7415812520080001
ACH-000436,-0.45298270093299997
ACH-000444,-1.09729523378
ACH-000445,-0.7087888849189999
ACH-000448,-0.46340668631899995
ACH-000450,-1.12658164302
ACH-000452,-0.576122720729
ACH-000454,-0.962287121072
ACH-000458,-0.638521923359
ACH-000459,-1.5485458545
ACH-000460,-0.745600861595
ACH-000461,-1.4219451460299999
ACH-000463,-0.431072787837
ACH-000464,-0.653893662372
ACH-000466,-0.578399603864
ACH-000467,-1.02499401348
ACH-000468,-0.634311237658
ACH-000469,-0.939106261007
ACH-000470,-0.35237139456
ACH-000471,-0.46695006947400003
ACH-000472,-0.8295913090870001
ACH-000473,-0.444867611593
ACH-000475,-0.74513782625
ACH-000476,-0.850423832984
ACH-000477,-0.7464490499359999
ACH-000480,-0.874654304254
ACH-000481,-0.536830383619
ACH-000483,-1.04750577604
ACH-000484,-0.5733419695759999
ACH-000485,-0.827677614946
ACH-000486,-0.7713418350810001
ACH-000487,-1.02403678608
ACH-000488,-0.947844473169
ACH-000490,-0.497047339029
ACH-000491,-1.1331335389200001
ACH-000495,-0.237499990222
ACH-000496,-0.5861823525959999
ACH-000499,-0.951342261022
ACH-000500,-0.7856101972669999
ACH-000502,-0.460028304085
ACH-000503,-0.477838528385
ACH-000505,-0.68744266358
ACH-000507,-0.752562117091
ACH-000510,-0.9077956513600001
ACH-000511,-0.50611865773
ACH-000512,-1.29330194869
ACH-000516,-0.6028914643609999
ACH-000517,-0.43466092668899997
ACH-000518,-0.660442092684
ACH-000520,-0.5135999871670001
ACH-000521,-0.5557978474759999
ACH-000522,-0.918549098761
ACH-000524,-0.399864285308
ACH-000527,-0.7539135383419999
ACH-000528,-1.0826622382100002
ACH-000537,-1.03984921398
ACH-000541,-0.6525896524229999
ACH-000542,-0.49536114397299996
ACH-000544,-0.82595654352
ACH-000545,-0.802423427006
ACH-000547,-0.9103765624369999
ACH-000548,-0.544421480256
ACH-000549,-0.92802316692
ACH-000550,-0.512913038076
ACH-000552,-0.6925312709620001
ACH-000556,-0.924855128663
ACH-000557,-0.676442888467
ACH-000570,-0.495047707506
ACH-000571,-0.8707438163510001
ACH-000573,-0.953692735159
ACH-000576,-0.442673383384
ACH-000580,-0.709299070307
ACH-000584,-0.979464009483
ACH-000585,-0.7909526007430001
ACH-000588,-0.604377290853
ACH-000589,-1.0972815948999999
ACH-000591,-0.7107419574510001
