,PPIAL4G (644591)
ACH-000004,-0.405057672165
ACH-000007,-0.08814430029999999
ACH-000009,-0.366097495364
ACH-000011,-0.238659486058
ACH-000012,-0.136405984412
ACH-000013,-0.522725707397
ACH-000014,-0.47339531626500003
ACH-000015,-0.40817222920900004
ACH-000017,-0.399732983088
ACH-000018,-0.23738536818000003
ACH-000019,-0.48608901515
ACH-000021,-0.424637988307
ACH-000022,-0.5038409155529999
ACH-000025,-0.25592221365400003
ACH-000028,-0.28296398027499997
ACH-000030,-0.372544037069
ACH-000035,-0.224742366546
ACH-000036,-0.546367069311
ACH-000037,-0.0290599789996
ACH-000039,-0.399820606427
ACH-000040,-0.15575091520099998
ACH-000041,-0.49611479701800004
ACH-000042,-0.27803702536999997
ACH-000045,-0.321847039848
ACH-000047,-0.39813501806
ACH-000052,-0.200821872058
ACH-000053,-0.341058365557
ACH-000054,-0.312926468312
ACH-000055,-0.250974589872
ACH-000060,-0.285706821346
ACH-000067,-0.220297695438
ACH-000070,-0.382823085349
ACH-000075,-0.290151571321
ACH-000078,-0.38902241484399996
ACH-000082,-0.5064145820489999
ACH-000085,-0.31659828501299997
ACH-000086,-0.367332806202
ACH-000087,-0.284704952205
ACH-000092,-0.30478805798700004
ACH-000095,-0.233786033098
ACH-000097,-0.432053239581
ACH-000098,-0.284678338663
ACH-000099,-0.301178290851
ACH-000108,-0.30956240258
ACH-000113,-0.460697179282
ACH-000115,-0.674893419391
ACH-000116,-0.333870796757
ACH-000118,-0.179515825544
ACH-000120,-0.234493632885
ACH-000123,-0.265241824016
ACH-000127,-0.5261057825209999
ACH-000128,-0.284718277741
ACH-000132,-0.511137795749
ACH-000133,-0.23785352551800001
ACH-000137,0.0911692495854
ACH-000138,-0.28840801821199996
ACH-000142,-0.0725613247585
ACH-000143,-0.375690104393
ACH-000146,-0.565320502174
ACH-000148,-0.38068301431199997
ACH-000150,-0.460213508619
ACH-000152,-0.165616205651
ACH-000153,-0.35608457621899997
ACH-000159,-0.722471499454
ACH-000160,-0.412589804168
ACH-000163,0.0523115490933
ACH-000167,-0.775111342999
