,ORAOV1 (220064)
ACH-000004,-1.67646280463
ACH-000007,-1.65635825994
ACH-000009,-1.58441964377
ACH-000011,-1.65976632883
ACH-000012,-1.29200528134
ACH-000013,-1.67175772659
ACH-000014,-1.43948929405
ACH-000015,-1.5908830554
ACH-000017,-1.63606115494
ACH-000018,-1.5443363676
ACH-000019,-1.42622911838
ACH-000021,-1.50525859946
ACH-000022,-1.65472438317
ACH-000025,-1.37285144819
ACH-000028,-1.54184577159
ACH-000030,-1.61881332738
ACH-000035,-1.4086299527500001
ACH-000036,-1.6810030512600003
ACH-000037,-2.12467592508
ACH-000039,-1.5617450096799999
ACH-000040,-1.31763921405
ACH-000041,-1.3772631435
ACH-000042,-1.4289851340000002
ACH-000045,-1.7144131148299997
ACH-000047,-1.41373318572
ACH-000052,-1.7504365478200001
ACH-000053,-1.6352781098
ACH-000054,-1.7577818017200002
ACH-000055,-1.4837725571
ACH-000060,-1.4763946875999998
ACH-000067,-1.34325959856
ACH-000070,-1.67714475852
ACH-000075,-1.4046075417800001
ACH-000078,-1.66819163278
ACH-000082,-1.52295888104
ACH-000085,-1.52479818852
ACH-000086,-1.82742575317
ACH-000087,-1.55129750274
ACH-000092,-1.85588234882
ACH-000095,-1.3725495075799998
ACH-000097,-1.30055455632
ACH-000098,-1.6738244771000002
ACH-000099,-1.72035840941
ACH-000108,-1.43294899264
ACH-000113,-1.6895251285100001
ACH-000115,-1.2623605852600002
ACH-000116,-1.3244708055299999
ACH-000118,-1.45605420456
ACH-000120,-1.6472803307600001
ACH-000123,-1.68412892354
ACH-000127,-1.5798162034099998
ACH-000128,-1.7531531197499999
ACH-000132,-1.4959911079799997
ACH-000133,-1.49960495397
ACH-000137,-1.4435087954499999
ACH-000138,-1.5790276277500002
ACH-000142,-1.46789650956
ACH-000143,-1.5082776229600001
ACH-000146,-1.9446423971
ACH-000148,-1.74728019853
ACH-000150,-1.54280968033
ACH-000152,-1.77600272962
ACH-000153,-1.77801318537
ACH-000159,-1.7265867796599998
ACH-000160,-1.9808257915
ACH-000163,-1.59385845322
ACH-000167,-2.0562653287
ACH-000168,-1.40142371713
ACH-000169,-1.54690848583
ACH-000178,-1.5958565805899998
ACH-000182,-1.67481497474
ACH-000183,-1.5265845224599999
ACH-000188,-1.17350734845
ACH-000189,-1.7661920951199999
ACH-000190,-1.95728563804
ACH-000198,-1.5193045684
ACH-000204,-1.53214113977
ACH-000206,-1.4049073545700002
ACH-000207,-1.85008437176
ACH-000211,-1.56664752842
ACH-000215,-1.77238323867
ACH-000221,-1.6148042837799998
ACH-000222,-1.55650872428
ACH-000223,-1.64012754549
ACH-000226,-1.3883165134600002
ACH-000227,-1.5381333044
ACH-000228,-1.4034404876100002
ACH-000231,-1.7489706054799998
ACH-000232,-1.65709084175
ACH-000233,-1.8759726198400002
ACH-000234,-1.62274190291
ACH-000235,-1.59122323677
ACH-000237,-1.59666834572
ACH-000238,-1.28062095275
ACH-000243,-1.3408967426
ACH-000244,-1.16425105411
ACH-000246,-1.6307112022
ACH-000248,-1.3571258888100002
ACH-000250,-1.5859803976299998
ACH-000251,-1.26685802298
ACH-000253,-1.7661578077200002
ACH-000255,-1.14581615942
ACH-000256,-1.5412410030500001
ACH-000257,-1.4299065872999999
ACH-000258,-1.85054960323
ACH-000259,-1.60338224601
ACH-000260,-1.3127894474200001
ACH-000261,-1.4659231185600001
ACH-000262,-1.31393653096
ACH-000263,-1.19428714853
ACH-000264,-1.2657591722
ACH-000265,-1.2702500851799998
ACH-000266,-1.23336414096
ACH-000272,-1.56624794431
ACH-000273,-1.5442931634700001
ACH-000274,-0.40195822628600003
ACH-000277,-1.4618174228299998
ACH-000278,-1.3607736868399998
ACH-000279,-1.75131291059
ACH-000280,-1.8040550759599998
ACH-000281,-1.50154361529
ACH-000288,-1.7219273717099997
ACH-000291,-1.8493662469
ACH-000293,-1.54087824571
ACH-000294,-1.9221743687400001
ACH-000295,-1.55881027041
ACH-000296,-1.52723571704
ACH-000302,-1.6223955845500002
ACH-000304,-1.7590337462299999
ACH-000307,-1.4808181869400001
ACH-000308,-1.71028385012
ACH-000310,-1.28736848979
ACH-000311,-1.4624087802899999
ACH-000312,-1.43944624409
ACH-000315,-1.3729152758899998
ACH-000316,-0.7915919869660001
ACH-000317,-1.53692058323
ACH-000318,-1.45094782899
ACH-000319,-1.6628030688
ACH-000320,-1.45927559986
ACH-000322,-1.8991347924200002
ACH-000323,-1.4439067266999999
ACH-000324,-1.50351903476
ACH-000329,-1.78853499118
ACH-000330,-1.54416011427
ACH-000331,-1.25875889901
ACH-000332,-1.4405810673500001
ACH-000334,-1.15640512719
ACH-000335,-1.3166228560200002
ACH-000336,-1.4804737939
ACH-000337,-1.33422289924
ACH-000339,-1.59112340729
ACH-000341,-1.8490040935299998
ACH-000348,-1.69996233246
ACH-000350,-1.32459618998
ACH-000352,-1.27129209198
ACH-000356,-1.46830225404
ACH-000361,-1.71717714526
ACH-000362,-1.69630046445
ACH-000363,-1.35124745
ACH-000364,-1.59897525716
ACH-000365,-1.7458629076900003
ACH-000366,-1.84726852396
ACH-000368,-1.3941371950600001
ACH-000374,-1.05442871924
ACH-000375,-1.59705390834
ACH-000376,-1.34155800562
ACH-000381,-1.42516602893
ACH-000383,-1.71172480678
ACH-000387,-1.2584293341600001
ACH-000389,-1.2894943465200002
ACH-000390,-1.6847533050999999
ACH-000393,-1.60865090743
ACH-000395,-1.7812434114700002
ACH-000397,-1.5092401269600002
ACH-000401,-1.6491320265
ACH-000402,-1.61482863267
ACH-000403,-1.5075362657299998
ACH-000404,-1.9275640364500002
ACH-000406,-1.5541769535299998
ACH-000407,-1.65439122072
ACH-000408,-1.4050315945700003
ACH-000410,-1.48254578405
ACH-000411,-1.36428213644
ACH-000414,-1.69951373098
ACH-000415,-0.889011422899
ACH-000416,-1.4965276806
