,TAF1C (9013)
ACH-000004,-1.45436436636
ACH-000007,-1.56332623092
ACH-000009,-1.03179105443
ACH-000011,-1.3114963512200002
ACH-000012,-1.19200742705
ACH-000013,-1.73793122267
ACH-000014,-1.57755065236
ACH-000015,-1.42684605514
ACH-000017,-1.4240968242899998
ACH-000018,-1.3126308391200001
ACH-000019,-1.0778887157200001
ACH-000021,-1.22345336593
ACH-000022,-1.39544682635
ACH-000025,-1.6763709034299998
ACH-000028,-1.05996314635
ACH-000030,-1.32806392299
ACH-000035,-1.4681496295299998
ACH-000036,-1.39439400238
ACH-000037,-2.23061577118
ACH-000039,-1.5162155731
ACH-000040,-1.4170254654899999
ACH-000041,-1.6230837397799998
ACH-000042,-1.23085231702
ACH-000045,-1.62602964928
ACH-000047,-1.4127656814700003
ACH-000052,-1.2124066706
ACH-000053,-1.49067593439
ACH-000054,-1.4905152457799997
ACH-000055,-1.6128067347100001
ACH-000060,-1.72317668051
ACH-000067,-1.3316189858399998
ACH-000070,-1.51702614523
ACH-000075,-1.5603714828100002
ACH-000078,-1.4412744797900001
ACH-000082,-1.7533660431799998
ACH-000085,-1.58540307926
ACH-000086,-1.17420124969
ACH-000087,-1.53436187632
ACH-000092,-1.4260811347799998
ACH-000095,-1.60019015065
ACH-000097,-1.35827382785
ACH-000098,-1.46552468341
ACH-000099,-1.14865752765
ACH-000108,-1.47916158461
ACH-000113,-1.5691971304700003
ACH-000115,-1.18657373818
ACH-000116,-1.19197337116
ACH-000118,-1.3343941565200002
ACH-000120,-1.37837116743
ACH-000123,-1.38236097255
ACH-000127,-1.16560871906
ACH-000128,-1.5551266966400001
ACH-000132,-1.24233008554
ACH-000133,-1.3462981272299999
ACH-000137,-1.55245942192
ACH-000138,-1.23273257286
ACH-000142,-1.51186131852
ACH-000143,-1.49689078282
ACH-000146,-1.10696219494
ACH-000148,-1.37322198413
ACH-000150,-1.467766014
ACH-000152,-1.5042650983899999
ACH-000153,-1.7589923967400003
ACH-000159,-1.67240579648
ACH-000160,-1.0912871366299999
ACH-000163,-1.4418977511000002
ACH-000167,-1.1393060154899999
ACH-000168,-1.64499436294
ACH-000169,-1.4408008090399997
ACH-000178,-1.31637884807
ACH-000182,-1.29131381346
ACH-000183,-1.2984356021899999
ACH-000188,-1.39273980174
ACH-000189,-1.5361230052500001
ACH-000190,-0.6761457329809999
ACH-000198,-1.4227769614899999
ACH-000204,-1.44489927717
ACH-000206,-1.35556126629
ACH-000207,-1.19942069803
ACH-000211,-1.4246499015399998
ACH-000215,-1.53985461921
ACH-000221,-1.24007611086
ACH-000222,-1.35795960856
ACH-000223,-1.12222498239
ACH-000226,-1.36799790959
ACH-000227,-1.1418632576799999
ACH-000228,-1.18789787941
ACH-000231,-1.30074229797
ACH-000232,-1.5198822128799998
ACH-000233,-1.51382617331
ACH-000234,-1.5996926038600001
ACH-000235,-1.35127929738
ACH-000237,-1.6612160022100002
ACH-000238,-1.44368148946
ACH-000243,-1.2514746053899999
ACH-000244,-1.0988337237799999
ACH-000246,-1.20267345484
ACH-000248,-1.53850273861
ACH-000250,-1.23144643401
ACH-000251,-1.58658106777
ACH-000253,-1.3503651912799999
ACH-000255,-1.26926884903
ACH-000256,-1.54121102928
ACH-000257,-1.33134466192
ACH-000258,-1.63642447699
ACH-000259,-1.30983485391
ACH-000260,-1.6979921320700002
ACH-000261,-1.47913412368
ACH-000262,-1.53644288759
ACH-000263,-1.37793158562
ACH-000264,-1.1665897289
ACH-000265,-1.35557447111
ACH-000266,-1.37961624067
ACH-000272,-1.18602908048
ACH-000273,-1.6763915363
ACH-000274,-1.52953855796
ACH-000277,-1.2434857579
ACH-000278,-1.36430509044
ACH-000279,-1.38264420113
ACH-000280,-1.57553003026
ACH-000281,-1.32450648075
ACH-000288,-1.70590232817
ACH-000291,-1.5321634368700001
ACH-000293,-1.25740194109
ACH-000294,-1.44761796821
ACH-000295,-1.4401086604299997
