,AGT (183)
ACH-000004,-0.0744970170427
ACH-000007,-0.117712265132
ACH-000009,-0.21645153944
ACH-000011,-0.24861376056099999
ACH-000012,-0.0437097443233
ACH-000013,-0.031529275032599995
ACH-000014,-0.0936548021787
ACH-000015,-0.11550362736
ACH-000017,-0.252061664272
ACH-000018,-0.331528496374
ACH-000019,0.160979504335
ACH-000021,-0.0663016995984
ACH-000022,0.00881075433653
ACH-000025,-0.320087227127
ACH-000028,0.0616828792875
ACH-000030,0.07480977593489999
ACH-000035,-0.186379334404
ACH-000036,-0.190954549846
ACH-000037,-0.0483329411142
ACH-000039,0.0126251393142
ACH-000040,-0.191475965075
ACH-000041,-0.131555204176
ACH-000042,-0.142103596173
ACH-000045,-0.048669385155100005
ACH-000047,-0.16707335376
ACH-000052,0.0257557986377
ACH-000053,-0.20027370028900002
ACH-000054,-0.0926117487129
ACH-000055,-0.490565892998
ACH-000060,-0.018818373972
ACH-000067,0.06410817490910001
ACH-000070,-0.0471255455753
ACH-000075,0.029478342337700005
ACH-000078,-0.229387824406
ACH-000082,-0.14490529830600002
ACH-000085,-0.24777889312600002
ACH-000086,-0.0426473555953
ACH-000087,-0.163954948863
ACH-000092,-0.043232811774699995
ACH-000095,-0.0912338001922
ACH-000097,-0.0387993275883
ACH-000098,-0.133058620887
ACH-000099,-0.0354105460062
ACH-000108,-0.192424262709
ACH-000113,-0.228814709797
ACH-000115,1.9700720081e-05
ACH-000116,-0.07744484667889999
ACH-000118,-0.043115705929699995
ACH-000120,-0.28415758707899996
ACH-000123,-0.0856463123013
ACH-000127,-0.160619035837
ACH-000128,0.201761596353
ACH-000132,-0.0890382145391
ACH-000133,-0.12872696885600002
ACH-000137,-0.163157481717
ACH-000138,0.028182889372400002
ACH-000142,-0.205489779703
ACH-000143,-0.0724199095069
ACH-000146,-0.278011410115
ACH-000148,-0.130541112496
ACH-000150,-0.112053157406
ACH-000152,-0.112497122801
ACH-000153,-0.19099557031
ACH-000159,-0.151154674686
ACH-000160,0.101178273782
ACH-000163,-0.00589291021965
ACH-000167,0.0723568952018
ACH-000168,-0.067420144949
ACH-000169,-0.0819215748667
ACH-000178,-0.150465185617
ACH-000182,-0.03673844539
ACH-000183,-0.145053318649
ACH-000188,0.038430474968
ACH-000189,0.011095327205600001
ACH-000190,0.21358902618
ACH-000198,-0.0388471999931
ACH-000204,0.0539029480882
ACH-000206,0.09086228494010001
ACH-000207,0.211926419914
ACH-000211,-0.0628740148484
ACH-000215,-0.0450186960673
ACH-000221,-0.054936193307300006
ACH-000222,-0.116117683405
ACH-000223,-0.0867232435427
ACH-000226,-0.226355927067
ACH-000227,-0.21376215962499998
ACH-000228,-0.0614823558672
ACH-000231,-0.062375291762
ACH-000232,0.024379763879800002
ACH-000233,-0.403793741894
ACH-000234,-0.166191067686
ACH-000235,-0.0775477421703
ACH-000237,-0.0810745809182
ACH-000238,-0.0812901755107
ACH-000243,0.0795615759914
ACH-000244,0.14154375512700001
ACH-000246,0.0211124267179
ACH-000248,0.00221198869615
ACH-000250,-0.06737288699869999
ACH-000251,-0.031235631790700002
ACH-000253,-0.007762429028510001
ACH-000255,0.0183513044575
ACH-000256,-0.253950452174
ACH-000257,-0.0657267141483
ACH-000258,-0.611147850641
ACH-000259,-0.139752510543
ACH-000260,-0.0575468759856
ACH-000261,-0.0543815720954
ACH-000262,-0.0914737871036
ACH-000263,-0.116043411911
ACH-000264,-0.0411219899045
ACH-000265,-0.0138992892137
ACH-000266,-0.0575916728095
ACH-000272,-0.0705950039022
ACH-000273,-0.0772656206019
ACH-000274,-0.176022031767
ACH-000277,-0.07115356029060001
ACH-000278,-0.0741571648073
ACH-000279,-0.0060358530605
ACH-000280,-0.105145768102
ACH-000281,-0.295932729229
ACH-000288,-0.118007910343
ACH-000291,-0.0159579529608
ACH-000293,-0.119997876062
ACH-000294,-0.131256493573
ACH-000295,0.163234368523
ACH-000296,-0.0989739068688
ACH-000302,-0.039137561971
ACH-000304,0.10861264890599999
ACH-000307,0.0170529268768
ACH-000308,-0.12041553063100001
ACH-000310,-0.160200228255
ACH-000311,-0.120921509799
ACH-000312,-0.21279152144900002
ACH-000315,-0.0846549536528
ACH-000316,-0.112738485273
ACH-000317,-0.08126449522969999
ACH-000318,-0.029343620802799997
ACH-000319,-0.114275648519
ACH-000320,-0.054949800220400004
ACH-000322,-0.0635294747907
ACH-000323,0.0315919053202
ACH-000324,-0.0575242409055
ACH-000329,-0.270891103782
ACH-000330,-0.119136070781
ACH-000331,-0.0793759245185
ACH-000332,-0.109364426078
ACH-000334,0.042088290733
ACH-000335,-0.16857271588199998
ACH-000336,0.000433799270293
ACH-000337,-0.180281861369
ACH-000339,-0.057467061113400005
