,PI4KB (5298)
ACH-000004,-0.569530501233
ACH-000007,-0.472139987694
ACH-000009,-0.606705210973
ACH-000011,-0.435800006472
ACH-000012,-0.371494557612
ACH-000013,-0.194820260943
ACH-000014,-0.759208763901
ACH-000015,-0.12318095140999999
ACH-000017,-0.40805133204099997
ACH-000018,-0.83393059934
ACH-000019,-0.705335762092
ACH-000021,-0.42964245534699996
ACH-000022,-0.564613657086
ACH-000025,-0.645674953859
ACH-000028,-0.44487262611
ACH-000030,-0.310048139613
ACH-000035,-0.447723791982
ACH-000036,-0.382856119146
ACH-000037,-0.41300569524999997
ACH-000039,-0.7054343651710001
ACH-000040,-0.9143621470540001
ACH-000041,-0.590168905355
ACH-000042,-0.20254277740899998
ACH-000045,-0.8148984328769999
ACH-000047,-0.14918059568199998
ACH-000052,-0.664038987723
ACH-000053,-0.44677073385399996
ACH-000054,-0.594195106001
ACH-000055,-0.21367405509100001
ACH-000060,-0.211621537809
ACH-000067,-0.652383131143
ACH-000070,-0.48774755982
ACH-000075,-0.455912584142
ACH-000078,-0.316470924535
ACH-000082,-0.631994826736
ACH-000085,-0.302763470403
ACH-000086,-0.528511583057
ACH-000087,-0.0030140753659899998
ACH-000092,-0.954405344055
ACH-000095,-0.405604967895
ACH-000097,-0.6335652145130001
ACH-000098,-0.733597132368
ACH-000099,0.012539152410600002
ACH-000108,-0.288697147022
ACH-000113,-0.7856348791509999
ACH-000115,-0.659502621532
ACH-000116,-0.37576603958899996
ACH-000118,-0.553582434721
ACH-000120,-0.211249734584
ACH-000123,-0.326695340435
ACH-000127,-0.639737538331
ACH-000128,-0.218643429464
ACH-000132,-0.441390514688
ACH-000133,-0.381338395377
ACH-000137,-0.735460233645
ACH-000138,-0.176182599593
ACH-000142,-0.458285714673
ACH-000143,-0.30264366456999997
ACH-000146,-0.574583730185
ACH-000148,-0.490513177032
ACH-000150,-0.133126044531
ACH-000152,-0.317261444974
ACH-000153,-0.328432254486
ACH-000159,-0.45642640657399997
ACH-000160,-0.24431612399900002
ACH-000163,-0.971565492341
ACH-000167,-0.690649864524
ACH-000168,-0.47795104879100003
ACH-000169,-0.10670131980799999
ACH-000178,-0.640466269199
ACH-000182,0.0315003200327
ACH-000183,-0.7251663855239999
ACH-000188,-0.432571098117
ACH-000189,-0.960781868883
ACH-000190,-0.194396123522
ACH-000198,-0.51757487403
ACH-000204,-0.8239098851350001
