,GON4L (54856)
ACH-000004,-0.29629722729
ACH-000007,-0.420632470659
ACH-000009,-0.493668036104
ACH-000011,-0.42458468210199996
ACH-000012,-0.639377732505
ACH-000013,-0.620759224589
ACH-000014,-0.531297719757
ACH-000015,-0.525810162545
ACH-000017,-0.272253183329
ACH-000018,-0.326249122455
ACH-000019,-0.593908573
ACH-000021,-0.554359003305
ACH-000022,-0.601653663417
ACH-000025,-0.7446157690449999
ACH-000028,-0.542289493856
ACH-000030,-0.40115776935099995
ACH-000035,-0.467764804234
ACH-000036,-0.504219957925
ACH-000037,-0.323296237693
ACH-000039,-0.6999851073450001
ACH-000040,-0.45997628514
ACH-000041,-0.210098059508
ACH-000042,-0.351455728558
ACH-000045,-0.477302281439
ACH-000047,-0.40071360867399997
ACH-000052,-0.7895108961399999
ACH-000053,-0.7636889182529999
ACH-000054,-0.40819756801600005
ACH-000055,-0.532539375009
ACH-000060,-0.371256862502
ACH-000067,-0.373434229235
ACH-000070,-0.511590179721
ACH-000075,-0.49104182872100005
ACH-000078,-0.482660713473
ACH-000082,-0.606141307148
ACH-000085,-0.575773080896
ACH-000086,-0.6770958775220001
ACH-000087,-0.271845378606
ACH-000092,-0.656286041982
ACH-000095,-0.432790114293
ACH-000097,-0.327967994574
ACH-000098,-0.514593366654
ACH-000099,-0.495907897972
ACH-000108,-0.418828409611
ACH-000113,-0.5372912411940001
ACH-000115,-0.41482847460999994
ACH-000116,-0.370602578014
ACH-000118,-0.36820139458499995
ACH-000120,-0.430165652007
ACH-000123,-0.634360712077
ACH-000127,-0.318568831447
ACH-000128,-0.229592676739
ACH-000132,-0.397206607256
ACH-000133,-0.327748792885
ACH-000137,-0.42945812481600004
ACH-000138,-0.37522780267800004
ACH-000142,-0.47954551124899997
ACH-000143,-0.415049982948
ACH-000146,-0.553081384343
ACH-000148,-0.6542592503970001
ACH-000150,-0.247881767337
ACH-000152,-0.462478356928
ACH-000153,-0.581545442467
ACH-000159,-0.5143107978729999
ACH-000160,-0.643395714904
ACH-000163,-0.376202538734
ACH-000167,-0.391770673535
ACH-000168,-0.47269538656599996
ACH-000169,-0.387033373674
ACH-000178,-0.544035175152
ACH-000182,-0.496378396324
ACH-000183,-0.41161273508199997
ACH-000188,-0.445060464995
ACH-000189,-0.374645067611
ACH-000190,-0.670841202948
ACH-000198,-0.505221332587
ACH-000204,-0.7049262876029999
ACH-000206,-0.44892691626000003
ACH-000207,-0.0252779751558
ACH-000211,-0.5002125023899999
ACH-000215,-0.43009872758699996
ACH-000221,-0.47919114512500005
ACH-000222,-0.531174512913
ACH-000223,-0.442261855392
ACH-000226,-0.37469952344
ACH-000227,-0.503772693913
ACH-000228,-0.628100008335
ACH-000231,-0.353526294961
ACH-000232,-0.428665889221
