,RUSC1 (23623)
ACH-000004,-0.18918641838
ACH-000007,-0.15232081191299998
ACH-000009,-0.379392584353
ACH-000011,-0.195180280276
ACH-000012,-0.332142011189
ACH-000013,-0.320697223854
ACH-000014,-0.321158702115
ACH-000015,-0.430690553067
ACH-000017,-0.383315698973
ACH-000018,-0.432490356684
ACH-000019,-0.522067287479
ACH-000021,-0.304017000541
ACH-000022,-0.289279699648
ACH-000025,-0.325018041386
ACH-000028,-0.233828963891
ACH-000030,-0.163825135303
ACH-000035,-0.191869012109
ACH-000036,-0.0664944291531
ACH-000037,-0.43324193920500004
ACH-000039,-0.472373786181
ACH-000040,-0.338507610579
ACH-000041,-0.30182764958
ACH-000042,-0.231643334165
ACH-000045,-0.143981513578
ACH-000047,-0.17842046798300001
ACH-000052,-0.338450778731
ACH-000053,-0.223925572227
ACH-000054,-0.19696041739300002
ACH-000055,-0.302913364892
ACH-000060,0.0330995778524
ACH-000067,-0.279444030022
ACH-000070,-0.271715889177
ACH-000075,-0.197121935753
ACH-000078,-0.48039021029600004
ACH-000082,-0.217657717779
ACH-000085,-0.0577954451933
ACH-000086,-0.5414061238769999
ACH-000087,-0.21581313131299998
ACH-000092,-0.300730944527
ACH-000095,-0.313406847013
ACH-000097,-0.526489338539
ACH-000098,-0.35902602620499996
ACH-000099,-0.22002806693000004
ACH-000108,-0.228130604338
ACH-000113,-0.194718469164
ACH-000115,-0.384458606314
ACH-000116,-0.162938544848
ACH-000118,-0.304645748293
ACH-000120,-0.556399503072
ACH-000123,-0.316515570388
ACH-000127,-0.160848372529
ACH-000128,-0.07829431705189999
ACH-000132,-0.179927731572
ACH-000133,-0.20862352575399998
ACH-000137,-0.38387811973
ACH-000138,-0.257146798499
ACH-000142,-0.221171085441
ACH-000143,-0.19520619411899998
ACH-000146,-0.236909515858
ACH-000148,-0.08951949169369999
ACH-000150,-0.10443089985099999
ACH-000152,-0.312220773244
ACH-000153,-0.43989734228699995
ACH-000159,-0.36883117867
ACH-000160,-0.34270985394500003
ACH-000163,-0.22356785834600001
ACH-000167,-0.198224065097
ACH-000168,-0.302557785574
ACH-000169,-0.31887962564100003
ACH-000178,-0.330643710786
ACH-000182,-0.160248179447
ACH-000183,-0.218901408536
ACH-000188,-0.143159289828
ACH-000189,-0.330707781016
ACH-000190,-0.198723886296
