,GOLGA8M (653720)
ACH-000004,-0.665185385527
ACH-000007,-0.309927479803
ACH-000009,-0.6985732333600001
ACH-000011,-0.267529144664
ACH-000012,-0.5836994071399999
ACH-000013,-0.15136817702400002
ACH-000014,-0.243203392035
ACH-000015,-0.28707572489300004
ACH-000017,-0.0930238027822
ACH-000018,-0.21975801729299999
ACH-000019,-0.142989238404
ACH-000021,-0.388397527598
ACH-000022,-0.235416268171
ACH-000025,-0.258192861459
ACH-000028,-0.20800467745700002
ACH-000030,-0.168221372775
ACH-000035,-0.29204337609000003
ACH-000036,-0.279303778558
ACH-000037,-0.10173555077199999
ACH-000039,-0.6071045696899999
ACH-000040,-0.148107083216
ACH-000041,-0.093022687008
ACH-000042,-0.121480612124
ACH-000045,-0.396988930143
ACH-000047,-0.31684058891899997
ACH-000052,-0.304716431002
ACH-000053,-0.193470892431
ACH-000054,-0.233575316806
ACH-000055,-0.46002946447
ACH-000060,-0.328543722549
ACH-000067,-0.36224286458899996
ACH-000070,-0.331383020197
ACH-000075,-0.291413037145
ACH-000078,-0.165008585903
ACH-000082,-0.147408521745
ACH-000085,-0.0851329575691
ACH-000086,-0.254407993926
ACH-000087,-0.527446529365
ACH-000092,-0.337250645862
ACH-000095,-0.221045865334
ACH-000097,-0.33874440361999997
ACH-000098,-0.276858834596
ACH-000099,-0.325816608919
ACH-000108,-0.258884554009
ACH-000113,-0.377886903774
ACH-000115,-0.12150587523
ACH-000116,-0.21543811559999998
ACH-000118,-0.489563464884
ACH-000120,-0.546132507364
ACH-000123,-0.28493929164500004
ACH-000127,-0.165284823388
ACH-000128,-0.26426035168
ACH-000132,-0.287420074793
ACH-000133,-0.303944377353
ACH-000137,-0.363926437607
ACH-000138,-0.270961174156
ACH-000142,-0.361163059284
ACH-000143,-0.258066177324
ACH-000146,-0.290331872346
ACH-000148,-0.328968596314
ACH-000150,-0.327475056961
ACH-000152,-0.396912244541
ACH-000153,-0.473037434133
ACH-000159,-0.267738071046
ACH-000160,-0.277591639529
ACH-000163,-0.05463213227080001
ACH-000167,-0.369431880823
ACH-000168,-0.238911189522
ACH-000169,-0.183634314461
ACH-000178,-0.45621873701800003
ACH-000182,-0.35394559212399995
ACH-000183,-0.41536315398199997
ACH-000188,-0.286130627396
