,MCM5 (4174)
ACH-000004,-1.42437310306
ACH-000007,-1.556969939
ACH-000009,-1.5052600676199999
ACH-000011,-1.12610696867
ACH-000012,-1.44363187009
ACH-000013,-1.73203096893
ACH-000014,-1.4379727816699999
ACH-000015,-1.5367537420800002
ACH-000017,-1.24393536146
ACH-000018,-1.25508679582
ACH-000019,-1.7207613063799998
ACH-000021,-1.4702918367200002
ACH-000022,-1.6725775434999999
ACH-000025,-1.6076486519
ACH-000028,-1.4190911063
ACH-000030,-1.4305211615
ACH-000035,-1.46228072802
ACH-000036,-1.57357980309
ACH-000037,-1.3811824816100002
ACH-000039,-1.66794353359
ACH-000040,-1.41495534621
ACH-000041,-1.32777476808
ACH-000042,-1.1911311981100001
ACH-000045,-1.31454746082
ACH-000047,-1.30132202441
ACH-000052,-1.26490894296
ACH-000053,-1.3122131750700001
ACH-000054,-1.3916103105000002
ACH-000055,-1.2759659081299999
ACH-000060,-1.3481134874599998
ACH-000067,-1.5525200393599998
ACH-000070,-1.4873381856
ACH-000075,-1.69431870636
ACH-000078,-1.3811981445500001
ACH-000082,-1.16116549187
ACH-000085,-1.70266117284
ACH-000086,-1.14987838981
ACH-000087,-1.3940053508599999
ACH-000092,-1.5398975849399998
ACH-000095,-1.6410997472
ACH-000097,-1.3767015518999999
ACH-000098,-1.5679274243799999
ACH-000099,-1.52447662395
ACH-000108,-1.5534563238499999
ACH-000113,-1.23919771359
ACH-000115,-1.35695222537
ACH-000116,-1.47450684518
ACH-000118,-1.26069145435
ACH-000120,-1.6111073160499998
ACH-000123,-1.4048758061200002
ACH-000127,-1.50986176896
ACH-000128,-1.75503701967
ACH-000132,-1.53376379021
ACH-000133,-1.55935410058
ACH-000137,-1.5396915043900001
ACH-000138,-1.41998329929
ACH-000142,-1.51387353322
ACH-000143,-1.4184452635100002
ACH-000146,-1.42566133674
ACH-000148,-1.2512718493100001
ACH-000150,-1.2750808340200002
ACH-000152,-1.3898571628
ACH-000153,-1.2484758251899999
ACH-000159,-1.37695339465
ACH-000160,-1.67765429766
ACH-000163,-1.32567191838
ACH-000167,-1.5645549436700001
ACH-000168,-1.5179358321
ACH-000169,-1.26344488806
ACH-000178,-1.45808158482
ACH-000182,-1.51298727693
ACH-000183,-1.50453448039
ACH-000188,-1.41369697255
ACH-000189,-1.27126350075
ACH-000190,-1.1569768115999999
ACH-000198,-1.41052379075
ACH-000204,-1.48445014023
ACH-000206,-1.3157291849700001
ACH-000207,-1.5191263191600002
ACH-000211,-1.54820870085
ACH-000215,-1.4466496043200001
ACH-000221,-1.4269616510499998
ACH-000222,-1.5002205747
ACH-000223,-1.43387627929
ACH-000226,-1.4442862910799998
ACH-000227,-1.5134571147799998
ACH-000228,-1.4870481620299998
ACH-000231,-1.5373243013100002
ACH-000232,-1.50615313957
ACH-000233,-1.34886409351
ACH-000234,-1.0715449175299998
ACH-000235,-1.2822017986399998
ACH-000237,-1.4092382401499999
