,CYBA (1535)
ACH-000004,-0.163241881066
ACH-000007,0.104572196708
ACH-000009,0.06738647525619999
ACH-000011,0.015379385107400001
ACH-000012,-0.0722287472507
ACH-000013,0.00939995304308
ACH-000014,0.12850923006200002
ACH-000015,0.107166374286
ACH-000017,0.030758795584299996
ACH-000018,-0.056680326991699996
ACH-000019,0.0686521151934
ACH-000021,-0.10212228037900001
ACH-000022,-0.00810606471784
ACH-000025,-0.100376146494
ACH-000028,-0.111330150609
ACH-000030,-0.029758699667700002
ACH-000035,-0.00420305032782
ACH-000036,-0.211101166207
ACH-000037,-0.141238231263
ACH-000039,0.202696276554
ACH-000040,0.0163183279098
ACH-000041,0.13642821057399998
ACH-000042,-0.026357410390400002
ACH-000045,0.0539243645706
ACH-000047,-0.14811838753599998
ACH-000052,-0.248667100553
ACH-000053,0.0059885792406600006
ACH-000054,-0.024319729921
ACH-000055,-0.130050862942
ACH-000060,0.0677065488738
ACH-000067,0.0666574827944
ACH-000070,-0.177045156886
ACH-000075,-0.0574297082216
ACH-000078,0.0604256547018
ACH-000082,-0.00139397078768
ACH-000085,0.04138706893230001
ACH-000086,0.06392099912959999
ACH-000087,0.322694256204
ACH-000092,0.0024646083013400003
ACH-000095,0.0458654900026
ACH-000097,0.0158544670811
ACH-000098,0.0274087679866
ACH-000099,0.05876042426
ACH-000108,-0.192967128069
ACH-000113,-0.0644545829677
ACH-000115,-0.063094690323
ACH-000116,0.134306333036
ACH-000118,-0.0203086445974
ACH-000120,0.0505328440522
ACH-000123,0.00898451477582
ACH-000127,0.055343215970400005
ACH-000128,0.14973413999399998
ACH-000132,0.0510399404
ACH-000133,-0.0297706192718
ACH-000137,0.0800964972647
ACH-000138,0.0105519343009
ACH-000142,-0.0325321021944
ACH-000143,0.1307438479
ACH-000146,-0.040035016396199996
ACH-000148,-0.0643901685562
ACH-000150,-0.11512107560599999
ACH-000152,-0.109257108113
ACH-000153,0.130206149513
ACH-000159,-0.00467948539055
ACH-000160,0.0183474773862
ACH-000163,-0.0527503108545
ACH-000167,-0.0215166961364
ACH-000168,0.0373902084013
ACH-000169,0.0545232632553
ACH-000178,-0.0551522557154
ACH-000182,-0.0773039397654
ACH-000183,-0.08541652559810001
ACH-000188,0.204981238994
ACH-000189,-0.236834289813
ACH-000190,0.028978184039099998
ACH-000198,-0.0395371042287
