,POC1B (282809)
ACH-000004,-0.166403211037
ACH-000007,-0.150506880836
ACH-000009,-0.17436222476799998
ACH-000011,-0.09934359645749999
ACH-000012,-0.475719182002
ACH-000013,-0.038082415851199994
ACH-000014,0.0735317159787
ACH-000015,-0.25450961171500003
ACH-000017,-0.141261613751
ACH-000018,-0.337931100748
ACH-000019,0.141061050567
ACH-000021,-0.205347912579
ACH-000022,-0.0340359994477
ACH-000025,-0.435235208374
ACH-000028,-0.0609160337523
ACH-000030,-0.0674199158228
ACH-000035,-0.311612048525
ACH-000036,-0.21954574269699997
ACH-000037,-0.287493596204
ACH-000039,-0.367079241628
ACH-000040,-0.180039407795
ACH-000041,-0.180372674327
ACH-000042,-0.310061362665
ACH-000045,-0.197276568892
ACH-000047,-0.246182911259
ACH-000052,-0.160885557596
ACH-000053,-0.14884583252699998
ACH-000054,-0.197215577148
ACH-000055,-0.24412326202399998
ACH-000060,-0.116886788838
ACH-000067,-0.29308267857799997
ACH-000070,0.0405954562822
ACH-000075,0.0391000033301
ACH-000078,-0.48387648633
ACH-000082,-0.329465878254
ACH-000085,-0.110363690529
ACH-000086,-0.350308958191
ACH-000087,-0.09702677226060001
ACH-000092,-0.270989953583
ACH-000095,-0.251523942312
ACH-000097,-0.204706572121
ACH-000098,-0.34516232229500005
ACH-000099,-0.332671640085
ACH-000108,-0.07477686498160001
ACH-000113,-0.245432544463
ACH-000115,-0.288809292189
ACH-000116,-0.187733439223
ACH-000118,-0.107140498643
ACH-000120,-0.04258336585940001
ACH-000123,-0.208933428962
ACH-000127,-0.176866093509
ACH-000128,-0.49723147255000005
ACH-000132,-0.00118613986894
ACH-000133,-0.46580934218900005
ACH-000137,-0.500369547168
ACH-000138,-0.261305796076
ACH-000142,-0.214332429855
ACH-000143,0.0110476776956
ACH-000146,0.07672680496069999
ACH-000148,-0.152570863468
ACH-000150,-0.708486966189
ACH-000152,-0.455691864865
ACH-000153,0.0215038334938
ACH-000159,-0.326019157306
ACH-000160,-0.069487680036
ACH-000163,-0.183403493734
ACH-000167,-0.38352428598800004
ACH-000168,-0.328388305605
ACH-000169,-0.7305719378300001
ACH-000178,-0.158744797892
ACH-000182,-0.31032345613699996
ACH-000183,-0.0549385830686
ACH-000188,-0.113925006644
ACH-000189,-0.60595021128
ACH-000190,-0.109357870452
ACH-000198,-0.08250121356489999
ACH-000204,0.378412188587
ACH-000206,-0.207219761866
ACH-000207,0.10505571568
ACH-000211,-0.14148555095100002
ACH-000215,-0.33031847681800003
ACH-000221,0.0722116819157
ACH-000222,-0.237507105079
ACH-000223,-0.29449719031800003
ACH-000226,-0.20177541039900002
ACH-000227,-0.464865401583
ACH-000228,-0.029845835948999998
ACH-000231,-0.347217803718
ACH-000232,-0.182535307725
ACH-000233,0.021873271037400003
ACH-000234,-0.0193058617908
ACH-000235,-0.153022213658
ACH-000237,-0.259534316976
ACH-000238,-0.223606650893
ACH-000243,-0.300457336726
ACH-000244,-0.445642993024
ACH-000246,-0.08714298509719999
ACH-000248,-0.18664866806400002
ACH-000250,-0.259814686714
ACH-000251,0.03881323302280001
