,CYP2U1 (113612)
ACH-000004,-0.0801688654335
ACH-000007,-0.162673193236
ACH-000009,-0.113494151702
ACH-000011,-0.153114139058
ACH-000012,-0.217134956955
ACH-000013,-0.187428973625
ACH-000014,0.00582826451596
ACH-000015,-0.15704701537000001
ACH-000017,-0.16112622400999999
ACH-000018,-0.107986127192
ACH-000019,-0.42706674653300003
ACH-000021,-0.106152586147
ACH-000022,-0.360125749464
ACH-000025,0.069158386491
ACH-000028,-0.0743575961648
ACH-000030,-0.0136193370509
ACH-000035,0.164870948444
ACH-000036,-0.195657756173
ACH-000037,-0.278781364386
ACH-000039,0.0380532581057
ACH-000040,-0.128317057399
ACH-000041,-0.09351927459699999
ACH-000042,0.0816186346642
ACH-000045,0.039196718689300004
ACH-000047,-0.0510619259078
ACH-000052,0.129596164067
ACH-000053,-0.0976889398088
ACH-000054,-0.09529070072760001
ACH-000055,0.0816624701569
ACH-000060,-0.39941095265500004
ACH-000067,-0.24107865316799998
ACH-000070,-0.276925969067
ACH-000075,-0.30081165146600003
ACH-000078,0.0487614647577
ACH-000082,-0.137650990437
ACH-000085,-0.025003721609200003
ACH-000086,-0.11149603165100001
ACH-000087,-0.20647431097399999
ACH-000092,-0.23424559399999997
ACH-000095,-0.17004317768399999
ACH-000097,-0.306249058644
ACH-000098,-0.390843813278
ACH-000099,-0.0364587717309
ACH-000108,0.042267372605499995
ACH-000113,-0.104349865227
ACH-000115,0.166922692795
ACH-000116,-0.150471080057
ACH-000118,-0.0608029931555
ACH-000120,-0.01959332705
ACH-000123,0.00258492308744
ACH-000127,-0.101805938462
ACH-000128,-0.09009982362680001
ACH-000132,-0.215999511219
ACH-000133,-0.33582004298100004
ACH-000137,-0.0509143388067
ACH-000138,0.046139494818000004
ACH-000142,-0.0347601524889
ACH-000143,-0.04816998073480001
ACH-000146,-0.127614183638
ACH-000148,-0.145564518261
ACH-000150,0.030968319613200002
ACH-000152,-0.24276519265500002
ACH-000153,-0.102148003556
ACH-000159,-0.16294656624099998
ACH-000160,-0.157063383379
ACH-000163,-0.031185784178299997
ACH-000167,-0.310541203042
ACH-000168,-0.251730350427
ACH-000169,-0.216709786272
ACH-000178,-0.0714492591252
ACH-000182,-0.055224569115900006
ACH-000183,-0.03472299394330001
ACH-000188,-0.145800462209
ACH-000189,0.0990444341455
ACH-000190,-0.00152871058089
ACH-000198,-0.0808360600254
ACH-000204,-0.214157176142
ACH-000206,-0.129543029971
ACH-000207,-0.134391219465
ACH-000211,-0.28902992553
ACH-000215,-0.16036998662799998
ACH-000221,-0.18685442318599998
ACH-000222,-0.146195343485
ACH-000223,-0.21391101247699998
ACH-000226,-0.322085423138
ACH-000227,-0.202706643854
ACH-000228,-0.110695455951
ACH-000231,-0.264346153332
ACH-000232,-0.283866405891
ACH-000233,0.09422345852510002
ACH-000234,-0.081919747206
ACH-000235,-0.0997279399426
ACH-000237,-0.044775939237900006
ACH-000238,-0.154939466309
ACH-000243,0.00787838254347
ACH-000244,-0.476972483228
ACH-000246,-0.09270192486819999
ACH-000248,0.125517265411
ACH-000250,-0.113245110492
ACH-000251,-0.09752861981519999
ACH-000253,-0.0517677718182
ACH-000255,-0.17192297801399997
ACH-000256,-0.17096194957400002
ACH-000257,-0.135876004025
ACH-000258,-0.33745540993900003
ACH-000259,0.0160536219629
ACH-000260,-0.0608732253395
ACH-000261,-0.18306021089400001
ACH-000262,-0.130282638385
ACH-000263,-0.0768158121999
ACH-000264,-0.21017068460000002
ACH-000265,-0.0349351681849
ACH-000266,-0.178637962775
ACH-000272,-0.06037389763119999
ACH-000273,-0.159694311899
ACH-000274,-0.268812702497
ACH-000277,0.0399919391415
ACH-000278,-0.08601379195110001
ACH-000279,-0.08738982269960001
ACH-000280,0.00865928667181
ACH-000281,0.131706095834
ACH-000288,-0.046175506045500005
ACH-000291,0.16352479902699998
ACH-000293,-0.16527826340399998
ACH-000294,0.0393003373334
ACH-000295,0.173102172467
ACH-000296,-0.270275990764
ACH-000302,-0.13939437135399999
ACH-000304,-0.44384395881800004
ACH-000307,-0.17213862171500002
ACH-000308,-0.15595729995
ACH-000310,0.00351278095807
ACH-000311,-0.0831366862352
ACH-000312,0.156988638971
ACH-000315,0.13246166599099998
ACH-000316,-0.236937339032
