,DHPS (1725)
ACH-000004,-1.48093828677
ACH-000007,-1.3568954351299998
ACH-000009,-1.27860522722
ACH-000011,-1.18169025819
ACH-000012,-1.2006528047799998
ACH-000013,-1.2920565061700002
ACH-000014,-1.11620667284
ACH-000015,-1.3931748807700002
ACH-000017,-1.75160539712
ACH-000018,-1.48739057227
ACH-000019,-0.8336776469310001
ACH-000021,-1.2656222551799998
ACH-000022,-1.54147361877
ACH-000025,-1.20363703921
ACH-000028,-1.2365520509299999
ACH-000030,-1.2333816798100001
ACH-000035,-1.2535695821100001
ACH-000036,-1.2603484028299998
ACH-000037,-0.38730532098399995
ACH-000039,-1.32284668378
ACH-000040,-1.1864909944600002
ACH-000041,-1.57861619857
ACH-000042,-1.17577278869
ACH-000045,-0.9724042979200002
ACH-000047,-1.09447539919
ACH-000052,-0.993666517073
ACH-000053,-0.745513502904
ACH-000054,-0.9346002306640001
ACH-000055,-1.17595612146
ACH-000060,-1.15689891174
ACH-000067,-1.44337691006
ACH-000070,-1.12687005665
ACH-000075,-1.28646271823
ACH-000078,-1.1289084855
ACH-000082,-0.754895063144
ACH-000085,-1.45385596646
ACH-000086,-1.23832744809
ACH-000087,-1.0239035226200002
ACH-000092,-1.06345446192
ACH-000095,-1.0024351899
ACH-000097,-0.934043237518
ACH-000098,-1.34954497779
ACH-000099,-1.07409593168
ACH-000108,-0.971871408865
ACH-000113,-1.0172616803499999
ACH-000115,-2.07067409713
ACH-000116,-1.38859812957
ACH-000118,-0.8665214174760001
ACH-000120,-1.27994425561
ACH-000123,-0.991222325085
ACH-000127,-0.958032997208
ACH-000128,-1.3110404292
ACH-000132,-1.02528757427
ACH-000133,-0.9506398029080001
ACH-000137,-0.915254773363
ACH-000138,-1.29858600571
ACH-000142,-1.43091108805
ACH-000143,-1.1413430721
ACH-000146,-1.06870086608
ACH-000148,-1.07257393967
ACH-000150,-1.43327791742
ACH-000152,-0.9497097684729999
ACH-000153,-1.0612341464200001
ACH-000159,-0.604635713766
ACH-000160,-1.03346659251
ACH-000163,-1.15609881482
ACH-000167,-0.9249171644390001
ACH-000168,-1.2315980685299999
ACH-000169,-0.845306805974
ACH-000178,-1.16211104389
ACH-000182,-0.987528061597
ACH-000183,-0.804070143196
ACH-000188,-1.22226901636
ACH-000189,-0.47903401925800004
ACH-000190,-1.07560494221
ACH-000198,-0.946152359199
ACH-000204,-0.792186306384
ACH-000206,-1.0031384960299998
ACH-000207,-0.925607905677
ACH-000211,-1.21483787283
ACH-000215,-1.23635419085
ACH-000221,-1.13155227435
ACH-000222,-1.3290977239200001
ACH-000223,-0.764501373468
ACH-000226,-0.9359654100560001
ACH-000227,-0.861217840414
ACH-000228,-0.7650938308930001
ACH-000231,-0.928319400474
ACH-000232,-1.09684056167
ACH-000233,-1.299616522
ACH-000234,-0.8053636329620001
ACH-000235,-1.084249325
ACH-000237,-1.3596651602899998
ACH-000238,-1.14113639915
ACH-000243,-1.3563472030000001
ACH-000244,-0.607057834527
ACH-000246,-0.9991245965889999
ACH-000248,-1.39827900057
ACH-000250,-1.1144065412000002
ACH-000251,-1.5804898532
ACH-000253,-1.22160324231
ACH-000255,-1.2040633084799999
ACH-000256,-1.19361892944
ACH-000257,-0.88527159794
ACH-000258,-1.1609012264
