,H6PD (9563)
ACH-000004,-0.304858759884
ACH-000007,-0.22649810067200002
ACH-000009,-0.30201588427
ACH-000011,-0.123518722391
ACH-000012,-0.195469000654
ACH-000013,-0.130789855988
ACH-000014,-0.23011360247499998
ACH-000015,-0.06103129334290001
ACH-000017,-0.30745022826499996
ACH-000018,-0.179030064884
ACH-000019,-0.30964656234099996
ACH-000021,-0.0053704683715100005
ACH-000022,-0.15315241475299998
ACH-000025,-0.232058695748
ACH-000028,-0.22920468838599997
ACH-000030,-0.19035715949
ACH-000035,-0.488483290533
ACH-000036,-0.256711257452
ACH-000037,-0.09112610638219999
ACH-000039,-0.218387446971
ACH-000040,-0.17246415315699998
ACH-000041,-0.30124518614
ACH-000042,-0.148534077065
ACH-000045,-0.166458670872
ACH-000047,-0.306396917313
ACH-000052,-0.320931687919
ACH-000053,-0.129901130569
ACH-000054,-0.0450938055138
ACH-000055,-0.26645187031999995
ACH-000060,-0.25089095791
ACH-000067,-0.204222359657
ACH-000070,-0.17745674499000003
ACH-000075,-0.562001822134
ACH-000078,-0.08847420891889998
ACH-000082,-0.107978508187
ACH-000085,-0.6189056609
ACH-000086,-0.159715331228
ACH-000087,0.0949968314439
ACH-000092,-0.401674616218
ACH-000095,-0.0641361899116
ACH-000097,-0.182700726466
ACH-000098,-0.252431864109
ACH-000099,-0.0690487221693
ACH-000108,-0.278210156209
ACH-000113,-0.08450720596760002
ACH-000115,-0.177437995876
ACH-000116,-0.27372168357500004
ACH-000118,-0.0501598243621
ACH-000120,-0.38307919199
ACH-000123,-0.237491598006
ACH-000127,-0.112097538323
ACH-000128,-0.266449622802
ACH-000132,-0.303140705476
ACH-000133,-0.244549877654
ACH-000137,-0.235257174675
ACH-000138,-0.0690565506533
ACH-000142,-0.30011560658
ACH-000143,-0.243806940409
ACH-000146,-0.249597402542
ACH-000148,-0.196234166633
ACH-000150,-0.402739421096
ACH-000152,-0.199117201279
ACH-000153,0.116900364526
ACH-000159,-0.294190731641
ACH-000160,-0.27472162563999997
ACH-000163,-0.034167183783900004
ACH-000167,-0.594887697691
ACH-000168,-0.300174835695
ACH-000169,0.0564372258579
ACH-000178,-0.18718241502799998
ACH-000182,-0.206032084164
ACH-000183,-0.133206074289
ACH-000188,-0.307424288225
ACH-000189,-0.32823235346900004
ACH-000190,-0.017593138200700003
ACH-000198,-0.0442214839454
ACH-000204,-0.17826180984099999
ACH-000206,-0.0928617430047
ACH-000207,-0.014668991366600001
ACH-000211,-0.185002048516
ACH-000215,-0.315317907667
ACH-000221,-0.249581192999
ACH-000222,-0.104025466116
ACH-000223,-0.0018934736992100001
ACH-000226,-0.0050002841326
ACH-000227,-0.35180330072
ACH-000228,-0.243909006639
ACH-000231,-0.22140544863400002
ACH-000232,-0.127845672965
ACH-000233,-0.16636641598
ACH-000234,-0.217755008119
ACH-000235,-0.278283744142
ACH-000237,-0.253610077969
ACH-000238,-0.518976453296
ACH-000243,-0.06336546685069999
ACH-000244,-0.294473484601
ACH-000246,-0.128399605642
ACH-000248,-0.42483616140299996
ACH-000250,-0.120613529069
ACH-000251,0.149712949117
ACH-000253,-0.273662249701
ACH-000255,-0.406958605867
ACH-000256,-0.441259173678
ACH-000257,-0.33797940217
ACH-000258,0.0785592708534
ACH-000259,-0.14177118709699998
ACH-000260,-0.23704580813999998
ACH-000261,-0.23243216672699998
ACH-000262,-0.264392221489
ACH-000263,-0.33992623368
ACH-000264,-0.223553176395
ACH-000265,-0.139855253024
ACH-000266,-0.185288006565
ACH-000272,-0.0789151666829
ACH-000273,-0.21328034515900002
ACH-000274,-0.331155591659
ACH-000277,-0.336763431882
ACH-000278,-0.20189866173
ACH-000279,-0.137975204157
ACH-000280,-0.244953519579
ACH-000281,-0.33422452499099997
ACH-000288,-0.322552995251
ACH-000291,-0.103878749746
ACH-000293,-0.5748661724199999
ACH-000294,0.0898710152389
ACH-000295,-0.181633356678
ACH-000296,-0.105966491022
ACH-000302,-0.21059454361
ACH-000304,-0.402931446934
ACH-000307,-0.142357824887
ACH-000308,-0.136873363292
ACH-000310,0.029508691179200002
ACH-000311,-0.150282148553
ACH-000312,-0.344476360036
ACH-000315,0.0431512254028
ACH-000316,0.13055099657
ACH-000317,-0.086023772216
ACH-000318,-0.44420544901000003
ACH-000319,-0.34339797034100006
ACH-000320,-0.384221016648
ACH-000322,-0.14914754076199999
ACH-000323,-0.48781080237400004
ACH-000324,-0.199137327132
ACH-000329,-0.260607990567
ACH-000330,-0.18829044395
ACH-000331,-0.33974431656099996
ACH-000332,-0.15808543329299998
ACH-000334,-0.204498744364
ACH-000335,-0.466407460537
ACH-000336,-0.207800457572
ACH-000337,-0.195908177062
ACH-000339,-0.20913334347100002
ACH-000341,-0.102671031592
ACH-000348,-0.444489660497
ACH-000350,-0.190371853477
ACH-000352,-0.224450146349
ACH-000356,-0.463332400971
ACH-000361,0.06922687529299999
ACH-000362,-0.149295479163
ACH-000363,-0.11835629452600001
ACH-000364,-0.28519049158000004
ACH-000365,-0.39026593611
ACH-000366,-0.232511108158
ACH-000368,-0.0672898955067
ACH-000374,-0.0944317317417
ACH-000375,-0.233875439146
ACH-000376,-0.186597808788
ACH-000381,-0.32158066664900004
ACH-000383,-0.20425716871
ACH-000387,-0.222738278192
ACH-000389,-0.08225660168839999
ACH-000390,-0.33870398477200003
ACH-000393,-0.215850520883
ACH-000395,-0.425967584822
ACH-000397,-0.216230022848
ACH-000401,-0.433395301244
ACH-000402,0.140433989378
ACH-000403,-0.324198574129
ACH-000404,-0.497088848454
ACH-000406,-0.137245571707
ACH-000407,-0.316825607058
ACH-000408,-0.471765879745
ACH-000410,-0.13735885873
ACH-000411,-0.19271602314199998
ACH-000414,-0.305016369522
ACH-000415,-0.236472477543
ACH-000416,-0.160606190472
ACH-000420,0.0214296971784
ACH-000421,-0.279896353122
ACH-000424,-0.204774932148
