,PRKCA (5578)
ACH-000004,-0.120992272309
ACH-000007,-0.352932408089
ACH-000009,-0.451465638738
ACH-000011,-0.19655704268100002
ACH-000012,-0.24283858963500002
ACH-000013,-0.119429445853
ACH-000014,-0.164120432635
ACH-000015,-0.166454995962
ACH-000017,-0.40854006088699996
ACH-000018,0.158922788911
ACH-000019,-0.615306962575
ACH-000021,-0.168546943671
ACH-000022,-0.27379949288000005
ACH-000025,-0.09263103697939999
ACH-000028,-0.350772021685
ACH-000030,-0.13461929963
ACH-000035,-0.324168084384
ACH-000036,-0.210783396639
ACH-000037,-0.32686626817200004
ACH-000039,-0.42488619196099997
ACH-000040,-0.5015697814760001
ACH-000041,-0.252786036542
ACH-000042,-0.288630180477
ACH-000045,-0.0156712005841
ACH-000047,-0.0911112850932
ACH-000052,-0.294503296525
ACH-000053,-0.127584687718
ACH-000054,-0.217932687771
ACH-000055,-0.262538764556
ACH-000060,-0.141012551869
ACH-000067,-0.329780775738
ACH-000070,0.0423646143849
ACH-000075,-0.20946891866999998
ACH-000078,-0.488910408219
ACH-000082,-0.201520177216
ACH-000085,-0.0541548934799
ACH-000086,-0.248712782799
ACH-000087,-0.281114800014
ACH-000092,-0.09070663453299999
ACH-000095,-0.115490716149
ACH-000097,-0.14443984831599999
ACH-000098,-0.152778332731
ACH-000099,-0.45357894775799995
ACH-000108,-0.0630206232431
ACH-000113,-0.0355701895939
ACH-000115,-0.168237861446
ACH-000116,-0.127560995711
ACH-000118,-0.147595336252
ACH-000120,-0.548930563693
ACH-000123,-0.180415971748
ACH-000127,-0.277453073449
ACH-000128,-0.287184499431
ACH-000132,-0.15503730396600002
ACH-000133,-0.110200844215
ACH-000137,0.0671766353518
ACH-000138,-0.23685095345100002
ACH-000142,-0.13458609947699998
ACH-000143,-0.195226718113
ACH-000146,-0.0414469119443
ACH-000148,-0.103819355987
ACH-000150,-0.447021226128
ACH-000152,-0.272955988282
ACH-000153,-0.0256781445469
ACH-000159,-0.08215553004329999
ACH-000160,0.202398083493
ACH-000163,-0.234214382859
ACH-000167,0.0934311811661
ACH-000168,-0.206750217452
ACH-000169,-0.16837513852000002
ACH-000178,-0.10147053135299999
ACH-000182,-0.07269667983610001
ACH-000183,-0.145673446698
ACH-000188,-0.178191042995
ACH-000189,-0.379321710073
ACH-000190,0.20030886262800002
ACH-000198,-0.0823244622302
ACH-000204,-0.0490427075741
ACH-000206,0.00017973983754400005
ACH-000207,-0.198217367296
ACH-000211,-0.277514891019
ACH-000215,-0.10981115005799999
ACH-000221,-0.233818025901
ACH-000222,-0.310814971462
ACH-000223,-0.176849437538
ACH-000226,-0.152396407049
ACH-000227,-0.27156504707400003
ACH-000228,0.00506025945934
ACH-000231,-0.07404094579130001
ACH-000232,-0.117117163691
ACH-000233,-0.0583324476783
ACH-000234,-0.248080430977
ACH-000235,-0.135226144913
ACH-000237,-0.00241406972842
ACH-000238,-0.43815500125
ACH-000243,-0.348212852209
ACH-000244,-0.0153608170168
ACH-000246,-0.24489287858800002
ACH-000248,-0.42222364137699997
ACH-000250,-0.273242313084
ACH-000251,-0.275559740629
ACH-000253,-0.15689516755000002
