,SAP30L (79685)
ACH-000004,-0.0934461549167
ACH-000007,0.25564746443799996
ACH-000009,0.0501333270842
ACH-000011,-0.17020474618599998
ACH-000012,0.115757350722
ACH-000013,0.11565841677899999
ACH-000014,0.0246262917192
ACH-000015,0.024414481181299998
ACH-000017,0.09337824756640001
ACH-000018,0.033287099199999996
ACH-000019,-0.09532859752669999
ACH-000021,0.0578069448087
ACH-000022,0.06677719060949999
ACH-000025,0.13554392833599999
ACH-000028,-0.149815379159
ACH-000030,0.114115800559
ACH-000035,0.146546348096
ACH-000036,0.08898502154030001
ACH-000037,-0.08903544559969999
ACH-000039,0.0092735207255
ACH-000040,-0.184113402672
ACH-000041,-0.11564594358100001
ACH-000042,0.153239301597
ACH-000045,-0.0592114459461
ACH-000047,0.160860033732
ACH-000052,-0.17548665824
ACH-000053,0.034221834714200004
ACH-000054,-0.140037307668
ACH-000055,0.231066655609
ACH-000060,-0.061935073055099994
ACH-000067,-0.0238544472693
ACH-000070,0.133637937399
ACH-000075,-0.12438711847000002
ACH-000078,-0.0994269337713
ACH-000082,0.049722300579800004
ACH-000085,0.0676764411105
ACH-000086,0.046277420802699996
ACH-000087,-0.31195046922200004
ACH-000092,0.04368456124919999
ACH-000095,-0.0539341118119
ACH-000097,0.181285213078
ACH-000098,0.18581546997499998
ACH-000099,-0.023638821266099997
ACH-000108,0.06491025137709999
ACH-000113,-0.073125303182
ACH-000115,0.011132678258400001
ACH-000116,0.0561080656392
ACH-000118,0.156310041032
ACH-000120,0.0929232799657
ACH-000123,0.18215069690299998
ACH-000127,0.073641916882
ACH-000128,-0.25583601446
ACH-000132,0.109823081096
ACH-000133,0.048712062161800004
ACH-000137,0.0132765357699
ACH-000138,0.0337449548944
ACH-000142,0.162555371179
ACH-000143,0.0109568888668
ACH-000146,0.028742742510000002
ACH-000148,0.242868189159
ACH-000150,-0.0526180380699
ACH-000152,0.004330292203819999
ACH-000153,0.04591490655450001
ACH-000159,-0.08991065830980001
ACH-000160,0.7656280029279999
ACH-000163,0.09903320240960001
ACH-000167,0.7863708422069999
ACH-000168,0.133356247647
ACH-000169,-0.027971529991900005
ACH-000178,0.0019041645228499997
ACH-000182,0.18106427347600001
ACH-000183,0.005532569448649999
ACH-000188,0.0369113153033
ACH-000189,-0.146352142726
ACH-000190,0.6117548822209999
ACH-000198,0.08884243890839999
ACH-000204,0.11013124398700001
ACH-000206,0.204204019816
ACH-000207,-0.07044514984450001
ACH-000211,0.05947840901740001
ACH-000215,0.0653071678954
ACH-000221,0.128598701017
ACH-000222,0.00686879368291
ACH-000223,-0.18641750071
ACH-000226,-0.0857572040554
ACH-000227,-0.0156618082518
ACH-000228,0.127873583054
ACH-000231,0.167440401281
ACH-000232,-0.101790484673
