,CDC25C (995)
ACH-000004,-0.31905393909
ACH-000007,-0.329141840029
ACH-000009,-0.5000960926169999
ACH-000011,-0.136916155454
ACH-000012,-0.21310759703999999
ACH-000013,-0.10616175432
ACH-000014,-0.30990921653700004
ACH-000015,-0.308242159128
ACH-000017,-0.0914854829102
ACH-000018,-0.442748623703
ACH-000019,-0.289671334741
ACH-000021,-0.367219111396
ACH-000022,-0.245296853112
ACH-000025,0.0337493967714
ACH-000028,-0.34800796958400004
ACH-000030,-0.39239266808
ACH-000035,-0.20181975610599998
ACH-000036,-0.287937619546
ACH-000037,-0.34443057162699997
ACH-000039,-0.402167875558
ACH-000040,-0.244643345522
ACH-000041,-0.286898994724
ACH-000042,-0.476882476104
ACH-000045,-0.18728355105900002
ACH-000047,-0.200783400552
ACH-000052,-0.19736684657099998
ACH-000053,-0.281074332568
ACH-000054,-0.301198606002
ACH-000055,-0.345111588983
ACH-000060,-0.411138288633
ACH-000067,-0.321212166143
ACH-000070,-0.10546683540400001
ACH-000075,-0.424503213027
ACH-000078,-0.285659210136
ACH-000082,-0.16017506526699998
ACH-000085,-0.254311375696
ACH-000086,-0.197720217623
ACH-000087,-0.21274216899700002
ACH-000092,-0.200394437142
ACH-000095,-0.183873562539
ACH-000097,-0.265733188934
ACH-000098,-0.26345618193799997
ACH-000099,-0.38877774625600003
ACH-000108,-0.398365536443
ACH-000113,-0.224983142592
ACH-000115,-0.469423266011
ACH-000116,-0.28571518478700003
ACH-000118,-0.31185212871999995
ACH-000120,-0.31296311936500004
ACH-000123,-0.38801308631399994
ACH-000127,-0.320794707906
ACH-000128,-0.386576380167
ACH-000132,-0.34543536254199997
ACH-000133,-0.195663897415
ACH-000137,-0.266712095466
ACH-000138,-0.42582109382600003
ACH-000142,-0.26868301184300003
ACH-000143,-0.15798485067
ACH-000146,-0.23812933925000002
ACH-000148,-0.189608126113
ACH-000150,-0.37306323308899997
ACH-000152,-0.267116118822
ACH-000153,0.0380925165738
ACH-000159,-0.281899702601
ACH-000160,-0.3380222254
ACH-000163,-0.119960383213
ACH-000167,-0.182102264748
ACH-000168,-0.240601937756
ACH-000169,-0.19319045111900002
ACH-000178,-0.239347004327
ACH-000182,-0.371205244455
ACH-000183,-0.141083799417
ACH-000188,-0.305234054609
ACH-000189,0.183628341762
ACH-000190,-0.508992874771
ACH-000198,-0.165623277541
ACH-000204,-0.22102064050999998
ACH-000206,-0.21840147966499998
ACH-000207,-0.22277883543699997
ACH-000211,-0.283993547744
ACH-000215,-0.249915971129
ACH-000221,-0.159985703195
ACH-000222,-0.338248693741
ACH-000223,-0.354044454666
ACH-000226,-0.38423750466300005
ACH-000227,-0.261051450695
ACH-000228,-0.152107723226
ACH-000231,-0.299308193796
ACH-000232,-0.345495255854
ACH-000233,-0.361287476994
ACH-000234,-0.350745720222
ACH-000235,-0.49724079013000005
ACH-000237,-0.153298107247
ACH-000238,-0.137937331238
ACH-000243,-0.368735330928
ACH-000244,-0.206809402663
ACH-000246,-0.237136856798
ACH-000248,-0.364102321259
ACH-000250,-0.361761249509
ACH-000251,-0.528866054026
ACH-000253,-0.28884736424699997
ACH-000255,-0.228121417215
ACH-000256,-0.0998371690485
ACH-000257,-0.30448825428599996
ACH-000258,-0.554286071485
ACH-000259,-0.350297094247
ACH-000260,-0.349120631719
ACH-000261,-0.370814774875
ACH-000262,-0.330812499119
ACH-000263,-0.0981345690608
ACH-000264,-0.294426034206
ACH-000265,-0.33690502792599997
ACH-000266,-0.40261487047399996
ACH-000272,-0.3416277159
ACH-000273,-0.251681274593
ACH-000274,-0.160541223682
ACH-000277,-0.24651012729200003
ACH-000278,-0.153470278654
ACH-000279,-0.30795718764400004
ACH-000280,-0.39898840060999996
ACH-000281,-0.465340391051
ACH-000288,-0.19173445190900001
ACH-000291,-0.443332763038
ACH-000293,-0.268600370505
ACH-000294,-0.277816423745
ACH-000295,-0.126358608089
ACH-000296,-0.202668601751
ACH-000302,-0.263395682403
ACH-000304,-0.22724311197299998
ACH-000307,-0.24667789279
ACH-000308,-0.343534261029
ACH-000310,-0.39031399836400005
ACH-000311,-0.366762830463
ACH-000312,-0.461194721022
ACH-000315,-0.183213684601
ACH-000316,-0.137714628646
ACH-000317,-0.154010046974
ACH-000318,-0.236177953437
ACH-000319,-0.40475864293799996
ACH-000320,-0.439406644094
ACH-000322,-0.16727065121200002
ACH-000323,-0.141159321783
ACH-000324,-0.343633386891
ACH-000329,-0.258218167036
ACH-000330,-0.18172272275499998
ACH-000331,-0.253959043387
ACH-000332,-0.42155279407799995
ACH-000334,-0.394077704466
ACH-000335,-0.34815505168899996
ACH-000336,-0.456794708596
ACH-000337,-0.591052184974
ACH-000339,-0.348902554104
ACH-000341,-0.516960440388
ACH-000348,-0.27607412562899997
ACH-000350,-0.403931466892
ACH-000352,-0.32899259683800003
ACH-000356,-0.149674291348
ACH-000361,-0.294727599332
ACH-000362,-0.254615582561
ACH-000363,-0.146135022507
ACH-000364,-0.0495377155358
ACH-000365,-0.19655950429000002
ACH-000366,-0.28724062991099997
ACH-000368,-0.24476784262200002
ACH-000374,-0.184445350231
ACH-000375,-0.26175063193000003
ACH-000376,-0.226667188946
ACH-000381,-0.324677926878
ACH-000383,-0.29287561569299997
ACH-000387,-0.324268063068
ACH-000389,-0.371544617655
ACH-000390,-0.21171151360100002
ACH-000393,-0.354728999962
ACH-000395,-0.272152616891
ACH-000397,-0.42150003716300005
ACH-000401,-0.114913102592
ACH-000402,-0.28779993485800004
ACH-000403,-0.302169028675
ACH-000404,-0.21596528129099998
ACH-000406,-0.264534789838
ACH-000407,-0.37718850078599997
ACH-000408,-0.18557804894000002
ACH-000410,-0.242072331603
ACH-000411,-0.280702625554
ACH-000414,-0.34572068465000005
ACH-000415,-0.203464275485
ACH-000416,-0.18692760074499998
ACH-000420,-0.30028081323600003
ACH-000421,-0.202444523328
ACH-000424,-0.315406405965
ACH-000425,-0.37017188532
ACH-000426,-0.223992220449
ACH-000427,-0.141698867097
ACH-000433,-0.307788832811
ACH-000436,-0.359956972525
ACH-000444,0.0185085587894
ACH-000445,-0.21101289404800003
ACH-000448,-0.16978192491099997
ACH-000450,0.111379365651
ACH-000452,-0.20890913619600002
ACH-000454,-0.309197413192
ACH-000458,-0.22566246044500002
ACH-000459,-0.088893779314
ACH-000460,-0.28569707312
ACH-000461,-0.251910201194
ACH-000463,-0.514489891097
ACH-000464,-0.198292253279
ACH-000466,-0.373306123608
ACH-000467,-0.29689388491700003
ACH-000468,-0.269104662284
ACH-000469,-0.24399563995700002
ACH-000470,-0.21069215885499998
ACH-000471,-0.307765351652
ACH-000472,-0.192467927209
ACH-000473,-0.308921572779
ACH-000475,-0.288318645064
ACH-000476,-0.23737332761399998
ACH-000477,-0.199981281724
ACH-000480,-0.23077935779
ACH-000481,-0.29037806351100004
ACH-000483,-0.18524417495499998
ACH-000484,-0.189327979452
ACH-000485,-0.114150762654
ACH-000486,-0.21781774678100002
ACH-000487,-0.341596671093
ACH-000488,-0.324721898303
ACH-000490,-0.330762840507
ACH-000491,-0.19457402111299998
