,GPR137C (283554)
ACH-000004,-0.357830999225
ACH-000007,-0.43807758215400006
ACH-000009,-0.143767602182
ACH-000011,-0.41476329423299996
ACH-000012,-0.265909476082
ACH-000013,-0.289116112934
ACH-000014,-0.06673578488559999
ACH-000015,-0.31080800698399996
ACH-000017,-0.239606488349
ACH-000018,-0.611645282815
ACH-000019,-0.482444837393
ACH-000021,-0.28876360071999996
ACH-000022,-0.259298054615
ACH-000025,-0.31190500514499997
ACH-000028,-0.313181232509
ACH-000030,-0.323836846881
ACH-000035,-0.34793516032
ACH-000036,-0.38218107366899995
ACH-000037,-0.242240225678
ACH-000039,-0.143882154988
ACH-000040,-0.568122098066
ACH-000041,-0.272573447291
ACH-000042,-0.35230891854099994
ACH-000045,-0.261788094862
ACH-000047,-0.374537865835
ACH-000052,-0.280517609477
ACH-000053,-0.269263172346
ACH-000054,-0.268027189011
ACH-000055,-0.28524812823199996
ACH-000060,-0.580237691902
ACH-000067,-0.295244621508
ACH-000070,-0.308080599534
ACH-000075,-0.100612881551
ACH-000078,-0.37200351260799996
ACH-000082,-0.521511466033
ACH-000085,-0.5103910543379999
ACH-000086,-0.276511800888
ACH-000087,-0.5963544916879999
ACH-000092,-0.377443056971
ACH-000095,-0.378235115548
ACH-000097,-0.190596436044
ACH-000098,-0.284308039518
ACH-000099,-0.372739607241
ACH-000108,-0.41497991206600005
ACH-000113,-0.22680397845400002
ACH-000115,-0.36270014821400004
ACH-000116,-0.320070958525
ACH-000118,-0.43644327652599996
ACH-000120,-0.0856909793038
ACH-000123,-0.17076384074700002
ACH-000127,-0.238814156379
ACH-000128,-0.06127780829749999
ACH-000132,-0.214787769795
ACH-000133,-0.26247773053199996
ACH-000137,-0.28346835546300003
ACH-000138,-0.375912220111
ACH-000142,-0.183236951048
ACH-000143,-0.22216812986099999
ACH-000146,-0.348066538034
ACH-000148,-0.170404005593
ACH-000150,-0.311144272928
ACH-000152,-0.407860436968
ACH-000153,-0.136050723497
ACH-000159,-0.49665212342299997
ACH-000160,-0.32486780481800004
ACH-000163,-0.23052801232200001
ACH-000167,-0.448631390028
ACH-000168,-0.358390116122
ACH-000169,-0.00765937026594
ACH-000178,-0.537575196703
ACH-000182,-0.359129576646
ACH-000183,-0.309827129087
ACH-000188,-0.149237493168
ACH-000189,-0.584420911558
ACH-000190,-0.39536820556100005
ACH-000198,-0.390288779016
ACH-000204,-0.471294938248
ACH-000206,-0.677218418298
ACH-000207,-0.649409576601
ACH-000211,-0.373827336027
ACH-000215,-0.335508610554
ACH-000221,-0.255165836395
ACH-000222,-0.405286913558
ACH-000223,-0.371900444393
ACH-000226,-0.426420937123
ACH-000227,-0.20214837065900002
