,PTMA (5757)
ACH-000004,-0.7051187202399999
ACH-000007,-0.454673460564
ACH-000009,-0.479727531821
ACH-000011,-0.54029015806
ACH-000012,-0.595482775026
ACH-000013,-0.209929980157
ACH-000014,-0.410034295954
ACH-000015,-0.520351193395
ACH-000017,-0.522948478369
ACH-000018,-0.523341743503
ACH-000019,-0.6318725919929999
ACH-000021,-0.50669722118
ACH-000022,-0.613850907481
ACH-000025,-0.508729887048
ACH-000028,-0.706881024647
ACH-000030,-0.37595093233000004
ACH-000035,-0.462246231523
ACH-000036,-0.8298240199770001
ACH-000037,-0.798425996707
ACH-000039,-0.411115508593
ACH-000040,-0.582286887903
ACH-000041,-0.453283761158
ACH-000042,-0.631995833438
ACH-000045,-0.6468592834520001
ACH-000047,-0.35152903508
ACH-000052,-0.426399379517
ACH-000053,-0.565417619261
ACH-000054,-0.557477932633
ACH-000055,-0.687476747114
ACH-000060,-0.434115162133
ACH-000067,-0.6376412855
ACH-000070,-0.529789318624
ACH-000075,-0.480238228269
ACH-000078,-0.7259348116519999
ACH-000082,-0.44170427209700003
ACH-000085,-0.499610938196
ACH-000086,-0.480166185602
ACH-000087,-0.458400884037
ACH-000092,-0.573677814167
ACH-000095,-0.596333634379
ACH-000097,-0.782045464295
ACH-000098,-0.554176813672
ACH-000099,-0.634839900131
ACH-000108,-0.592733138257
ACH-000113,-0.8963993778389999
ACH-000115,-0.385754059526
ACH-000116,-0.27742544271200004
ACH-000118,-0.391501220783
ACH-000120,-0.501333952527
ACH-000123,-0.27780727426
ACH-000127,-0.451419924031
ACH-000128,-0.620071554617
ACH-000132,-0.46396448894299996
ACH-000133,-0.443739794604
ACH-000137,-0.6436244278059999
ACH-000138,-0.521193693475
ACH-000142,-0.48651643956999996
ACH-000143,-0.60077282459
ACH-000146,-1.0286639747
ACH-000148,-0.546638091625
ACH-000150,-0.45597465163500006
ACH-000152,-0.599246368158
ACH-000153,-0.608909772005
ACH-000159,-0.422541346206
ACH-000160,-0.551279171444
ACH-000163,-0.68539032669
ACH-000167,-0.798965283724
ACH-000168,-0.390280672518
ACH-000169,-0.42402298876199995
ACH-000178,-0.531374763188
ACH-000182,-0.663797731028
ACH-000183,-0.7501640729919999
ACH-000188,-0.642745803953
ACH-000189,-0.708245276816
ACH-000190,-0.7188837085199999
ACH-000198,-0.654481870579
ACH-000204,-0.617623989763
ACH-000206,-0.37126751659199997
ACH-000207,-0.5765284058219999
ACH-000211,-0.554721022759
ACH-000215,-0.534933170493
ACH-000221,-0.259888412514
ACH-000222,-0.44724158992299995
ACH-000223,-0.405789528736
ACH-000226,-0.851965201593
ACH-000227,-0.524643867177
ACH-000228,-0.194285043763
ACH-000231,-0.662335857571
ACH-000232,-0.627590639528
ACH-000233,-0.719815842141
ACH-000234,-0.614534840962
ACH-000235,-0.637946547712
ACH-000237,-0.536075587728
ACH-000238,-0.757209277644
ACH-000243,-0.589955920013
ACH-000244,-0.41674135354099995
ACH-000246,-0.610813287788
ACH-000248,-0.423164503794
ACH-000250,-0.381425462672
ACH-000251,-0.387771873016
ACH-000253,-0.8684063860979999
ACH-000255,-0.5667287785289999
ACH-000256,-0.441526807839
ACH-000257,-0.647958916612
ACH-000258,-0.7566241450229999
ACH-000259,-0.598723508021
ACH-000260,-0.626516166188
ACH-000261,-0.46534922228500003
ACH-000262,-0.26373826335
ACH-000263,-0.440959108456
ACH-000264,-0.5469048002019999
ACH-000265,-0.24883887576699998
ACH-000266,-0.6430658558429999
ACH-000272,-0.732955062579
ACH-000273,-0.405729086064
ACH-000274,-0.496032416729
ACH-000277,-0.332077457561
ACH-000278,-0.586966649419
ACH-000279,-0.504345753914
ACH-000280,-0.459725574705
ACH-000281,-0.494421290717
ACH-000288,-0.576590447999
ACH-000291,-0.610339855442
ACH-000293,-0.586448697382
ACH-000294,-0.722178481511
ACH-000295,-0.828076190149
ACH-000296,-0.228775617485
ACH-000302,-0.33640973594800005
ACH-000304,-0.557020241853
ACH-000307,-0.624714931551
ACH-000308,-0.575050329428
ACH-000310,-0.572818837724
ACH-000311,-0.329618929473
ACH-000312,-0.592431476748
ACH-000315,-0.6053682127269999
ACH-000316,-0.656509035156
ACH-000317,-0.6455601635379999
ACH-000318,-0.7112160039450001
ACH-000319,-0.31210193725
ACH-000320,-0.6776451234149999
ACH-000322,-0.285417579879
ACH-000323,-0.6380588508899999
ACH-000324,-0.493443579229
ACH-000329,-0.592611252328
ACH-000330,-0.487749766446
ACH-000331,-0.500188148006
ACH-000332,-0.792496474735
ACH-000334,-1.1877224369600001
ACH-000335,-0.453353466273
ACH-000336,-0.5340025038180001
ACH-000337,-0.828918731723
ACH-000339,-0.47498230300800004
ACH-000341,-0.42109841105400003
ACH-000348,-0.525043104328
ACH-000350,-0.654851005906
ACH-000352,-0.635089538463
ACH-000356,-0.29615296335499997
ACH-000361,-0.303781037037
ACH-000362,-0.65984692849
ACH-000363,-0.9238454835259999
ACH-000364,-0.454025703579
ACH-000365,-0.664392883737
ACH-000366,-0.523534960652
ACH-000368,-0.45009673389300003
ACH-000374,-0.647898233665
ACH-000375,-0.631933803818
ACH-000376,-0.701854705122
ACH-000381,-0.827138630796
ACH-000383,-0.750142118451
ACH-000387,-0.578372985423
ACH-000389,-0.39380179792099995
ACH-000390,-0.540060574724
ACH-000393,-0.569901277251
ACH-000395,-0.42698223220700005
ACH-000397,-0.520909867616
ACH-000401,-0.365963347613
ACH-000402,-0.561125455172
ACH-000403,-0.591569949991
ACH-000404,-0.487859287592
ACH-000406,-0.6219633155309999
ACH-000407,-0.43633768915700005
ACH-000408,-0.36741650082800004
ACH-000410,-0.629622068105
ACH-000411,-0.467195196347
ACH-000414,-0.47102400683799994
ACH-000415,-0.346107398589
ACH-000416,-0.399182603587
ACH-000420,-0.759843795039
ACH-000421,-0.587465722046
ACH-000424,-0.425858292243
ACH-000425,-0.6146416612969999
ACH-000426,-0.894417202286
ACH-000427,-0.751543562001
ACH-000433,-0.590535246962
