,CDK5RAP3 (80279)
ACH-000004,-0.313429429615
ACH-000007,-0.08696320243210001
ACH-000009,-0.130586590247
ACH-000011,-0.22771038161899998
ACH-000012,-0.262250725953
ACH-000013,-0.23517726234900002
ACH-000014,-0.18648441693599999
ACH-000015,-0.0973586108047
ACH-000017,0.042562456998100004
ACH-000018,-0.274702847265
ACH-000019,-0.24520334234700003
ACH-000021,0.049913245598099995
ACH-000022,-0.271193833466
ACH-000025,-0.21001997983600001
ACH-000028,-0.245759070071
ACH-000030,-0.117376058539
ACH-000035,-0.313910275121
ACH-000036,-0.206146682473
ACH-000037,-0.23082953140700002
ACH-000039,-0.20172408352200003
ACH-000040,-0.47773263662199994
ACH-000041,-0.128992246758
ACH-000042,-0.164946863636
ACH-000045,-0.20032065229899998
ACH-000047,-0.183531989516
ACH-000052,-0.259879647595
ACH-000053,-0.05660045781880001
ACH-000054,-0.20977958897799998
ACH-000055,-0.44226470703500004
ACH-000060,-0.36802892149300004
ACH-000067,-0.30649503534899997
ACH-000070,-0.17864293881299997
ACH-000075,-0.5582833105489999
ACH-000078,-0.317797049965
ACH-000082,-0.378528289712
ACH-000085,-0.33380939895100004
ACH-000086,-0.137008762049
ACH-000087,-0.0453278617649
ACH-000092,-0.27034456110800004
ACH-000095,-0.122619572705
ACH-000097,-0.192323544677
ACH-000098,-0.035686466852800004
ACH-000099,-0.190853506723
ACH-000108,-0.350927874569
ACH-000113,-0.0550934586754
ACH-000115,-0.0376428178642
ACH-000116,-0.222270897949
ACH-000118,-0.07807852504910001
ACH-000120,-0.220116389912
ACH-000123,-0.332041728571
ACH-000127,-0.152534821849
ACH-000128,-0.42683506851999997
ACH-000132,-0.0425759003927
ACH-000133,-0.160297953542
ACH-000137,-0.323968851305
ACH-000138,-0.36420298116300004
ACH-000142,-0.232094329615
ACH-000143,-0.21239977225099999
ACH-000146,-0.284655829475
ACH-000148,0.0029752963266
ACH-000150,-0.254289753565
ACH-000152,-0.372143876647
ACH-000153,-0.284889350616
ACH-000159,-0.285391597777
ACH-000160,-0.148417029738
ACH-000163,-0.503575159659
ACH-000167,-0.36368269368699996
ACH-000168,-0.478884165571
ACH-000169,-0.30902326483000003
ACH-000178,-0.053284188065900004
ACH-000182,-0.193602798455
ACH-000183,-0.180988868408
ACH-000188,-0.40913640523199996
ACH-000189,-0.21398651887200001
ACH-000190,-0.451237750868
ACH-000198,-0.129367370874
ACH-000204,-0.0680427524049
ACH-000206,-0.112438499619
ACH-000207,-0.09269088246610001
ACH-000211,-0.205222086558
ACH-000215,-0.08170683104019999
ACH-000221,-0.207990630317
ACH-000222,-0.37682237463699997
ACH-000223,-0.00844018431818
ACH-000226,-0.07637021913719999
ACH-000227,-0.0055120857209799996
ACH-000228,-0.36916632569799995
ACH-000231,-0.126423474372
ACH-000232,-0.149945676713
ACH-000233,-0.113851154801
ACH-000234,-0.158193037063
ACH-000235,-0.125587106223
ACH-000237,-0.29478008777
ACH-000238,-0.5433878970530001
ACH-000243,-0.21481251134399998
ACH-000244,-0.553582131016
ACH-000246,-0.312146177644
ACH-000248,-0.0689635493086
ACH-000250,-0.15081606552500001
ACH-000251,-0.0482538384181
ACH-000253,-0.565735154721
ACH-000255,-0.434151179814
ACH-000256,-0.263739877824
ACH-000257,-0.0767990460398
ACH-000258,0.0218259601851
ACH-000259,-0.0715213339006
ACH-000260,-0.237004670522
ACH-000261,-0.130743834753
ACH-000262,0.09445059149389999
ACH-000263,-0.104703011679
ACH-000264,-0.155487297322
ACH-000265,-0.154559171183
ACH-000266,-0.474979438261
ACH-000272,-0.12601177179300002
ACH-000273,-0.331493519199
ACH-000274,-0.159481841116
ACH-000277,0.028968920064699998
ACH-000278,-0.0743400469668
ACH-000279,-0.0375392605177
ACH-000280,-0.33983414373899995
ACH-000281,-0.287579978463
ACH-000288,-0.351811956316
ACH-000291,-0.467644280546
ACH-000293,-0.570140244691
ACH-000294,-0.321093347519
ACH-000295,-0.0170813461649
ACH-000296,-0.462246364389
ACH-000302,-0.154583431339
ACH-000304,-0.425704376016
ACH-000307,-0.070357241745
ACH-000308,-0.24789702674199998
ACH-000310,0.0198194680467
ACH-000311,-0.167460827388
ACH-000312,-0.284536222894
ACH-000315,-0.160583891542
ACH-000316,-0.41951582324000003
ACH-000317,-0.0333925694055
ACH-000318,-0.0857119594393
ACH-000319,-0.34742385416999993
ACH-000320,0.13268824310799998
ACH-000322,-0.324845058014
ACH-000323,-0.42775681522200004
ACH-000324,-0.239277706281
ACH-000329,-0.0361639731092
ACH-000330,-0.260647572022
ACH-000331,-0.217191654679
ACH-000332,-0.0852252875394
ACH-000334,-0.00101363738116
