,ZCCHC17 (51538)
ACH-000463,-0.22910665348700002
ACH-000464,-0.33305660825800004
ACH-000466,-0.143636040678
ACH-000467,-0.36369478923799997
ACH-000468,-0.246056494679
ACH-000469,-0.315920009898
ACH-000470,-0.200403485023
ACH-000471,-0.150347622395
ACH-000472,-0.253738239691
ACH-000473,-0.22891734248799997
ACH-000475,-0.388471015815
ACH-000476,-0.329781433169
ACH-000477,-0.162747691831
ACH-000480,-0.289215025726
ACH-000481,-0.139863563348
ACH-000483,-0.254209951689
ACH-000484,-0.175787176364
ACH-000485,-0.293658174453
ACH-000486,-0.277492208337
ACH-000487,-0.225321966096
ACH-000488,-0.309773482081
ACH-000490,-0.412762296792
ACH-000491,-0.246959629959
ACH-000495,-0.376152335779
ACH-000496,-0.23637941734200002
ACH-000499,-0.133229322776
ACH-000500,-0.549567177879
ACH-000502,-0.220962124118
ACH-000503,-0.4378567946
ACH-000505,-0.254939839336
ACH-000507,-0.340238523394
ACH-000510,-0.229854974653
ACH-000511,-0.204421602335
ACH-000512,-0.248987779403
ACH-000516,-0.237993302878
ACH-000517,-0.178515408877
ACH-000518,-0.284681831489
ACH-000520,-0.24198958468
ACH-000521,-0.345958832486
ACH-000522,-0.363306974823
ACH-000524,-0.249353076428
ACH-000527,-0.240357681271
ACH-000528,-0.216065548218
ACH-000537,-0.19497456664
ACH-000541,-0.367760672096
ACH-000542,-0.21343763225900003
ACH-000544,-0.344476317226
ACH-000545,-0.23997722520599998
ACH-000547,-0.352787828446
ACH-000548,-0.285528408216
ACH-000549,-0.167010297276
ACH-000550,-0.379467587173
ACH-000552,-0.139426718516
ACH-000556,-0.249726607682
ACH-000557,0.0123412779795
ACH-000570,-0.288508688576
ACH-000571,-0.30014741271400003
ACH-000573,-0.28584636552299997
ACH-000576,-0.41878814597499997
ACH-000580,-0.418979769582
ACH-000584,-0.22511169992
ACH-000585,-0.270396563451
ACH-000588,-0.198083229703
ACH-000589,-0.289510686339
ACH-000591,-0.326515605306
ACH-000593,-0.20569536720400003
ACH-000600,-0.313641709739
ACH-000601,-0.28555890229499997
ACH-000604,-0.39423461770900003
ACH-000605,-0.26171095812
ACH-000606,-0.328587228794
ACH-000608,-0.233313659185
ACH-000614,-0.444551489586
ACH-000616,-0.282695557331
ACH-000618,-0.270022604981
ACH-000619,-0.35251122914399996
ACH-000620,-0.22832274679
ACH-000621,-0.41801635251900005
ACH-000622,-0.19498671761
ACH-000623,-0.0851059789045
ACH-000624,-0.234097156706
ACH-000627,-0.35994026893500003
ACH-000630,-0.329138840484
ACH-000632,-0.288186811021
ACH-000633,-0.21579629869800002
ACH-000637,-0.26332657412599997
ACH-000638,-0.553466951862
ACH-000646,-0.240104930731
ACH-000647,-0.0687323152432
ACH-000648,-0.660606916307
ACH-000649,-0.17382341028
ACH-000651,-0.166793199728
ACH-000652,-0.368204091479
ACH-000653,-0.454924636712
ACH-000657,-0.315886938592
ACH-000658,-0.09733193013810001
ACH-000661,-0.112707113895
ACH-000662,-0.151475157082
ACH-000663,-0.170343104021
ACH-000665,-0.280452646305
ACH-000671,-0.191767748311
ACH-000673,-0.301906568846
ACH-000676,-0.372003304343
ACH-000677,-0.191279557885
ACH-000681,-0.087688935395
ACH-000682,-0.294290792762
ACH-000683,-0.237084214815
ACH-000684,-0.367965488754
ACH-000688,-0.298178984465
ACH-000693,-0.192480754114
ACH-000694,-0.24509220161400003
ACH-000695,-0.622606187177
ACH-000696,-0.281010027697
ACH-000697,-0.510354515066
ACH-000699,-0.459409428038
ACH-000701,-0.408232500773
ACH-000706,-0.39539492078199995
ACH-000711,-0.346269421074
ACH-000713,-0.160664777502
ACH-000714,-0.37400949186899995
ACH-000718,-0.44019840213100003
ACH-000720,-0.268774332828
ACH-000721,-0.234604793043
ACH-000724,-0.105769410769
ACH-000725,-0.176408346256
ACH-000732,-0.344710119185
ACH-000734,-0.344876523261
ACH-000735,-0.299953463691
ACH-000736,-0.235980042276
ACH-000738,-0.255784972308
ACH-000746,-0.296102158524
ACH-000747,-0.261037916042
ACH-000748,-0.237847903772
ACH-000753,-0.292060292114
ACH-000756,-0.260436778746
ACH-000757,-0.260494497078
ACH-000758,-0.285974832601
ACH-000760,-0.20995616272
ACH-000763,-0.364705767583
ACH-000764,-0.232969028734
ACH-000765,-0.421192446816
ACH-000766,-0.36422613208899995
ACH-000767,-0.20605924749200002
ACH-000768,-0.266617545406
ACH-000769,-0.265399894218
ACH-000770,-0.218059230926
ACH-000771,-0.10505657569299999
ACH-000773,-0.0826377775694
ACH-000776,-0.229897424044
ACH-000777,-0.246192062064
ACH-000778,-0.35485999625
ACH-000781,-0.24679656778200001
ACH-000782,-0.321540702716
ACH-000783,-0.32376428631299997
ACH-000784,-0.211801394837
ACH-000785,-0.256668337664
ACH-000787,-0.22165217607299997
ACH-000788,-0.22708280822500002
ACH-000791,-0.297070748179
ACH-000792,-0.244662936085
ACH-000794,-0.27071769235300003
ACH-000796,-0.37469964798600003
ACH-000799,-0.614156909324
ACH-000800,-0.07692716481
ACH-000802,-0.224863155507
ACH-000804,-0.38893905504799997
ACH-000805,-0.15302242407199998
ACH-000809,-0.18816116517
ACH-000810,-0.0727329872847
ACH-000811,-0.24053487130399998
ACH-000817,-0.481503356835
ACH-000819,-0.0465816170232
ACH-000820,-0.485004686486
ACH-000821,-0.045098607721100005
ACH-000822,-0.310540647631
ACH-000823,-0.15540584932600002
ACH-000824,-0.0840193448467
ACH-000827,-0.219804365049
ACH-000829,-0.245455254624
ACH-000831,-0.374284255144
ACH-000832,-0.35423320629
ACH-000833,-0.11905750307099999
ACH-000834,-0.161427385329
ACH-000835,-0.253171139056
ACH-000836,-0.23194488221700002
ACH-000837,-0.297331764703
ACH-000838,-0.0459620492536
ACH-000839,-0.0476961629078
ACH-000840,-0.32348808948
ACH-000841,-0.24164564255999998
ACH-000843,-0.26345211241
ACH-000846,-0.22440314761500002
ACH-000847,-0.18984640848499998
ACH-000848,-0.28279737417
ACH-000849,-0.283671365182
ACH-000851,-0.43428498242700003
ACH-000855,-0.488511713453
ACH-000856,-0.21217870553399998
ACH-000858,-0.274884907104
ACH-000859,-0.259948914259
ACH-000861,-0.297241551428
ACH-000862,-0.210859751503
ACH-000865,-0.0883185115801
ACH-000866,-0.40805322975999997
ACH-000867,-0.12837255838
ACH-000869,-0.388450754296
ACH-000872,-0.274311174143
ACH-000873,-0.11925662051899999
ACH-000876,-0.0868811456289
ACH-000878,0.11188296949200001
ACH-000880,-0.130839712281
ACH-000881,-0.27183588133299996
ACH-000882,-0.221121316426
ACH-000884,-0.24215497936900002
ACH-000885,-0.145138627861
ACH-000887,-0.29114170325399996
ACH-000888,-0.334316803413
ACH-000889,-0.154430065812
ACH-000890,-0.218061053103
ACH-000896,-0.0738243323822
ACH-000898,-0.106638720106
ACH-000900,-0.40138785030199997
ACH-000901,-0.270240982706
