,IDH3A (3419)
ACH-000004,-0.436473183395
ACH-000007,-0.0336256900802
ACH-000009,-0.30748340161800003
ACH-000011,-0.217395892455
ACH-000012,-0.345905342103
ACH-000013,-0.07048284954810001
ACH-000014,-0.743809830803
ACH-000015,-0.25949559964
ACH-000017,-0.991365649112
ACH-000018,-0.30390992192099997
ACH-000019,-0.223595430813
ACH-000021,-0.215486283455
ACH-000022,-0.436092836453
ACH-000025,-0.311914507849
ACH-000028,-0.20059796631700003
ACH-000030,-0.648662941938
ACH-000035,-0.390239870508
ACH-000036,-0.388570581184
ACH-000037,-0.0952888074144
ACH-000039,-0.0650835031274
ACH-000040,-0.213727860808
ACH-000041,-0.163515861194
ACH-000042,-0.623752420024
ACH-000045,-0.07747670698810001
ACH-000047,-0.729441368977
ACH-000052,-0.267503531703
ACH-000053,-0.33053768695999997
ACH-000054,-0.36032261343500005
ACH-000055,-0.290826187
ACH-000060,-0.966051124617
ACH-000067,0.035594563467900006
ACH-000070,-0.10955296574899999
ACH-000075,-0.14190671693499998
ACH-000078,-0.32425556660599997
ACH-000082,-0.135012361307
ACH-000085,-0.567396587739
ACH-000086,-0.293514282157
ACH-000087,-0.238747657973
ACH-000092,-0.19245985589200001
ACH-000095,-0.196080242846
ACH-000097,-0.321161967877
ACH-000098,-0.0710563351415
ACH-000099,-0.158191642655
ACH-000108,-0.371024188762
ACH-000113,-0.282901779304
ACH-000115,-0.129852584768
ACH-000116,-0.087336199406
ACH-000118,-0.902482498326
ACH-000120,-0.39700480960900003
ACH-000123,-0.62601923108
ACH-000127,-0.767909910441
ACH-000128,-0.805327608474
ACH-000132,-0.643304977266
ACH-000133,-0.20128401744199997
ACH-000137,-0.42562251727899997
ACH-000138,-0.520592385128
ACH-000142,-0.03555861877930001
ACH-000143,-0.296281294142
ACH-000146,-0.07167093299260001
ACH-000148,-0.141134282144
ACH-000150,-0.686202763066
ACH-000152,-0.573766934849
ACH-000153,-0.275909813365
ACH-000159,-0.426649479947
ACH-000160,0.023651342072000002
ACH-000163,-0.29356415759599996
ACH-000167,0.15473408682700002
ACH-000168,-0.137190825302
ACH-000169,-0.190653015667
ACH-000178,-0.434416027623
ACH-000182,-0.40932058205300004
ACH-000183,-0.9406338341949999
ACH-000188,0.0724665331017
ACH-000189,-0.0586278038225
ACH-000190,0.091044428788
ACH-000198,-0.00828968139317
ACH-000204,-0.290666381258
ACH-000206,-0.365807459742
ACH-000207,-0.547508229145
ACH-000211,-0.255534114324
ACH-000215,0.0152301312615
ACH-000221,-0.037305392821
ACH-000222,-0.489816730911
ACH-000223,-0.6293229421450001
ACH-000226,-0.7212249977349999
ACH-000227,-0.559899073701
ACH-000228,-0.0836265717252
ACH-000231,0.0446539688506
ACH-000232,-0.323090484685
ACH-000233,-0.81975384835
ACH-000234,-0.616309279271
ACH-000235,-0.69317810331
ACH-000237,0.0465576784049
ACH-000238,-0.354714131497
ACH-000243,-0.16441795353
ACH-000244,-0.14272944576899999
ACH-000246,-0.499150540295
ACH-000248,-0.8784833940569999
ACH-000250,-0.448283793497
ACH-000251,-0.29804907035100003
ACH-000253,-0.070516159105
ACH-000255,-0.113916187237
ACH-000256,-0.425377923862
ACH-000257,-0.401925815181
ACH-000258,-0.346557314889
