,HDGFL1 (154150)
ACH-000004,-0.046642510403699995
ACH-000007,-0.285826961328
ACH-000009,0.09165825826160001
ACH-000011,-0.19278889173900002
ACH-000012,-0.150685884659
ACH-000013,-0.150981543386
ACH-000014,-0.0979617428544
ACH-000015,0.17067887542399998
ACH-000017,-0.163954796159
ACH-000018,0.0469248850479
ACH-000019,-0.0332962341625
ACH-000021,0.041147352484400004
ACH-000022,-0.114289810724
ACH-000025,-0.35385655119099996
ACH-000028,0.0717697413217
ACH-000030,-0.18155475838
ACH-000035,-0.16159549688
ACH-000036,-0.34938392221500003
ACH-000037,-0.0624731694734
ACH-000039,-0.32614185565000003
ACH-000040,-0.0934666994313
ACH-000041,-0.258174396952
ACH-000042,0.106172476021
ACH-000045,-0.0680061183614
ACH-000047,-0.25086144136300004
ACH-000052,-0.387701973757
ACH-000053,-0.0408568490033
ACH-000054,-0.252659498134
ACH-000055,-0.0153087635485
ACH-000060,-0.267022538261
ACH-000067,-0.206943686605
ACH-000070,0.029061797185299998
ACH-000075,-0.00232594773731
ACH-000078,-0.257066932241
ACH-000082,-0.253680002241
ACH-000085,-0.293905844926
ACH-000086,-0.0633039840612
ACH-000087,0.11277431207999998
ACH-000092,-0.10286021529200001
ACH-000095,-0.29270262643899997
ACH-000097,-0.17734299375799997
ACH-000098,-0.165053417406
ACH-000099,-0.17964844238299998
ACH-000108,-0.164335906489
ACH-000113,0.0007557303808869999
ACH-000115,-0.48961441102200004
ACH-000116,-0.103673725512
ACH-000118,-0.136524927885
ACH-000120,-0.005044566746079999
ACH-000123,-0.10169337034800001
ACH-000127,-0.218353395081
ACH-000128,-0.07918559232889999
ACH-000132,-0.155643523238
ACH-000133,-0.242495110694
ACH-000137,-0.233837003299
ACH-000138,-0.22219434291200002
ACH-000142,-0.175268190847
ACH-000143,-0.214482496236
ACH-000146,-0.0806287659694
ACH-000148,-0.169598599247
ACH-000150,0.0456237300578
ACH-000152,-0.130644177531
ACH-000153,-0.269678715807
ACH-000159,-0.224229009093
ACH-000160,0.038233285893
ACH-000163,-0.38474675813000003
ACH-000167,0.26817812425
ACH-000168,-0.0262414100958
ACH-000169,-0.19044764576499998
ACH-000178,-0.132776199696
ACH-000182,-0.0334943579008
ACH-000183,0.0417523119498
ACH-000188,-0.185882970913
ACH-000189,0.122512170684
ACH-000190,-0.38633022608400003
ACH-000198,-0.143086060983
ACH-000204,-0.0235266909462
ACH-000206,-0.0649066043615
ACH-000207,-0.253888131544
ACH-000211,-0.045109744591499995
ACH-000215,-0.148237335886
ACH-000221,-0.014699925166499999
ACH-000222,-0.09177907132060001
ACH-000223,-0.251767197394
ACH-000226,-0.235132272626
ACH-000227,-0.391847637313
ACH-000228,0.0009593611699500001
ACH-000231,-0.184872515666
ACH-000232,-0.257240565661
ACH-000233,-0.137849063468
ACH-000234,-0.14729224855
ACH-000235,-0.041524078700599994
ACH-000237,-0.024011407292
ACH-000238,0.0195475250926
ACH-000243,-0.0828032287652
ACH-000244,-0.20642460173799998
ACH-000246,-0.0971003717253
ACH-000248,-0.189085844397
ACH-000250,-0.158575261422
ACH-000251,0.09802476503039999
ACH-000253,-0.107609653528
ACH-000255,-0.132912911033
ACH-000256,-0.272692647926
ACH-000257,-0.240773117997
ACH-000258,-0.0725368342407
ACH-000259,-0.21970299611900002
ACH-000260,-0.0570400699297
ACH-000261,0.020428204601
ACH-000262,-0.0382416538815
ACH-000263,0.000361522123996
ACH-000264,-0.117666185572
ACH-000265,-0.138838907077
ACH-000266,-0.0923188237499
ACH-000272,-0.0376037504841
ACH-000273,-0.199628013682
ACH-000274,-0.135565147474
ACH-000277,-0.435604432255
ACH-000278,-0.108852677221
ACH-000279,-0.18446746941199998
ACH-000280,-0.156153587442
ACH-000281,-0.181049612771
ACH-000288,-0.0943756923934
ACH-000291,-0.0145753906564
ACH-000293,-0.0961501641243
ACH-000294,-0.0914513865805
ACH-000295,-0.309835110491
ACH-000296,-0.144199662121
ACH-000302,-0.0830024944239
ACH-000304,-0.08107160019719999
ACH-000307,-0.114468517576
ACH-000308,-0.107212852985
ACH-000310,-0.12708689708499998
ACH-000311,-0.264549988821
ACH-000312,-0.026480728595699998
ACH-000315,0.206700822205
ACH-000316,-0.197551362769
ACH-000317,-0.0158979598501
ACH-000318,-0.0564271296428
ACH-000319,-0.221738540215
ACH-000320,-0.26008453827399997
ACH-000322,-0.060617454726200004
ACH-000323,-0.0856032323733
ACH-000324,-0.20728901441300002
ACH-000329,-0.14459460546800001
ACH-000330,-0.0735625049954
ACH-000331,-0.139487685871
ACH-000332,-0.00643417175759
ACH-000334,0.16606226903
ACH-000335,-0.449086423975
ACH-000336,0.36650570737800003
ACH-000337,-0.102328783804
ACH-000339,-0.127831065771
ACH-000341,-0.143240762635
ACH-000348,-0.06672636330019999
ACH-000350,0.11546721139
ACH-000352,0.0215142769761
ACH-000356,-0.238382249248
ACH-000361,-0.279370990095
ACH-000362,-0.0702431176798
ACH-000363,-0.12213091764
ACH-000364,-0.171076882195
ACH-000365,0.021633518248900002
ACH-000366,-0.183238197494
ACH-000368,-0.115612367021
