,PF4 (5196)
ACH-000004,-0.0382959972679
ACH-000007,-0.263818976654
ACH-000009,-0.182626914309
ACH-000011,-0.311096232793
ACH-000012,-0.325966333883
ACH-000013,-0.09540182115010001
ACH-000014,-0.332412060894
ACH-000015,-0.260033225923
ACH-000017,-0.248409165779
ACH-000018,-0.622041659969
ACH-000019,-0.33142602773400004
ACH-000021,-0.174253013637
ACH-000022,-0.24534935468000002
ACH-000025,-0.41012102089
ACH-000028,-0.203119689825
ACH-000030,-0.298958929316
ACH-000035,-0.25030099637200004
ACH-000036,-0.203503039108
ACH-000037,-0.45995764135
ACH-000039,-0.400259340982
ACH-000040,-0.262613799212
ACH-000041,-0.28162652948600003
ACH-000042,-0.25196642030099997
ACH-000045,-0.112114426208
ACH-000047,-0.229272565858
ACH-000052,-0.0650669714055
ACH-000053,-0.211676734977
ACH-000054,-0.292730572345
ACH-000055,-0.327633374466
ACH-000060,-0.6054257271600001
ACH-000067,-0.29248964058000004
ACH-000070,-0.377370955123
ACH-000075,-0.33880156388300003
ACH-000078,-0.167112829449
ACH-000082,-0.213862033923
ACH-000085,-0.27484684042
ACH-000086,-0.28605397444200004
ACH-000087,-0.449201857015
ACH-000092,-0.17652560741
ACH-000095,-0.33005241508600003
ACH-000097,-0.300481584082
ACH-000098,-0.427225813797
ACH-000099,-0.179594853279
ACH-000108,-0.21837207772
ACH-000113,-0.160378805756
ACH-000115,-0.454992081114
ACH-000116,-0.35637777331299997
ACH-000118,-0.22334023924199997
ACH-000120,-0.289363252473
ACH-000123,-0.35340451632700004
ACH-000127,-0.312610028311
ACH-000128,-0.39778047852
ACH-000132,-0.157431277406
ACH-000133,-0.270330263812
ACH-000137,-0.417775195343
ACH-000138,-0.0673207877489
ACH-000142,-0.35132832322400004
ACH-000143,-0.40583934594400006
ACH-000146,-0.292167827168
ACH-000148,-0.259952510405
ACH-000150,-0.513721746434
ACH-000152,-0.264194602512
ACH-000153,-0.506085197112
ACH-000159,-0.418527297759
ACH-000160,-0.461558491331
ACH-000163,-0.404524063673
ACH-000167,-0.550491077455
ACH-000168,-0.319762790083
ACH-000169,-0.273505481875
ACH-000178,-0.141960297037
ACH-000182,-0.415673267971
ACH-000183,-0.378830853307
ACH-000188,-0.325212715509
ACH-000189,-0.949260019232
ACH-000190,-0.31468435206900003
ACH-000198,-0.287912975255
ACH-000204,-0.368616229292
ACH-000206,-0.14029769263800002
ACH-000207,-0.0368038319515
ACH-000211,-0.358382890612
ACH-000215,-0.39750369485299997
ACH-000221,-0.42503813398900003
ACH-000222,-0.353232689946
ACH-000223,-0.21228339116099998
ACH-000226,-0.41064570181500004
ACH-000227,-0.16837893664700002
ACH-000228,-0.36289897769100005
ACH-000231,-0.38620288278000003
ACH-000232,-0.405450174195
ACH-000233,-0.133835642658
ACH-000234,-0.268055385245
ACH-000235,-0.136608624432
ACH-000237,-0.40497164028099997
ACH-000238,-0.275892334876
ACH-000243,-0.136953840655
ACH-000244,-0.104827232735
ACH-000246,-0.105184864552
ACH-000248,-0.3405567786
ACH-000250,-0.262012906544
ACH-000251,-0.636206025159
ACH-000253,-0.380010305893
ACH-000255,-0.26511876010200003
ACH-000256,-0.0710489357601
ACH-000257,-0.28171401146499997
ACH-000258,-0.26494685248100003
ACH-000259,-0.16365557964400002
ACH-000260,-0.22773209116
ACH-000261,0.0444132747875
ACH-000262,-0.281322243439
ACH-000263,-0.26682185485599996
ACH-000264,-0.335873558808
ACH-000265,-0.48663226752300004
ACH-000266,-0.23728821881200002
ACH-000272,-0.413519237948
ACH-000273,-0.340161387719
ACH-000274,-0.245129886338
ACH-000277,-0.435685523498
ACH-000278,-0.247081224206
ACH-000279,-0.268299960376
ACH-000280,-0.178805995759
ACH-000281,-0.41919985958800005
ACH-000288,-0.236332044312
ACH-000291,-0.18909556751499998
ACH-000293,-0.414186200241
ACH-000294,-0.182127324912
ACH-000295,0.0574090396126
ACH-000296,-0.394976859331
ACH-000302,-0.277216812465
ACH-000304,-0.25336834894
ACH-000307,-0.356206765759
ACH-000308,-0.19202167264699999
ACH-000310,-0.313493379513
ACH-000311,-0.14409216493
ACH-000312,-0.09463860434839999
ACH-000315,0.0483321560436
ACH-000316,-0.51973877887
ACH-000317,-0.279848470654
ACH-000318,-0.387494686994
ACH-000319,-0.34319743503600003
ACH-000320,-0.254410015883
ACH-000322,-0.431723961479
ACH-000323,-0.324001955257
ACH-000324,-0.192349344716
ACH-000329,-0.37147464460900004
ACH-000330,-0.44302735681
ACH-000331,-0.38368112168799995
ACH-000332,-0.270108507514
ACH-000334,-0.0347815182072
ACH-000335,-0.42986207542099997
ACH-000336,-0.148571556644
ACH-000337,-0.437345275034
ACH-000339,-0.36661173358099997
ACH-000341,-0.383578317394
ACH-000348,-0.34658082794
ACH-000350,-0.524753917927
ACH-000352,-0.236158753312
ACH-000356,-0.0667954249198
ACH-000361,-0.507847015418
ACH-000362,-0.318214924236
ACH-000363,-0.160926213221
ACH-000364,-0.340819587835
ACH-000365,-0.279168654615
ACH-000366,-0.284121313403
ACH-000368,-0.45538394626100004
ACH-000374,-0.17056728220400003
ACH-000375,-0.0965158031552
ACH-000376,-0.231054805465
ACH-000381,-0.381217967723
ACH-000383,-0.340960679305
ACH-000387,-0.321309792996
ACH-000389,-0.416166690225
ACH-000390,-0.27126693329
ACH-000393,-0.288051366707
ACH-000395,-0.223864297641
ACH-000397,-0.424389498574
ACH-000401,-0.38572988971199995
ACH-000402,-0.466759424411
ACH-000403,-0.310603293806
ACH-000404,0.0536795571475
ACH-000406,-0.308116189721
ACH-000407,-0.32004169753199996
ACH-000408,-0.23841022845899998
ACH-000410,-0.23959702390999998
ACH-000411,-0.248498482925
ACH-000414,-0.151898645075
ACH-000415,-0.551888664372
ACH-000416,-0.370326523246
ACH-000420,-0.25015372099800004
ACH-000421,-0.200789216566
ACH-000424,-0.449730495567
ACH-000425,-0.45215737818499996
ACH-000426,-0.0852411599913
ACH-000427,-0.278870594278
ACH-000433,-0.38126972037199997
ACH-000436,-0.251375392787
ACH-000444,-0.284307691363
ACH-000445,-0.176042810687
ACH-000448,-0.267955715834
ACH-000450,-0.270618559078
ACH-000452,-0.24402052721700002
ACH-000454,-0.35914260119900004
ACH-000458,-0.40002836379699996
ACH-000459,-0.22979781781
ACH-000460,-0.240856005273
ACH-000461,-0.369957725964
ACH-000463,-0.426395532896
ACH-000464,-0.10419600732899999
ACH-000466,-0.33484632287300004
ACH-000467,-0.147853778359
ACH-000468,-0.47252438658999996
ACH-000469,-0.34607945003300006
ACH-000470,-0.28333126644
ACH-000471,-0.38299016851499995
ACH-000472,-0.175784022513
ACH-000473,-0.205237550706
ACH-000475,-0.290622638757
ACH-000476,-0.307421985858
ACH-000477,-0.301750637458
ACH-000480,-0.356579970407
ACH-000481,-0.399203561074
ACH-000483,-0.170915097861
ACH-000484,-0.022645885740900002
ACH-000485,-0.341834116596
ACH-000486,-0.180932313279
ACH-000487,-0.232554980751
ACH-000488,-0.23918919980999997
ACH-000490,-0.39846909822099996
ACH-000491,-0.348094537814
ACH-000495,-0.177348965999
ACH-000496,-0.351463565653
ACH-000499,-0.192869885897
ACH-000500,-0.476957562742
ACH-000502,-0.18710449306200003
ACH-000503,-0.43783011628799995
ACH-000505,-0.402127489349
ACH-000507,-0.327263850876
ACH-000510,-0.429514409476
ACH-000511,-0.34133435439300003
ACH-000512,-0.45633240192100005
ACH-000516,-0.194018058834
ACH-000517,-0.183434776327
ACH-000518,-0.35315238358499995
ACH-000520,-0.238750697178
ACH-000521,-0.226116090352
ACH-000522,-0.247055629996
ACH-000524,-0.301172454055
ACH-000527,-0.24934570534800002
ACH-000528,-0.30575698804
ACH-000537,-0.291952770809
ACH-000541,-0.805837312501
ACH-000542,-0.389259062499
ACH-000544,-0.414166537846
ACH-000545,-0.290738541264
ACH-000547,-0.473169822772
ACH-000548,-0.218723678983
ACH-000549,-0.57829504858
ACH-000550,-0.374357007732
ACH-000552,-0.512420136239
ACH-000556,-0.46241316894199996
