,PRM2 (5620)
ACH-000004,-0.06781425390580001
ACH-000007,0.06969265555769999
ACH-000009,0.0610119320694
ACH-000011,-0.296688477033
ACH-000012,-0.0607246826705
ACH-000013,-0.13473379241900002
ACH-000014,-0.06497323868919999
ACH-000015,-0.206454084349
ACH-000017,0.186282144303
ACH-000018,-0.0295155426137
ACH-000019,-0.0561271261834
ACH-000021,0.005893140550049999
ACH-000022,-0.11815421586
ACH-000025,-0.056322684662100005
ACH-000028,-0.143122682646
ACH-000030,0.11189241857200001
ACH-000035,-0.309579409169
ACH-000036,0.044403935624799995
ACH-000037,-0.09021923908679999
ACH-000039,-0.021764162328699998
ACH-000040,-0.195399531752
ACH-000041,0.00521592047692
ACH-000042,0.0886217565044
ACH-000045,-0.0569048144709
ACH-000047,-0.0149333558626
ACH-000052,-0.0012124983344
ACH-000053,0.07052006584960001
ACH-000054,0.022414818230499997
ACH-000055,-0.0826432124273
ACH-000060,0.19865811192000002
ACH-000067,-0.029190378503999997
ACH-000070,-0.37366796110399997
ACH-000075,0.0421977167599
ACH-000078,-0.00605466709423
ACH-000082,0.0268068687604
ACH-000085,-0.0517970957243
ACH-000086,0.0982571089659
ACH-000087,0.0891489589741
ACH-000092,0.0370692837917
ACH-000095,-0.048610199971900005
ACH-000097,-0.081056609239
ACH-000098,-0.20381172084899998
ACH-000099,0.038436595976699996
ACH-000108,0.0975410343919
ACH-000113,-0.0999529523131
ACH-000115,-0.020961561775499998
ACH-000116,-0.0479344946826
ACH-000118,-0.06647937334840001
ACH-000120,-0.105729616628
ACH-000123,-0.0529753154436
ACH-000127,-0.0842637805797
ACH-000128,-0.145031718896
ACH-000132,-0.0646859226681
ACH-000133,-0.126187187035
ACH-000137,-0.175111164692
ACH-000138,0.0187090415706
ACH-000142,-0.301552668169
ACH-000143,-0.011607733432
ACH-000146,-0.0900723767213
ACH-000148,-0.07798107265889999
ACH-000150,-0.216731392665
ACH-000152,-0.0120829808476
ACH-000153,0.0630878359699
ACH-000159,-0.248603917602
ACH-000160,0.0201989953313
ACH-000163,0.190150135699
ACH-000167,0.190126645892
ACH-000168,-0.00106077654712
ACH-000169,0.0566707614351
ACH-000178,-0.144423041836
ACH-000182,-0.261835810845
ACH-000183,-0.0177055974534
ACH-000188,-0.08182214541249999
ACH-000189,0.0783337854562
ACH-000190,0.17837680640200002
ACH-000198,-0.12148572699999999
ACH-000204,-0.146395787286
ACH-000206,-0.11923389556399999
ACH-000207,0.112742469176
ACH-000211,0.0785333166425
ACH-000215,-0.0106768089518
ACH-000221,-0.0410802948141
ACH-000222,-0.09607982006389999
ACH-000223,-0.0232755930475
ACH-000226,-0.0077703333139099995
ACH-000227,0.298277359422
ACH-000228,0.04511525735500001
ACH-000231,-0.0655859222278
ACH-000232,-0.058296269893
ACH-000233,-0.0606423017066
ACH-000234,0.0362295781496
ACH-000235,-0.022588626871599998
ACH-000237,-0.0499572470629
ACH-000238,0.0569057749199
ACH-000243,0.0652615184388
ACH-000244,-0.148403385903
ACH-000246,-0.0848631279464
ACH-000248,-0.0726657487428
