,COIL (8161)
ACH-000004,-0.28842764354899997
ACH-000007,-0.523702131659
ACH-000009,-0.47779692002999996
ACH-000011,-0.645555337804
ACH-000012,-0.35012798743600004
ACH-000013,-0.45978636582099996
ACH-000014,-0.14511986503799998
ACH-000015,-0.23585389764000003
ACH-000017,-0.373433949043
ACH-000018,-0.5247035301780001
ACH-000019,-0.983517280382
ACH-000021,-0.517940001142
ACH-000022,-0.402361408985
ACH-000025,-0.17824762098400002
ACH-000028,-0.740339812748
ACH-000030,-0.40548198905999994
ACH-000035,-0.36404912358099994
ACH-000036,-0.436583849739
ACH-000037,-0.623024567188
ACH-000039,-0.6263215573800001
ACH-000040,-0.44880626837399995
ACH-000041,-0.44653999341899997
ACH-000042,-0.502668779695
ACH-000045,-0.479459418099
ACH-000047,-0.5211931384749999
ACH-000052,-0.427325155999
ACH-000053,-0.21193721215199998
ACH-000054,-0.554911470611
ACH-000055,-0.524384319415
ACH-000060,-0.471078991992
ACH-000067,-0.564551876898
ACH-000070,-0.306114713891
ACH-000075,-0.270209677159
ACH-000078,-0.873322241212
ACH-000082,-0.286942837559
ACH-000085,-0.353013176348
ACH-000086,-0.24105099532299998
ACH-000087,-0.608073516853
ACH-000092,-0.39906072119
ACH-000095,-0.573411147991
ACH-000097,-0.48123425359099997
ACH-000098,-0.46638677323999994
ACH-000099,-0.559483084631
ACH-000108,-0.41480304986999994
ACH-000113,-0.409733767583
ACH-000115,-0.270550518747
ACH-000116,-0.668836655925
ACH-000118,-0.36961304281900004
ACH-000120,-0.42850212601300003
ACH-000123,-0.37433787899099996
ACH-000127,-0.420972680783
ACH-000128,-0.519506889943
ACH-000132,-0.192587649812
ACH-000133,-0.100655633873
ACH-000137,-0.104273568735
ACH-000138,-0.37795432534
ACH-000142,-0.7223942891480001
ACH-000143,-0.518869749485
ACH-000146,-0.29034810503
ACH-000148,-0.306412119677
ACH-000150,-0.527592490173
ACH-000152,-0.6727658438869999
ACH-000153,-0.29490579713599996
ACH-000159,-0.557871470368
ACH-000160,-0.279881386648
ACH-000163,-0.576477783292
ACH-000167,-0.10691445268500001
ACH-000168,-0.329620412881
ACH-000169,-0.22134974904399998
ACH-000178,-0.387689836058
ACH-000182,-0.46343340815300005
ACH-000183,-0.299216392341
ACH-000188,-0.5854665879100001
ACH-000189,-0.936341290937
ACH-000190,-0.31662650921999996
ACH-000198,-0.37667737938600004
ACH-000204,-0.367092352749
ACH-000206,-0.255113531968
ACH-000207,-0.173660438475
ACH-000211,-0.484638883119
ACH-000215,-0.38063061293000006
ACH-000221,-0.29377814068
ACH-000222,-0.45947376813999996
ACH-000223,-0.382130750129
ACH-000226,-0.368249002073
ACH-000227,-0.841272612195
ACH-000228,-0.245912077372
ACH-000231,-0.458405913143
ACH-000232,-0.344599758296
ACH-000233,-0.48936355712800006
ACH-000234,-0.499486522421
ACH-000235,-0.521180746046
ACH-000237,-0.52997072495
ACH-000238,-0.610778334555
ACH-000243,-0.667011484105
ACH-000244,-0.734557274118
ACH-000246,-0.574473531783
ACH-000248,-0.30588752861900004
ACH-000250,-0.41568683724399996
ACH-000251,-0.244889345088
ACH-000253,-0.550655804548
ACH-000255,-0.36652923859399994
ACH-000256,-0.49255676538300003
ACH-000257,-0.36829691002400006
ACH-000258,-0.144980674737
ACH-000259,-0.425074217256
ACH-000260,-0.541146602383
ACH-000261,-0.455113263748
ACH-000262,-0.7492520423000001
ACH-000263,-0.258400737141
ACH-000264,-0.499872335484
ACH-000265,-0.490855300489
ACH-000266,-0.473423082702
ACH-000272,-0.42094147479599997
ACH-000273,-0.6881928603380001
ACH-000274,-0.547814130255
ACH-000277,-0.5372933893249999
ACH-000278,-0.249413248035
ACH-000279,-0.475726681463
ACH-000280,-0.37669787085100004
ACH-000281,-0.18141807113699998
ACH-000288,-0.485165230711
ACH-000291,-0.303578048125
ACH-000293,-0.546140300573
ACH-000294,-0.531569990869
ACH-000295,-0.29180983227400004
ACH-000296,-0.603983256545
ACH-000302,-0.114852719464
ACH-000304,-0.403200610237
ACH-000307,-0.35120864124300005
ACH-000308,-0.589526755382
ACH-000310,-0.7524007390090001
ACH-000311,-0.28902747144900004
ACH-000312,-0.47694278202699997
ACH-000315,-0.437263736224
ACH-000316,-0.36285347043899996
ACH-000317,-0.301066973003
ACH-000318,-0.361874313066
ACH-000319,-0.406251591084
ACH-000320,-0.0783901273511
ACH-000322,-0.5830865717539999
ACH-000323,-0.515214983024
ACH-000324,-0.599768195798
ACH-000329,-0.728768728221
ACH-000330,-0.547761042486
ACH-000331,-0.60173566251
ACH-000332,-0.490367984142
ACH-000334,-0.6314451169349999
ACH-000335,-0.340823659638
ACH-000336,-0.340580901241
ACH-000337,-0.5093377632630001
ACH-000339,-0.48194658453999994
ACH-000341,-0.0830014450481
ACH-000348,-0.24459401780099999
ACH-000350,-0.506750433878
ACH-000352,-0.540296601905
ACH-000356,-0.481046017486
ACH-000361,-0.5455359349960001
ACH-000362,-0.392322493005
ACH-000363,-0.371111018457
ACH-000364,-0.556652049777
ACH-000365,-0.49809694586099995
ACH-000366,-0.385060029064
ACH-000368,-0.36245021853
ACH-000374,-0.295508353431
ACH-000375,-0.46116495159599996
ACH-000376,-0.30699227938
ACH-000381,-0.30374716474
ACH-000383,-0.191849535523
ACH-000387,-0.298603310335
ACH-000389,-0.668947374513
ACH-000390,-0.28490124565999997
ACH-000393,-0.232745083606
ACH-000395,-0.326526916179
ACH-000397,-0.6915251968389999
ACH-000401,-0.45268335769699997
ACH-000402,-0.559203573998
ACH-000403,-0.628141464555
ACH-000404,-0.303795742346
ACH-000406,-0.23801748847800003
ACH-000407,-0.28438739266699997
ACH-000408,-0.39830821350999995
ACH-000410,-0.456897542082
ACH-000411,-0.471297979412
ACH-000414,-0.508794190132
ACH-000415,-0.47802895526100003
ACH-000416,-0.43575980969899997
ACH-000420,-0.23103120519900003
ACH-000421,-0.31711992192
ACH-000424,-0.655689197079
ACH-000425,-0.45237444305200003
ACH-000426,-0.056873664827100004
ACH-000427,-0.6755107559710001
ACH-000433,-0.486509444696
ACH-000436,-0.0664750353916
ACH-000444,-0.340526827176
ACH-000445,-0.49300456688
ACH-000448,-0.270628415344
ACH-000450,-0.581838662723
ACH-000452,-0.324779599198
ACH-000454,-0.309501558862
ACH-000458,-0.252387428019
ACH-000459,-0.430186550981
ACH-000460,-0.339966224913
ACH-000461,-0.6003675022680001
ACH-000463,-0.49196888509400005
ACH-000464,-0.403609363899
ACH-000466,-0.3089869849
ACH-000467,-0.396861056367
ACH-000468,-0.292842285567
ACH-000469,-0.267443466684
ACH-000470,-0.652503331673
ACH-000471,-0.881690493659
ACH-000472,-0.609421299002
ACH-000473,-0.364838782861
ACH-000475,-0.387511232967
ACH-000476,-0.325814748288
ACH-000477,-0.428525466166
ACH-000480,-0.478665393771
ACH-000481,-0.5503184988300001
ACH-000483,-0.228991859092
ACH-000484,-0.268780806741
ACH-000485,-0.709127236552
ACH-000486,-0.423428203093
ACH-000487,-0.451589268577
ACH-000488,-0.33850216460199994
ACH-000490,-0.223688239076
ACH-000491,-0.586736852557
ACH-000495,-0.41484796496200005
ACH-000496,-0.189862424265
ACH-000499,-0.306276253537
ACH-000500,-0.492829521202
ACH-000502,-0.568962521716
ACH-000503,-0.307779163019
ACH-000505,-0.432004931812
ACH-000507,-0.560070804181
ACH-000510,-0.38266263475199996
ACH-000511,-0.365542397072
ACH-000512,-0.20613085318
ACH-000516,-0.454628122866
ACH-000517,-0.398756278453
ACH-000518,-0.411677811845
ACH-000520,-0.21262206227400002
ACH-000521,-0.32741635316
ACH-000522,-0.277609950682
ACH-000524,-0.43893903227799996
ACH-000527,-0.5033385995530001
ACH-000528,-0.462962092308
ACH-000537,-0.519957516527
ACH-000541,0.10393577742799999
ACH-000542,-0.310071180412
ACH-000544,-0.6300214460679999
ACH-000545,-0.39251923663000005
ACH-000547,-0.08735713683560001
ACH-000548,-0.548700876925
ACH-000549,-0.641089148156
ACH-000550,-0.36910967606600004
ACH-000552,-0.38969049201300004
ACH-000556,-0.439085000022
ACH-000557,-0.171642390515
ACH-000570,-0.638943300441
ACH-000571,-0.44070736375299996
ACH-000573,-0.49614532241099996
ACH-000576,-0.5263809394460001
ACH-000580,-0.512367404884
ACH-000584,-0.329038009386
ACH-000585,-0.183592453223
ACH-000588,-0.497393307619
ACH-000589,-0.39489580385300005
ACH-000591,-0.138288203468
ACH-000593,-0.467833599687
ACH-000600,-0.6054139205899999
ACH-000601,-0.552626229608
ACH-000604,-0.35871298962399994
ACH-000605,-0.22337442343400002
ACH-000606,-0.360567856083
ACH-000608,-0.47518692251
ACH-000614,-0.33483797171199997
ACH-000616,-0.55806967152
ACH-000618,-0.37152947391
ACH-000619,-0.396569077746
ACH-000620,-0.232030882779
ACH-000621,-0.31477743446600004
ACH-000622,-0.636331351934
ACH-000623,-0.490121435716
ACH-000624,-0.468707621801
ACH-000627,-0.312930458391
ACH-000630,-0.550944550856
ACH-000632,-0.0952836768658
ACH-000633,-0.738933167291
ACH-000637,-0.333210919607
ACH-000638,-0.601109184485
ACH-000646,-0.032342527384
ACH-000647,-0.477247149794
ACH-000648,-0.425647019693
ACH-000649,-0.44634296769599996
ACH-000651,-0.283961950471
ACH-000652,-0.0991055806406
ACH-000653,-0.317008595357
ACH-000657,-0.36589776515199995
ACH-000658,-0.5132455889109999
ACH-000661,-0.349140038388
ACH-000662,-0.54444422885
ACH-000663,-0.367260177615
ACH-000665,-0.359865679423
ACH-000671,-0.34565417979099994
ACH-000673,-0.815527861884
ACH-000676,-0.532760006009
ACH-000677,-0.241851399863
ACH-000681,-0.327617162986
ACH-000682,-0.34921363403300004
ACH-000683,-0.306609557603
ACH-000684,-0.441708353052
ACH-000688,-0.33854337257
ACH-000693,-0.200303602768
ACH-000694,-0.323288471378
ACH-000695,-0.43351232794399996
ACH-000696,-0.517193173507
ACH-000697,-0.129009496565
ACH-000699,-0.459476084223
ACH-000701,-0.44932258172399997
ACH-000706,-0.34911341158799997
ACH-000711,-0.41236227222800004
ACH-000713,-0.302792963239
ACH-000714,-0.345771409356
ACH-000718,-0.581908991801
ACH-000720,-0.44843818560000004
ACH-000721,-0.346226511118
ACH-000724,-0.48822698903300005
ACH-000725,-0.15881207371300002
ACH-000732,-0.35610642433600004
ACH-000734,-0.12602272927799998
ACH-000735,-0.34936888683300005
ACH-000736,-0.498030260684
ACH-000738,-0.5538719965600001
ACH-000746,-0.13700001974099998
ACH-000747,0.154815626486
ACH-000748,-0.338119593765
ACH-000753,-0.498360170206
ACH-000756,-0.307665049491
ACH-000757,-0.22201229293299998
ACH-000758,-0.216405710899
ACH-000760,-0.34997073839000004
ACH-000763,-0.42053226525
ACH-000764,-0.383157457656
ACH-000765,-0.31921772424899997
ACH-000766,-0.5364977922990001
ACH-000767,-0.5458633251489999
ACH-000768,-0.625319340632
ACH-000769,-0.507242985985
ACH-000770,-0.43566442361999996
ACH-000771,-0.491311979028
ACH-000773,-0.206103820458
ACH-000776,-0.195583047512
ACH-000777,-0.40160690032799995
ACH-000778,-0.409725592545
ACH-000781,-0.39495977303
ACH-000782,-0.179778161109
ACH-000783,-0.478168940557
ACH-000784,-0.303123705882
ACH-000785,-0.368824075978
ACH-000787,-0.212702633527
ACH-000788,-0.45214004089599996
ACH-000791,-0.484209302824
ACH-000792,-0.47761445336999997
ACH-000794,-0.429997004386
ACH-000796,-0.585735885987
ACH-000799,-0.42277338553599997
ACH-000800,-0.18914700721
ACH-000802,-0.107728852367
ACH-000804,-0.5971860710670001
ACH-000805,-0.498907889564
ACH-000809,-0.479360796175
ACH-000810,-0.837875860502
ACH-000811,-0.5635666200330001
ACH-000817,-0.6787287466699999
ACH-000819,-0.332504739225
ACH-000820,-0.16982823574499997
ACH-000821,-0.08132193003310001
ACH-000822,-0.718711293193
ACH-000823,-0.49843673916299996
ACH-000824,-0.329792863008
ACH-000827,-0.38643981734
ACH-000829,-0.236090418419
ACH-000831,-0.272147085093
ACH-000832,-0.44618004677100004
ACH-000833,-0.32368958721700003
