,FOSB (2354)
ACH-000004,-0.112649090756
ACH-000007,-0.3284692566
ACH-000009,-0.14543143000800002
ACH-000011,-0.31357478141600004
ACH-000012,-0.24071081598400001
ACH-000013,-0.391341968599
ACH-000014,-0.0809411610455
ACH-000015,-0.229846502714
ACH-000017,0.08914100538360002
ACH-000018,-0.149866003501
ACH-000019,-0.236478933326
ACH-000021,-0.33228336998
ACH-000022,-0.216062531266
ACH-000025,-0.0620593443324
ACH-000028,-0.280711000693
ACH-000030,-0.33128631591200003
ACH-000035,-0.333497321894
ACH-000036,-0.27127493852699996
ACH-000037,-0.295558105701
ACH-000039,-0.2211145187
ACH-000040,-0.362557207429
ACH-000041,-0.295299283084
ACH-000042,-0.24030056682599998
ACH-000045,-0.33152827059
ACH-000047,-0.181301113565
ACH-000052,-0.27099618367199996
ACH-000053,-0.417726430428
ACH-000054,-0.317624842065
ACH-000055,-0.0290062602678
ACH-000060,-0.15985160298599999
ACH-000067,-0.207292950287
ACH-000070,-0.252475817562
ACH-000075,-0.502414128462
ACH-000078,-0.14911958968900002
ACH-000082,-0.25686667974
ACH-000085,-0.261040685183
ACH-000086,-0.185109877917
ACH-000087,-0.344995252882
ACH-000092,-0.266513691807
ACH-000095,-0.257955923912
ACH-000097,-0.33714704087499997
ACH-000098,-0.27617886310199996
ACH-000099,-0.17962171120099998
ACH-000108,-0.36529690208099996
ACH-000113,-0.23006286909499998
ACH-000115,-0.21401666717
ACH-000116,-0.15686493773600002
ACH-000118,-0.247237114853
ACH-000120,-0.0946296970638
ACH-000123,-0.0920288963821
ACH-000127,-0.30684767039599997
ACH-000128,-0.22085608329700002
ACH-000132,-0.173629762504
ACH-000133,-0.362259229419
ACH-000137,-0.40430969693999996
ACH-000138,-0.24214876567200003
ACH-000142,-0.25665499895599997
ACH-000143,-0.140322335194
ACH-000146,-0.21713919733800002
ACH-000148,-0.36907798127700003
ACH-000150,-0.22919156609000002
ACH-000152,-0.331767391553
ACH-000153,-0.553008273138
ACH-000159,-0.161887371981
ACH-000160,-0.35336721959399997
ACH-000163,-0.334455614174
ACH-000167,-0.120044023299
ACH-000168,-0.242432882428
ACH-000169,-0.144777188073
ACH-000178,-0.186104920805
ACH-000182,-0.22864115354000003
ACH-000183,-0.228333059769
ACH-000188,-0.34472862921499997
ACH-000189,0.0498314928588
ACH-000190,-0.012964149707200001
ACH-000198,-0.148096492313
ACH-000204,-0.266658806972
ACH-000206,0.0350525924784
ACH-000207,-0.40821597261200004
ACH-000211,-0.186549054429
ACH-000215,-0.288764304493
ACH-000221,-0.41083042676299997
ACH-000222,-0.38885004654399996
ACH-000223,-0.187874265449
ACH-000226,-0.30308916478500003
ACH-000227,-0.272194164244
ACH-000228,-0.197879248039
ACH-000231,-0.188938237003
ACH-000232,-0.186958940757
ACH-000233,-0.301085763407
ACH-000234,-0.154668225927
ACH-000235,-0.234773612464
ACH-000237,-0.260622774338
ACH-000238,-0.215459335517
ACH-000243,-0.215841003154
ACH-000244,-0.298402644755
ACH-000246,-0.28443835545699997
ACH-000248,-0.10702405197499999
ACH-000250,-0.24387565600400002
ACH-000251,-0.521128216582
ACH-000253,-0.392609413968
ACH-000255,-0.276891315401
ACH-000256,-0.305541052503
ACH-000257,-0.506450402992
ACH-000258,0.005089231712479999
ACH-000259,-0.19709532574900002
