,HMGA1 (3159)
ACH-000004,-0.907523851675
ACH-000007,-0.71501847111
ACH-000009,-0.509772387274
ACH-000011,-0.46275551026600004
ACH-000012,-0.55355122551
ACH-000013,-0.609851348666
ACH-000014,-0.830083061364
ACH-000015,-0.510524321358
ACH-000017,-0.509819676141
ACH-000018,-0.630137952779
ACH-000019,-0.183122992893
ACH-000021,-0.647101918516
ACH-000022,-0.582877224094
ACH-000025,-0.9673570914309999
ACH-000028,-0.399550396023
ACH-000030,-0.423641590715
ACH-000035,-0.780742112207
ACH-000036,-0.505869362148
ACH-000037,-0.809634739516
ACH-000039,-0.69699676126
ACH-000040,-0.6869102259280001
ACH-000041,-0.525353557822
ACH-000042,-0.646802570395
ACH-000045,-0.585604222702
ACH-000047,-0.5850838161199999
ACH-000052,-0.687040345618
ACH-000053,-0.304382161841
ACH-000054,-0.568779924656
ACH-000055,-0.729057743494
ACH-000060,-0.79630310355
ACH-000067,-0.707733515765
ACH-000070,-0.7183831895430001
ACH-000075,-0.501630524627
ACH-000078,-0.758443186693
ACH-000082,-0.48838717281599997
ACH-000085,-0.631631066572
ACH-000086,-0.803345756963
ACH-000087,-0.824289701224
ACH-000092,-0.6818982930069999
ACH-000095,-0.6615245146100001
ACH-000097,-0.404539001569
ACH-000098,-0.513707293539
ACH-000099,-0.543515689156
ACH-000108,-0.489299524662
ACH-000113,-0.607038129376
ACH-000115,-0.9323719713070001
ACH-000116,-0.447029801829
ACH-000118,-0.625260427087
ACH-000120,-0.706032557057
ACH-000123,-0.556088961708
ACH-000127,-0.721667140785
ACH-000128,-0.687935994066
ACH-000132,-0.812520648584
ACH-000133,-0.670813033746
ACH-000137,-0.495297221663
ACH-000138,-0.569967957933
ACH-000142,-0.689128019656
ACH-000143,-0.8930384553759999
ACH-000146,-0.452946160303
ACH-000148,-0.6318796982880001
ACH-000150,-0.686545726192
ACH-000152,-0.698868630702
ACH-000153,-0.640655637203
ACH-000159,-0.804617470084
ACH-000160,-0.365246847913
ACH-000163,-0.548421096406
ACH-000167,-0.24904119813099998
ACH-000168,-0.671071074657
ACH-000169,-0.7273102388220001
ACH-000178,-0.596382236736
ACH-000182,-0.47774581326300003
ACH-000183,-0.902068219475
ACH-000188,-0.588271209581
ACH-000189,-0.5667694034130001
ACH-000190,-0.254194635275
ACH-000198,-0.555426371167
ACH-000204,-0.569328714981
ACH-000206,-0.422730851909
ACH-000207,-0.530096018564
ACH-000211,-0.626561430805
ACH-000215,-0.66661190477
ACH-000221,-0.526678829864
ACH-000222,-0.577607914147
ACH-000223,-0.7075562960189999
ACH-000226,-0.596290523539
ACH-000227,-0.7738400164749999
ACH-000228,-0.895007284435
ACH-000231,-0.544036985188
ACH-000232,-0.693475229261
ACH-000233,-0.648018519986
ACH-000234,-0.579585956658
ACH-000235,-0.596410668867
ACH-000237,-0.588486274164
ACH-000238,-0.497738319837
ACH-000243,-0.241888842071
ACH-000244,-0.514317631921
ACH-000246,-0.713660746841
