,RNGTT (8732)
ACH-000004,-1.7606238640599998
ACH-000007,-2.04810266251
ACH-000009,-1.7525688822799999
ACH-000011,-1.7993789919099998
ACH-000012,-1.56483082502
ACH-000013,-1.9065583019
ACH-000014,-1.9687897971400001
ACH-000015,-1.84533197542
ACH-000017,-1.7735136771400002
ACH-000018,-1.57725262226
ACH-000019,-2.16073779385
ACH-000021,-1.5788433028400002
ACH-000022,-1.95652623335
ACH-000025,-1.7939037929799997
ACH-000028,-1.6604533997
ACH-000030,-1.8820698227300001
ACH-000035,-1.7333805982700001
ACH-000036,-1.73690105852
ACH-000037,-2.3541873479
ACH-000039,-1.8554592719
ACH-000040,-1.54102273554
ACH-000041,-1.83033401532
ACH-000042,-1.93391192015
ACH-000045,-1.9376305252000001
ACH-000047,-1.7171090401
ACH-000052,-1.6632745240200002
ACH-000053,-1.8225723392299997
ACH-000054,-1.78674963626
ACH-000055,-1.91852013509
ACH-000060,-2.0335455712400003
ACH-000067,-1.46551806398
ACH-000070,-2.0385225780200003
ACH-000075,-1.39686214229
ACH-000078,-1.7884772339500001
ACH-000082,-2.19595355031
ACH-000085,-1.63891765837
ACH-000086,-1.67832564106
ACH-000087,-1.9278205399200001
ACH-000092,-1.67589629479
ACH-000095,-1.9264844403499999
ACH-000097,-1.93440020645
ACH-000098,-1.6434122786899998
ACH-000099,-1.7199619488299998
ACH-000108,-1.6112893046399999
ACH-000113,-1.83596102935
ACH-000115,-2.01597058095
ACH-000116,-1.8232620799300001
ACH-000118,-1.6262757387600002
ACH-000120,-1.7915751936500002
ACH-000123,-1.96504424353
ACH-000127,-1.9855801026299997
ACH-000128,-1.65119844134
ACH-000132,-1.6379560291100002
ACH-000133,-1.62908482511
ACH-000137,-1.7228909657599998
ACH-000138,-1.8686912599599999
ACH-000142,-1.54882086188
ACH-000143,-1.7788961335799998
ACH-000146,-2.0412531904
ACH-000148,-1.93025856979
ACH-000150,-1.6365760419
ACH-000152,-1.6802390638100002
ACH-000153,-1.53852219303
ACH-000159,-1.88894253746
ACH-000160,-1.85194594509
ACH-000163,-1.80154201949
ACH-000167,-1.9218482839700002
ACH-000168,-1.78289864617
ACH-000169,-1.57105035627
ACH-000178,-1.8441360227
ACH-000182,-1.82657951785
ACH-000183,-2.07126894099
ACH-000188,-1.75971589477
ACH-000189,-1.93920343413
ACH-000190,-1.5648353975799998
ACH-000198,-1.8218842604499998
ACH-000204,-1.42541278512
ACH-000206,-2.03867056294
ACH-000207,-2.13755768719
ACH-000211,-1.6347689927000002
ACH-000215,-1.65319175903
ACH-000221,-1.8035502024
ACH-000222,-1.96511601223
ACH-000223,-1.84564013465
ACH-000226,-1.74557642853
ACH-000227,-1.57002377409
ACH-000228,-1.63892276947
ACH-000231,-1.6569355114500002
ACH-000232,-1.8718563344799999
ACH-000233,-1.87454470583
ACH-000234,-1.64804921895
ACH-000235,-1.7208604928599998
ACH-000237,-1.6624413412
ACH-000238,-1.6174092525200001
ACH-000243,-1.7268328281599998
ACH-000244,-1.6059074904600001
ACH-000246,-1.6151201925
ACH-000248,-1.42053221085
ACH-000250,-1.7412509802900002
ACH-000251,-1.7514715602000002
ACH-000253,-1.94345312238
ACH-000255,-1.4788712576299998
ACH-000256,-1.92902894753
ACH-000257,-1.66827882516
ACH-000258,-2.06720536687
ACH-000259,-1.90929854398
ACH-000260,-1.8237350509799999
ACH-000261,-1.7865609517099998
ACH-000262,-2.08125893781
ACH-000263,-2.2463757198
ACH-000264,-1.8765287093
ACH-000265,-1.9075729855799999
ACH-000266,-1.7920282491400001
ACH-000272,-1.69927010063
ACH-000273,-1.51230463387
ACH-000274,-2.11762572167
ACH-000277,-1.73042932185
ACH-000278,-1.6877113028900002
ACH-000279,-1.68096754921
ACH-000280,-1.78891961409
ACH-000281,-1.6566351259999998
ACH-000288,-1.7010198161399999
ACH-000291,-1.7477938416099998
ACH-000293,-1.5058867887600003
ACH-000294,-1.95740065871
ACH-000295,-1.60526524271
ACH-000296,-1.7668504705799999
ACH-000302,-1.94856037745
ACH-000304,-2.36104046924
ACH-000307,-1.7004139004899999
ACH-000308,-1.95926021245
ACH-000310,-1.67088952245
ACH-000311,-1.8054830878
ACH-000312,-1.70363544722
ACH-000315,-1.37585820951
ACH-000316,-1.7026143174500001
ACH-000317,-1.73001662268
ACH-000318,-1.7881725935
ACH-000319,-1.7045497839200001
ACH-000320,-1.90242668381
ACH-000322,-1.7389631181099998
ACH-000323,-1.8035720779099997
ACH-000324,-1.6116623385100002
ACH-000329,-1.8907857173400002
