,CHRFAM7A (89832)
ACH-000004,0.020536935427
ACH-000007,0.304203468616
ACH-000009,-0.193105058246
ACH-000011,0.049560258809900004
ACH-000012,0.18841175216699999
ACH-000013,0.12864008962
ACH-000014,0.068389352795
ACH-000015,0.100181123903
ACH-000017,0.036854178445599996
ACH-000018,0.275147181728
ACH-000019,0.140296435843
ACH-000021,-0.027010669427099995
ACH-000022,0.08428585820139999
ACH-000025,0.126196880423
ACH-000028,0.140835980153
ACH-000030,0.153292392073
ACH-000035,0.226640703218
ACH-000036,0.179896600167
ACH-000037,-0.00777088431497
ACH-000039,0.256985802403
ACH-000040,0.20230504452700002
ACH-000041,0.09421148295050001
ACH-000042,0.0807355794278
ACH-000045,0.22055072068000003
ACH-000047,0.035711678518500004
ACH-000052,0.0350660698409
ACH-000053,-0.009936806857719999
ACH-000054,0.132754714965
ACH-000055,0.185758944317
ACH-000060,0.148548735568
ACH-000067,0.18870784867100002
ACH-000070,0.00504908399558
ACH-000075,0.1000287159
ACH-000078,0.225800849822
ACH-000082,0.09618293467589999
ACH-000085,0.10055848951199998
ACH-000086,-0.066102601028
ACH-000087,0.180235436734
ACH-000092,0.160983528718
ACH-000095,0.0438531653657
ACH-000097,0.0142063083446
ACH-000098,0.197647292045
ACH-000099,0.162421810971
ACH-000108,-0.190000882086
ACH-000113,0.0529778752771
ACH-000115,-0.032544736451
ACH-000116,0.14601851894200002
ACH-000118,-0.0008345250360179999
ACH-000120,0.0502011824355
ACH-000123,0.124915050744
ACH-000127,0.10340645865800001
ACH-000128,0.188722089453
ACH-000132,0.004699431923220001
ACH-000133,0.11434917801
ACH-000137,-0.007054567650390001
ACH-000138,0.130762086212
ACH-000142,0.0228986013368
ACH-000143,0.16853860874499998
ACH-000146,0.226661019307
ACH-000148,0.00179203452994
ACH-000150,0.150508166129
ACH-000152,0.110178689158
ACH-000153,-0.00921171033702
ACH-000159,0.0140854761248
ACH-000160,-0.12657352392500001
ACH-000163,0.36359390534
ACH-000167,0.166926934966
ACH-000168,0.176216034943
ACH-000169,0.0755783404759
ACH-000178,0.059200540877
ACH-000182,0.195165414684
ACH-000183,0.128668100266
ACH-000188,0.0706117289035
ACH-000189,0.191020600249
ACH-000190,0.0333810406159
ACH-000198,0.0595986644986
ACH-000204,-0.12927954452999998
ACH-000206,0.181572468904
ACH-000207,0.125535642827
ACH-000211,0.159004322291
ACH-000215,0.200819056208
ACH-000221,-0.0436626668554
ACH-000222,-0.139054247844
ACH-000223,0.10180051497300001
ACH-000226,-0.0110093829668
ACH-000227,0.154721103197
ACH-000228,0.219983513157
ACH-000231,0.0635631571945
ACH-000232,0.21679807917399999
ACH-000233,-0.157150992988
ACH-000234,0.16849892888700002
ACH-000235,0.0646579298091
ACH-000237,0.06280801957769999
ACH-000238,0.0899467857154
ACH-000243,-0.07887929701280001
ACH-000244,0.102075046478
ACH-000246,0.211958557665
ACH-000248,0.197174512099
ACH-000250,0.13041557865199999
ACH-000251,0.0359755940558
ACH-000253,0.262598354091
ACH-000255,0.27552825632100003
ACH-000256,0.037936952015599996
ACH-000257,0.296260922737
ACH-000258,0.0182628678746
ACH-000259,0.18549155372099999
ACH-000260,0.0691535473165
ACH-000261,0.0466656132613
ACH-000262,0.197966387923
ACH-000263,0.10661637948
ACH-000264,0.217146535255
ACH-000265,-0.20117914763300002
