,MYO1D (4642)
ACH-000004,-0.326754027192
ACH-000007,-0.252773128291
ACH-000009,-0.206970268351
ACH-000011,-0.07677612240189999
ACH-000012,-0.124979635331
ACH-000013,-0.09291614991260001
ACH-000014,-0.110200484433
ACH-000015,-0.0853574731848
ACH-000017,-0.017164009083
ACH-000018,-0.370377448689
ACH-000019,-0.028213931088400004
ACH-000021,-0.138846652831
ACH-000022,-0.0380544922364
ACH-000025,-0.11114209217700001
ACH-000028,-0.131777472774
ACH-000030,-0.197474767627
ACH-000035,-0.158647667395
ACH-000036,-0.402283746353
ACH-000037,-0.131152626529
ACH-000039,-0.391380742205
ACH-000040,-0.170757067227
ACH-000041,-0.19469776116700002
ACH-000042,-0.125163964377
ACH-000045,-0.030124129314000003
ACH-000047,-0.0650958636383
ACH-000052,-0.27385678496
ACH-000053,-0.19833782941300002
ACH-000054,-0.07606276573950001
ACH-000055,0.211323398948
ACH-000060,-0.0796710429154
ACH-000067,-0.259794661698
ACH-000070,0.120087990023
ACH-000075,0.102630604745
ACH-000078,-0.0423927431972
ACH-000082,-0.0383342590117
ACH-000085,0.163362246151
ACH-000086,-0.20281866933899997
ACH-000087,-0.17094728423099997
ACH-000092,-0.0902445802644
ACH-000095,-0.356752273918
ACH-000097,-0.20272472267299999
ACH-000098,-0.131835943872
ACH-000099,-0.10040190781
ACH-000108,-0.05338068650140001
ACH-000113,-0.09999733675830001
ACH-000115,-0.392437867338
ACH-000116,-0.0694577882518
ACH-000118,-0.072784608611
ACH-000120,-0.176250660944
ACH-000123,-0.26770465467599996
ACH-000127,-0.08655174131650001
ACH-000128,-0.0978118498137
ACH-000132,-0.18773211420299998
ACH-000133,-0.07741827294430001
ACH-000137,0.006098006001
ACH-000138,-0.051814415226800005
ACH-000142,-0.0895015559
ACH-000143,-0.160782328897
ACH-000146,-0.23527464562699998
ACH-000148,-0.33719243959399997
ACH-000150,-0.0575130866964
ACH-000152,-0.158458171708
ACH-000153,0.127165702807
ACH-000159,-0.145715389315
ACH-000160,-0.13254990363500002
ACH-000163,0.06905501043
ACH-000167,-0.322527067612
ACH-000168,0.109231012705
ACH-000169,-0.17601478889699998
ACH-000178,-0.194746027898
ACH-000182,-0.0223379042749
ACH-000183,-0.136072613852
ACH-000188,-0.404835873784
ACH-000189,0.056973053719899996
ACH-000190,-0.38884987658799997
ACH-000198,-0.134895641263
ACH-000204,-0.278471389886
ACH-000206,0.0269260281919
ACH-000207,-0.02555546245
ACH-000211,-0.329260210925
ACH-000215,-0.287267604929
ACH-000221,-0.21765588296399999
ACH-000222,-0.131788030944
ACH-000223,-0.189593522954
ACH-000226,-0.10706602339400001
ACH-000227,-0.557204132356
ACH-000228,-0.177918026058
ACH-000231,-0.15535847366299999
ACH-000232,-0.134843823979
ACH-000233,-0.12431698060799999
ACH-000234,-0.0932796040478
ACH-000235,-0.255576430709
ACH-000237,-0.131372881699
ACH-000238,-0.264776395334
ACH-000243,-0.231573056062
ACH-000244,-0.378237301363
ACH-000246,-0.16388296265799998
ACH-000248,-0.10195839027699999
ACH-000250,-0.243579134934
ACH-000251,-0.249548329381
ACH-000253,-0.260600006745
ACH-000255,-0.331526496988
ACH-000256,-0.200246488039
ACH-000257,-0.104960130511
ACH-000258,0.013117199954999999
ACH-000259,-0.17108285758000003
ACH-000260,-0.172724519648
ACH-000261,-0.08474362702980001
ACH-000262,-0.108830914134
ACH-000263,-0.210919011391
ACH-000264,-0.169279580065
ACH-000265,-0.110488906757
ACH-000266,-0.180234144457
ACH-000272,-0.271335552794
ACH-000273,-0.14493301885
ACH-000274,-0.251885994613
ACH-000277,-0.044198774199299996
ACH-000278,-0.155056546413
ACH-000279,-0.145291317986
ACH-000280,0.104847914167
ACH-000281,-0.147331385746
ACH-000288,-0.240409153046
ACH-000291,-0.159596135294
ACH-000293,-0.0250288996282
ACH-000294,-0.223221295341
ACH-000295,-0.165490719217
ACH-000296,-0.21886434431
ACH-000302,-0.145414009594
ACH-000304,0.16645352043
ACH-000307,-0.09189730804839999
ACH-000308,-0.08670644639010001
ACH-000310,-0.444213130711
ACH-000311,-0.225561816765
ACH-000312,-0.160734426154
ACH-000315,0.11384751307600001
ACH-000316,-0.185030536983
ACH-000317,-0.107960735876
ACH-000318,-0.121571928269
ACH-000319,-0.130288104836
ACH-000320,-0.283399271543
ACH-000322,-0.0063996307127499995
ACH-000323,-0.185542853279
ACH-000324,-0.36381543494699997
ACH-000329,-0.162166117942
ACH-000330,-0.587422110109
ACH-000331,-0.120386235111
ACH-000332,-0.17657934277100001
ACH-000334,-0.204699537991
ACH-000335,-0.33986476088600004
ACH-000336,-0.265488063856
ACH-000337,-0.7203217178560001
ACH-000339,-0.258125617137
ACH-000341,-0.098407968512
ACH-000348,-0.24377926442899997
ACH-000350,-0.304756013032
ACH-000352,-0.137228690422
ACH-000356,-0.274077133666
ACH-000361,-0.0970380671085
ACH-000362,-0.151955936873
ACH-000363,-0.196993372601
ACH-000364,-0.0366906142739
ACH-000365,-0.258550693032
ACH-000366,-0.16560822636800002
ACH-000368,0.149276216441
ACH-000374,-0.133445686683
ACH-000375,-0.0415778248819
ACH-000376,-0.0519232348032
ACH-000381,-0.0217402423032
ACH-000383,-0.247161632368
ACH-000387,-0.324228707337
ACH-000389,-0.0725336780962
ACH-000390,-0.201796840055
ACH-000393,-0.114186074757
ACH-000395,-0.044244154971
ACH-000397,-0.133309730055
ACH-000401,-0.169572221912
ACH-000402,0.062758281179
ACH-000403,-0.25261882176600003
ACH-000404,-0.125827110453
ACH-000406,-0.102717880878
ACH-000407,-0.154478982113
ACH-000408,0.0869944961585
ACH-000410,-0.34263497244
ACH-000411,-0.17415321993500002
ACH-000414,-0.0989974084365
ACH-000415,-0.21159845113200001
ACH-000416,-0.155827925255
ACH-000420,-0.355138542966
ACH-000421,-0.14211733709000002
ACH-000424,-0.0911922539952
ACH-000425,-0.270532803057
ACH-000426,-0.13966477362
ACH-000427,-0.168591338739
ACH-000433,-0.149586193948
ACH-000436,-0.308643024843
ACH-000444,-0.08034938504360001
ACH-000445,-0.237602364089
ACH-000448,-0.09064356125739999
ACH-000450,-0.014444946332399998
ACH-000452,-0.130791720407
ACH-000454,0.06868666075180001
ACH-000458,-0.10446047807
ACH-000459,0.0286529118022
ACH-000460,-0.022844611990400002
ACH-000461,-0.00115842034274
ACH-000463,-0.0295328885574
ACH-000464,-0.10935611995200001
ACH-000466,-0.0317289773734
ACH-000467,-0.0722181409799
ACH-000468,-0.189536537229
ACH-000469,-0.14270859284600002
ACH-000470,-0.105497668763
ACH-000471,-0.26960374590799996
ACH-000472,-0.295276703038
ACH-000473,-0.17503750561200002
ACH-000475,-0.137321045198
ACH-000476,-0.107440432685
ACH-000477,-0.162200143302
ACH-000480,-0.131502476201
ACH-000481,-0.287094497826
ACH-000483,-0.12741312542400002
ACH-000484,-0.264783014378
ACH-000485,-0.151570972539
ACH-000486,-0.13584911994999999
ACH-000487,0.00872216133148
ACH-000488,-0.25909402183200003
ACH-000490,-0.08300808678989999
ACH-000491,-0.160004741916
ACH-000495,-0.19863797436900002
ACH-000496,-0.0810622478003
ACH-000499,-0.0907805004789
ACH-000500,-0.0215956417618
ACH-000502,-0.330445017684
ACH-000503,-0.60752137345
ACH-000505,-0.162742964774
ACH-000507,-0.159534119399
ACH-000510,-0.0833172189982
ACH-000511,-0.05654630161259999
ACH-000512,0.016479217459
ACH-000516,-0.44693085005000005
ACH-000517,-0.009072817191690001
ACH-000518,-0.0651714984973
ACH-000520,0.177315355189
ACH-000521,-0.370199528138
ACH-000522,-0.0366956433992
ACH-000524,-0.113409987796
ACH-000527,-0.0508466021006
ACH-000528,-0.144333530742
ACH-000537,-0.193008876989
ACH-000541,-0.27828969737799997
ACH-000542,-0.104770364455
ACH-000544,-0.250757379769
ACH-000545,-0.12376743733300001
ACH-000547,0.06229868562469999
ACH-000548,-0.253756342937
ACH-000549,0.036848926368199995
ACH-000550,-0.171085317662
ACH-000552,-0.194416470808
ACH-000556,-0.325664931689
ACH-000557,0.0307333842879
ACH-000570,-0.0156489272324
ACH-000571,-0.154655259483
ACH-000573,-0.218706723455
ACH-000576,-0.145056993208
ACH-000580,-0.23454143454100002
ACH-000584,0.07962389667150001
ACH-000585,-0.135934123032
ACH-000588,-0.0677549370393
ACH-000589,-0.059126431043099996
ACH-000591,-0.226990771465
ACH-000593,-0.0836220713002
ACH-000600,-0.198244572907
ACH-000601,-0.13913093525599998
ACH-000604,-0.278519689826
ACH-000605,-0.11170059322100001
ACH-000606,-0.142901593464
ACH-000608,-0.05201696555919999
ACH-000614,-0.158810312816
ACH-000616,-0.172576035667
ACH-000618,-0.101731072192
ACH-000619,-0.000437136689814
ACH-000620,-0.0624362944553
ACH-000621,-0.22352472051199998
ACH-000622,-0.204334274986
ACH-000623,-0.184324510092
ACH-000624,-0.128233676731
ACH-000627,-0.26531397063400003
ACH-000630,-0.19850630593600002
ACH-000632,-0.116215842182
ACH-000633,0.0021582055536799997
ACH-000637,-0.0335579562342
ACH-000638,0.05812957295250001
ACH-000646,-0.22657048467399998
ACH-000647,-0.239346503726
ACH-000648,0.18699540302099998
ACH-000649,0.0061946468227299985
ACH-000651,-0.0768308806809
ACH-000652,-0.18927172417100002
ACH-000653,-0.19233415234499998
ACH-000657,0.020073043390400003
ACH-000658,-0.28098560968
ACH-000661,-0.171359327849
ACH-000662,-0.18639243321600002
ACH-000663,-0.14145880202400002
ACH-000665,0.020298345924900003
ACH-000671,-0.11086061340600001
ACH-000673,-0.174190593585
ACH-000676,-0.038991903294099996
ACH-000677,-0.236288104485
ACH-000681,-0.166018269451
ACH-000682,-0.120756569376
ACH-000683,-0.0215240444592
ACH-000684,-0.358791171751
ACH-000688,-0.09537609575999999
ACH-000693,-0.216326757317
ACH-000694,-0.124570546246
ACH-000695,-0.138805899856
ACH-000696,-0.131042414979
ACH-000697,-0.353537691305
ACH-000699,-0.14064586216299999
ACH-000701,-0.23095641745499998
ACH-000706,-0.1088451295
ACH-000711,-0.14772801623
ACH-000713,-0.0354434786553
ACH-000714,-0.32701805388
ACH-000718,-0.181221781248
ACH-000720,-0.13572941561
ACH-000721,-0.11774487867999998
ACH-000724,-0.017539066722900003
ACH-000725,-0.263703719855
ACH-000732,-0.23503218839
ACH-000734,-0.124190769133
ACH-000735,-0.130097560127
ACH-000736,-0.10730973049100001
ACH-000738,-0.0886753018926
ACH-000746,-0.09022532709640001
ACH-000747,-0.380945961795
ACH-000748,-0.0149190315784
ACH-000753,-0.0451567076756
