,DKK4 (27121)
ACH-000004,-0.46131425569300005
ACH-000007,-0.253739725001
ACH-000009,0.005383452714600001
ACH-000011,-0.0900453390666
ACH-000012,-0.114409333655
ACH-000013,-0.128955352691
ACH-000014,-0.159906163781
ACH-000015,-0.262413603918
ACH-000017,-0.178344030367
ACH-000018,-0.019626561961599998
ACH-000019,-0.248377178261
ACH-000021,0.0797056647673
ACH-000022,-0.264939101123
ACH-000025,-0.0842927985065
ACH-000028,-0.113485643074
ACH-000030,-0.07541577571550001
ACH-000035,-0.367201723478
ACH-000036,-0.209406738423
ACH-000037,-0.174137509615
ACH-000039,-0.0173770679079
ACH-000040,-0.0107579182777
ACH-000041,-0.190364049738
ACH-000042,-0.066480963622
ACH-000045,-0.21310587750799997
ACH-000047,-0.0331198299664
ACH-000052,-0.00914881352623
ACH-000053,-0.123929800065
ACH-000054,0.07943302146160001
ACH-000055,0.0649117982907
ACH-000060,-0.153812665482
ACH-000067,0.0954199209973
ACH-000070,-0.114993303231
ACH-000075,-0.187008101095
ACH-000078,-0.0731136356899
ACH-000082,-0.256104127924
ACH-000085,0.06406920940790001
ACH-000086,0.000197934956002
ACH-000087,-0.242208548517
ACH-000092,-0.0635894792501
ACH-000095,0.05100134219380001
ACH-000097,-0.331283806306
ACH-000098,-0.0135994473696
ACH-000099,-0.202382964137
ACH-000108,-0.000239023894096
ACH-000113,-0.0581511356072
ACH-000115,-0.14271820840299998
ACH-000116,-0.351366073752
ACH-000118,-0.07849136098500001
ACH-000120,0.034464347922199996
ACH-000123,-0.142440122641
ACH-000127,-0.0687133138487
ACH-000128,-0.15040299685
ACH-000132,-0.0300667625195
ACH-000133,-0.0118139698441
ACH-000137,-0.0966714080703
ACH-000138,0.06807743381680001
ACH-000142,-0.0856902459609
ACH-000143,-0.110603746243
ACH-000146,-0.0425143031586
ACH-000148,-0.0604757861169
ACH-000150,-0.14482953294
ACH-000152,-0.11102137139599999
ACH-000153,-0.363219235079
ACH-000159,-0.101127863378
ACH-000160,-0.11147143518
ACH-000163,-0.372590919907
ACH-000167,-0.257250686068
ACH-000168,-0.270908454997
ACH-000169,-0.061757068847599995
ACH-000178,-0.165757398902
ACH-000182,-0.0959765769042
ACH-000183,-0.209449941111
ACH-000188,-0.27097901208299996
ACH-000189,-0.161857733378
ACH-000190,0.146689875307
ACH-000198,-0.212328296858
ACH-000204,0.0218533196197
ACH-000206,-0.19696599758299999
ACH-000207,-0.00785958608805
ACH-000211,-0.20257106678800002
ACH-000215,-0.0743418471319
ACH-000221,-0.156766390304
ACH-000222,-0.213984107146
ACH-000223,-0.227185374415
ACH-000226,-0.046606470563400004
ACH-000227,-0.21775597844300001
ACH-000228,-0.373565948993
ACH-000231,-0.139051636352
ACH-000232,-0.146490052749
ACH-000233,-0.0861262556876
ACH-000234,0.0205745588193
ACH-000235,0.018220219136999997
ACH-000237,-0.011310588284200002
ACH-000238,-0.0021593630376399997
ACH-000243,-0.10789116562699999
ACH-000244,-0.286995248363
ACH-000246,-0.076982438133
ACH-000248,0.020440234094599996
ACH-000250,-0.037915988574099994
ACH-000251,-0.36082773726800005
ACH-000253,-0.168290520852
ACH-000255,-0.12373420906999999
ACH-000256,-0.339384746886
ACH-000257,-0.265039613486
ACH-000258,-0.07723537832539999
ACH-000259,-0.122475481654
ACH-000260,-0.110741536295
ACH-000261,-0.106117406638
ACH-000262,-0.23537407440699998
ACH-000263,0.159151001524
ACH-000264,-0.27124186816199997
ACH-000265,-0.00458765291507
ACH-000266,-0.000169208142391
ACH-000272,0.115632765646
ACH-000273,0.104648226159
ACH-000274,-0.09171314649420001
ACH-000277,0.12130520590999998
ACH-000278,-0.192336840121
ACH-000279,0.0009304674232220001
ACH-000280,-0.20059908269499999
ACH-000281,-0.0237990131528
ACH-000288,0.0869354928765
ACH-000291,-0.26935952761799997
ACH-000293,-0.06349846321119999
ACH-000294,-0.0326556296015
ACH-000295,0.07000122245310002
ACH-000296,-0.109261100843
ACH-000302,-0.193541628989
ACH-000304,0.0497025370342
ACH-000307,-0.139914369082
ACH-000308,-0.139315765447
ACH-000310,-0.258743838965
ACH-000311,-0.23261934087400002
ACH-000312,0.013274608180299999
ACH-000315,-0.14978864906
ACH-000316,-0.011654194068100001
ACH-000317,-0.0327625527004
ACH-000318,-0.297636059461
ACH-000319,-0.16920610165
ACH-000320,0.160211389625
ACH-000322,-0.189012716941
ACH-000323,-0.23199018905699997
ACH-000324,0.0128780066424
ACH-000329,0.0191776758968
ACH-000330,-0.0894659043849
ACH-000331,-0.0711329796992
ACH-000332,-0.047464902942900004
ACH-000334,-0.181963438361
ACH-000335,0.111842068881
ACH-000336,-0.5100253700990001
ACH-000337,-0.08751631018200001
ACH-000339,-0.251951679108
ACH-000341,-0.23858916878000003
ACH-000348,-0.172056798875
ACH-000350,-0.190516157498
ACH-000352,-0.149530771098
ACH-000356,-0.0220818597387
ACH-000361,-0.0639690899572
ACH-000362,-0.161745722112
ACH-000363,-0.203379732387
ACH-000364,-0.06117718806149999
ACH-000365,-0.0212478777146
ACH-000366,0.150240398357
ACH-000368,0.021411543580900003
ACH-000374,-0.172618023049
ACH-000375,-0.126995591014
ACH-000376,-0.061040009994099996
ACH-000381,0.09595201960069999
