,MYO1H (283446)
ACH-000004,-0.6664593246930001
ACH-000007,-0.705935829298
ACH-000009,-0.764938957371
ACH-000011,-0.706482103616
ACH-000012,-0.745483775228
ACH-000013,-0.606551023352
ACH-000014,-0.576332066821
ACH-000015,-0.648029813432
ACH-000017,-0.75734237492
ACH-000018,-0.7751798598530001
ACH-000019,-0.8111170627040001
ACH-000021,-0.830784611027
ACH-000022,-0.512577979574
ACH-000025,-0.879734806454
ACH-000028,-0.519547655833
ACH-000030,-0.592489340959
ACH-000035,-0.46479279662699996
ACH-000036,-0.622531797194
ACH-000037,-0.574394015568
ACH-000039,-0.862190998412
ACH-000040,-0.881350589906
ACH-000041,-0.547526068455
ACH-000042,-0.8685772503460001
ACH-000045,-0.512095192776
ACH-000047,-0.76860456441
ACH-000052,-0.5909977806100001
ACH-000053,-0.726583834702
ACH-000054,-0.666669733101
ACH-000055,-0.734836372299
ACH-000060,-0.71835774481
ACH-000067,-0.685284956931
ACH-000070,-0.7226916981139999
ACH-000075,-0.592973417214
ACH-000078,-0.8245401565620001
ACH-000082,-0.7261959205769999
ACH-000085,-0.523714755826
ACH-000086,-0.760319259145
ACH-000087,-0.556060446292
ACH-000092,-0.783779161925
ACH-000095,-0.780579499876
ACH-000097,-0.787723502098
ACH-000098,-0.642295773058
ACH-000099,-0.72877744699
ACH-000108,-0.7506609771420001
ACH-000113,-0.718112898308
ACH-000115,-1.03826689361
ACH-000116,-0.5250965401609999
ACH-000118,-0.568679224476
ACH-000120,-0.702752689094
ACH-000123,-0.7044957194329999
ACH-000127,-0.577815088645
ACH-000128,-0.663222356959
ACH-000132,-0.659389668012
ACH-000133,-0.767786149251
ACH-000137,-0.5874991695139999
ACH-000138,-0.698215431757
ACH-000142,-0.688313416381
ACH-000143,-0.648026503539
ACH-000146,-0.624301013639
ACH-000148,-0.748934105346
ACH-000150,-0.841836868401
ACH-000152,-0.7498870310410001
ACH-000153,-0.873628371065
ACH-000159,-0.561370571376
ACH-000160,-0.694370934797
ACH-000163,-0.8042371488
ACH-000167,-0.8247822523170001
ACH-000168,-0.552826190752
ACH-000169,-0.641833246237
ACH-000178,-0.528305240644
ACH-000182,-0.753795952037
ACH-000183,-0.778228464603
ACH-000188,-0.73150787853
ACH-000189,-0.589785651681
ACH-000190,-0.46538041666599994
ACH-000198,-0.509505932446
ACH-000204,-0.510722006431
ACH-000206,-0.5796268746809999
ACH-000207,-0.633386384643
ACH-000211,-0.666103841671
ACH-000215,-0.653009337438
ACH-000221,-0.480962105163
ACH-000222,-0.764585334608
ACH-000223,-0.934445901401
ACH-000226,-0.58597068654
ACH-000227,-0.9553446298530001
ACH-000228,-0.38172760999399996
ACH-000231,-0.664381622737
ACH-000232,-0.7172857851369999
ACH-000233,-0.543409398782
ACH-000234,-0.7133550252680001
ACH-000235,-0.764785324079
ACH-000237,-0.844117502367
ACH-000238,-0.990549801043
ACH-000243,-0.652983732294
ACH-000244,-0.437014896798
ACH-000246,-0.5298992685530001
ACH-000248,-0.635661908909
ACH-000250,-0.7398369241410001
ACH-000251,-0.640458385667
ACH-000253,-0.7681100575220001
ACH-000255,-0.461646114556
ACH-000256,-0.319055769547
ACH-000257,-0.7917988012489999
ACH-000258,-0.700913316848
ACH-000259,-0.824841975157
ACH-000260,-0.713451898917
ACH-000261,-0.6547356757020001
ACH-000262,-0.39711351361100006
ACH-000263,-0.9987068723260001
ACH-000264,-0.643716040505
ACH-000265,-0.60710757237
ACH-000266,-0.773335144198
ACH-000272,-0.578975153559
ACH-000273,-0.804311882528
ACH-000274,-0.957796327033
ACH-000277,-0.5720254849490001
ACH-000278,-0.580871763068
ACH-000279,-0.767525727112
ACH-000280,-0.608084908742
ACH-000281,-0.8922166904109999
ACH-000288,-0.659976319841
ACH-000291,-0.600406244933
ACH-000293,-0.6646410839570001
ACH-000294,-0.5459044096500001
ACH-000295,-0.706987294093
ACH-000296,-0.716918167823
ACH-000302,-0.663118197371
ACH-000304,-0.883673405147
ACH-000307,-0.583603191487
ACH-000308,-0.70235534676
ACH-000310,-0.999587934456
ACH-000311,-0.915502854206
ACH-000312,-0.762845235633
ACH-000315,-0.581326917289
ACH-000316,-0.30042209086599997
ACH-000317,-0.483893908497
ACH-000318,-0.817448816535
ACH-000319,-0.501604795721
ACH-000320,-0.740467489751
ACH-000322,-0.7339849256209999
ACH-000323,-0.747859074097
ACH-000324,-0.652210396544
ACH-000329,-0.833267777701
ACH-000330,-0.6941144454479999
ACH-000331,-0.587122777898
ACH-000332,-0.727010483831
ACH-000334,-1.11358878832
ACH-000335,-0.521248770894
ACH-000336,-0.703158988049
ACH-000337,-0.516983018296
ACH-000339,-0.7682494286399999
ACH-000341,-0.74830340575
ACH-000348,-0.563707569633
ACH-000350,-0.846665182661
ACH-000352,-0.773211210668
ACH-000356,-0.966890362767
ACH-000361,-0.893435010161
ACH-000362,-0.7993439704809999
ACH-000363,-0.6838452792209999
ACH-000364,-0.53028246272
ACH-000365,-0.76920735061
ACH-000366,-0.72805438567
ACH-000368,-1.04400621312
ACH-000374,-0.8770468271799999
ACH-000375,-0.491260903925
ACH-000376,-0.5854805880889999
ACH-000381,-1.0319999131200002
ACH-000383,-0.754782864683
ACH-000387,-0.68236720626
ACH-000389,-0.662732692495
ACH-000390,-0.7998523551100001
ACH-000393,-0.50040084963
ACH-000395,-0.8525526785950001
ACH-000397,-0.634753821868
ACH-000401,-0.408565915714
ACH-000402,-0.497308798152
ACH-000403,-0.867127325281
ACH-000404,-1.00888071217
ACH-000406,-0.614501033066
ACH-000407,-0.735998708295
ACH-000408,-0.470531724304
ACH-000410,-0.718576594579
ACH-000411,-0.798500268953
ACH-000414,-0.896233051207
ACH-000415,-0.686880331022
ACH-000416,-0.773478115903
ACH-000420,-0.632917297156
ACH-000421,-0.7301110667980001
ACH-000424,-0.332932447942
ACH-000425,-0.758686874063
ACH-000426,-0.46416499502999997
ACH-000427,-0.9426030515549999
ACH-000433,-0.594148945011
ACH-000436,-0.6118809161640001
ACH-000444,-0.31381768225900003
ACH-000445,-0.370561880492
ACH-000448,-0.701070654133
ACH-000450,-0.662592946604
ACH-000452,-0.676523203169
ACH-000454,-0.708906528274
ACH-000458,-0.6803814496349999
ACH-000459,-0.03611117873
ACH-000460,-0.8347667277869999
ACH-000461,-0.601709939286
ACH-000463,-0.766775666027
ACH-000464,-0.895458766424
ACH-000466,-0.435219329852
ACH-000467,-0.748967633574
ACH-000468,-0.790415789062
ACH-000469,-0.618067199807
ACH-000470,-0.8500886286980001
ACH-000471,-0.499734562659
ACH-000472,-0.7975944446269999
ACH-000473,-0.47781421528499995
ACH-000475,-0.6942113602600001
ACH-000476,-0.5972162305100001
ACH-000477,-0.28485704472600004
ACH-000480,-0.7425828259209999
ACH-000481,-0.835681998438
ACH-000483,-0.420724691571
ACH-000484,-0.465089746704
ACH-000485,-0.741538034631
ACH-000486,-0.6672131753530001
ACH-000487,-0.818599686743
ACH-000488,-0.671938654716
ACH-000490,-0.6828460941760001
ACH-000491,-0.7776938069320001
ACH-000495,-0.41503190719099997
ACH-000496,-0.7397106472930001
ACH-000499,-0.493676012266
ACH-000500,-0.8887142699320001
ACH-000502,-0.7158989755159999
ACH-000503,-1.02804066546
ACH-000505,-0.603854066431
ACH-000507,-0.624538634931
ACH-000510,-0.639211691318
ACH-000511,-0.7495332803560001
ACH-000512,-0.515796226575
ACH-000516,-1.05972715683
ACH-000517,-0.6888340536049999
ACH-000518,-0.320390373457
ACH-000520,-0.674011806451
ACH-000521,-0.7009059144230001
ACH-000522,-0.7861374067520001
ACH-000524,-0.6952986918619999
ACH-000527,-0.570648884364
ACH-000528,-0.634068092215
ACH-000537,-0.585485592694
ACH-000541,-0.657836453111
ACH-000542,-0.631994384347
ACH-000544,-0.512117175565
ACH-000545,-0.48478439001999996
ACH-000547,-0.489995587924
ACH-000548,-0.802545814824
ACH-000549,-0.593403742017
