,ZFP69B (65243)
ACH-000004,-0.9706256226919999
ACH-000007,-0.356869491232
ACH-000009,-0.6459713242740001
ACH-000011,-0.367846551379
ACH-000012,-0.5060093559059999
ACH-000013,-0.65447603834
ACH-000014,-0.61682699298
ACH-000015,-0.6833851786669999
ACH-000017,-0.47152956511999994
ACH-000018,-0.500057705401
ACH-000019,-0.45307920649800004
ACH-000021,-0.681211445016
ACH-000022,-0.61325426446
ACH-000025,-0.348552005599
ACH-000028,-0.444356323608
ACH-000030,-0.55590938938
ACH-000035,-0.669150012342
ACH-000036,-0.687758121436
ACH-000037,-0.35033650475199996
ACH-000039,-0.435912454177
ACH-000040,-0.47414847117299996
ACH-000041,-0.35938452081100003
ACH-000042,-0.517481053248
ACH-000045,-0.495356373687
ACH-000047,-0.49078528321099996
ACH-000052,-0.517619514546
ACH-000053,-0.66169020597
ACH-000054,-0.491695391315
ACH-000055,-0.44053127499300004
ACH-000060,-0.5554075433219999
ACH-000067,-0.640489732112
ACH-000070,-0.6201207768370001
ACH-000075,-0.686394527678
ACH-000078,-0.712476778665
ACH-000082,-0.45032408012100006
ACH-000085,-0.602653394725
ACH-000086,-0.609306240416
ACH-000087,-0.508091221896
ACH-000092,-0.643776963943
ACH-000095,-0.590230910859
ACH-000097,-0.5393508585629999
ACH-000098,-0.590930100428
ACH-000099,-0.618052084152
ACH-000108,-0.381490912195
ACH-000113,-0.5783732532320001
ACH-000115,-0.688854667165
ACH-000116,-0.478462464305
ACH-000118,-0.49897486667700003
ACH-000120,-0.311799127269
ACH-000123,-0.5976530316040001
ACH-000127,-0.586785206474
ACH-000128,-0.587135313362
ACH-000132,-0.630486335806
ACH-000133,-0.486671334878
ACH-000137,-0.588760761064
ACH-000138,-0.645872169066
ACH-000142,-0.661020849016
ACH-000143,-0.42842033935999996
ACH-000146,-1.34288765618
ACH-000148,-0.521196489728
ACH-000150,-0.658633008005
ACH-000152,-0.5459535709309999
ACH-000153,-0.221366031188
ACH-000159,-0.711026139971
ACH-000160,-0.68488122308
ACH-000163,-0.19225747772799998
ACH-000167,-0.8299872194310001
ACH-000168,-0.620155024208
ACH-000169,-0.674495176224
ACH-000178,-0.5114901011590001
ACH-000182,-0.41687094685099996
ACH-000183,-0.446029121659
ACH-000188,-0.685503160522
ACH-000189,-0.543212121052
ACH-000190,-0.43327637767
ACH-000198,-0.547265435551
ACH-000204,-0.582146742908
ACH-000206,-0.55232241541
ACH-000207,-0.592671946924
ACH-000211,-0.443434393224
ACH-000215,-0.579807091614
ACH-000221,-0.667067010185
ACH-000222,-0.584919914001
ACH-000223,-0.538886274166
ACH-000226,-0.484633934675
ACH-000227,-0.49481891855300003
ACH-000228,-0.478223763867
ACH-000231,-0.402398142323
ACH-000232,-0.6579282027059999
ACH-000233,-0.5275793101039999
ACH-000234,-0.618119355523
ACH-000235,-0.478068836291
ACH-000237,-0.583776986379
ACH-000238,-0.617172528255
ACH-000243,-0.531960300786
ACH-000244,-0.5949784037870001
ACH-000246,-0.49800461247100003
ACH-000248,-0.538503789363
ACH-000250,-0.48883579616800005
ACH-000251,-0.691664815188
ACH-000253,-0.508606494975
ACH-000255,-0.535486564617
ACH-000256,-0.458723952444
ACH-000257,-0.373559268325
ACH-000258,-0.512839201198
ACH-000259,-0.6289738940240001
ACH-000260,-0.533629619242
ACH-000261,-0.532164268658
ACH-000262,-0.568711219098
ACH-000263,-0.657253244594
ACH-000264,-0.613019481379
ACH-000265,-0.550436632638
ACH-000266,-0.46955029067299997
ACH-000272,-0.609533747525
ACH-000273,-0.596411165067
ACH-000274,-0.7531059719519999
ACH-000277,-0.39608952418399995
ACH-000278,-0.485200973802
ACH-000279,-0.568778066765
ACH-000280,-0.47148690444700003
ACH-000281,-0.34639433830899996
ACH-000288,-0.528268350517
ACH-000291,-0.39470019430200004
ACH-000293,-0.801376299254
ACH-000294,-0.8367098178810001
ACH-000295,-0.5661164984570001
ACH-000296,-0.37396313925999997
ACH-000302,-0.6902623806899999
ACH-000304,-0.420253663089
ACH-000307,-0.7498767794050001
