,PRRC2A (7916)
ACH-000004,-0.475821014209
ACH-000007,-0.8443227305840001
ACH-000009,-1.0530398529
ACH-000011,-0.478375610876
ACH-000012,-0.704818375777
ACH-000013,-0.739724201673
ACH-000014,-1.11214848537
ACH-000015,-1.0499110513299998
ACH-000017,-0.700422235838
ACH-000018,-0.7204228040899999
ACH-000019,-0.971324450396
ACH-000021,-0.619734826459
ACH-000022,-0.767461422871
ACH-000025,-0.6955280736820001
ACH-000028,-0.614830414992
ACH-000030,-0.729430917494
ACH-000035,-0.6719019476129999
ACH-000036,-0.0821959217901
ACH-000037,-0.648034724359
ACH-000039,-0.9651059688500001
ACH-000040,-0.370449595605
ACH-000041,-0.709181137359
ACH-000042,-0.811426301167
ACH-000045,-0.29857249824099996
ACH-000047,-1.01443250989
ACH-000052,-1.0874377316600001
ACH-000053,-0.712203007691
ACH-000054,-0.6644598064230001
ACH-000055,-0.8996624746709999
ACH-000060,-0.6130018953999999
ACH-000067,-0.8138346200100001
ACH-000070,-0.7902621221420001
ACH-000075,-1.1025714045200001
ACH-000078,-0.762031640924
ACH-000082,-0.7013071152789999
ACH-000085,-0.647182390143
ACH-000086,-0.7054218176260001
ACH-000087,-0.947134643777
ACH-000092,-0.6181333623659999
ACH-000095,-0.867968263156
ACH-000097,-0.538734252016
ACH-000098,-0.213721375114
ACH-000099,-0.963735960479
ACH-000108,-0.9936680533200001
ACH-000113,-0.648767562852
ACH-000115,-1.34930584741
ACH-000116,-0.98404793979
ACH-000118,-0.563312939667
ACH-000120,-0.8144001105940001
ACH-000123,-0.701694218351
ACH-000127,-0.731936870652
ACH-000128,-1.0670640793700001
ACH-000132,-0.754008268909
ACH-000133,-1.04896594627
ACH-000137,-0.8250771154800001
ACH-000138,-1.06423636254
ACH-000142,-0.51711271075
ACH-000143,-0.607132558502
ACH-000146,-0.49057075669100003
ACH-000148,-0.609105665829
ACH-000150,-0.5669522687399999
ACH-000152,-1.00990077154
ACH-000153,-0.522573765179
ACH-000159,-0.8845314833679999
ACH-000160,-0.991567176887
ACH-000163,-0.4611428242
ACH-000167,-1.03607556836
ACH-000168,-0.777882271885
ACH-000169,-0.9449943141089999
ACH-000178,-0.524356241411
ACH-000182,-0.637387850181
ACH-000183,-0.538296570626
ACH-000188,-0.727862060098
ACH-000189,-0.9010184176799999
ACH-000190,-0.818687138264
ACH-000198,-0.9196373316650001
ACH-000204,-0.8329356439129999
ACH-000206,-0.689415660442
ACH-000207,-0.852200777705
ACH-000211,-1.12233024187
ACH-000215,-0.8609624282639999
ACH-000221,-0.891899870582
ACH-000222,-0.573983975825
ACH-000223,-0.9509127948630001
ACH-000226,-0.583180003045
ACH-000227,-0.668181604162
ACH-000228,-0.635987975313
ACH-000231,-0.678855098247
ACH-000232,-0.678762589686
ACH-000233,-1.00566985692
ACH-000234,-0.575843079481
ACH-000235,-0.598177752832
ACH-000237,-0.667721265105
ACH-000238,-0.607061754798
