,KCNRG (283518)
ACH-000004,-0.18963876654800002
ACH-000007,-0.293919319622
ACH-000009,-0.042291353553
ACH-000011,0.015094809939700003
ACH-000012,-0.152348686565
ACH-000013,-0.0180899083858
ACH-000014,-0.014682150657
ACH-000015,-0.105564689338
ACH-000017,0.0308581667317
ACH-000018,-0.0237346380203
ACH-000019,-0.13275065368300001
ACH-000021,-0.0866853263175
ACH-000022,0.100846006186
ACH-000025,-0.110166111217
ACH-000028,0.0785495710133
ACH-000030,-0.0623584504678
ACH-000035,-0.0507470004721
ACH-000036,-0.0488488048699
ACH-000037,0.0857341741295
ACH-000039,-0.17737667225
ACH-000040,-0.18671875042199998
ACH-000041,0.0133976768731
ACH-000042,-0.0954900415143
ACH-000045,0.0573054601332
ACH-000047,0.0111771195757
ACH-000052,-0.07837868757369999
ACH-000053,0.11269169734300001
ACH-000054,-0.118016924311
ACH-000055,-0.16501488031199998
ACH-000060,-0.10763897237
ACH-000067,-0.157911972501
ACH-000070,-0.0180567207835
ACH-000075,-0.0460733787132
ACH-000078,-0.10913190128900001
ACH-000082,-0.248245317926
ACH-000085,0.185617439844
ACH-000086,0.002095067202
ACH-000087,0.0500741652941
ACH-000092,-0.051531992845099996
ACH-000095,-0.216299950765
ACH-000097,-0.0943973511297
ACH-000098,-0.00278728182233
ACH-000099,-0.131759288787
ACH-000108,-0.0388467999552
ACH-000113,-0.00375803095249
ACH-000115,-0.16937488339499998
ACH-000116,-0.0244511553165
ACH-000118,-0.16834395434
ACH-000120,-0.18741975920600001
ACH-000123,-0.169482897307
ACH-000127,-0.07314601166510001
ACH-000128,-0.0113672051113
ACH-000132,-0.050937011768300004
ACH-000133,-0.20944116134100002
ACH-000137,0.032838684564400006
ACH-000138,-0.134157288084
ACH-000142,-0.00377798654653
ACH-000143,-0.101702891395
ACH-000146,-0.20124827439100001
ACH-000148,-0.0130086459666
ACH-000150,-0.0280779952716
ACH-000152,-0.261343882935
ACH-000153,0.22411247173300003
ACH-000159,-0.11695369769099999
ACH-000160,-0.0231846799244
ACH-000163,0.10298464047900001
ACH-000167,-0.27019093984299997
ACH-000168,-0.034691626129
ACH-000169,0.10236262869200001
ACH-000178,0.0149111510066
ACH-000182,0.039926515103800006
ACH-000183,0.0318633970548
ACH-000188,0.0448204364129
ACH-000189,0.140301437493
ACH-000190,0.0448656379995
ACH-000198,0.122250536051
ACH-000204,0.050364431169300006
