,PXYLP1 (92370)
ACH-000004,-0.09955458337649999
ACH-000007,0.179086327787
ACH-000009,-0.21538399978
ACH-000011,-0.23050439588000005
ACH-000012,-0.12494695164200001
ACH-000013,-0.146068899947
ACH-000014,-0.40133704835
ACH-000015,-0.15670965437599998
ACH-000017,-0.0174665629494
ACH-000018,-0.24591901859
ACH-000019,-0.24600259023600002
ACH-000021,-0.229166704155
ACH-000022,-0.190063794241
ACH-000025,-0.318531502139
ACH-000028,-0.350194089205
ACH-000030,-0.24002028095800002
ACH-000035,-0.220769700391
ACH-000036,-0.0516371380998
ACH-000037,-0.304113799314
ACH-000039,-0.656029432173
ACH-000040,-0.037859171738699994
ACH-000041,-0.04517731993580001
ACH-000042,-0.26938177165
ACH-000045,-0.14599183169000002
ACH-000047,-0.282152987942
ACH-000052,0.0611064874055
ACH-000053,-0.16604683409600002
ACH-000054,-0.267361173124
ACH-000055,0.11119478318399999
ACH-000060,-0.19761370221000002
ACH-000067,-0.17634397205
ACH-000070,-0.059666688445499994
ACH-000075,-0.022741035516300002
ACH-000078,-0.170570454525
ACH-000082,-0.110486792138
ACH-000085,-0.216115603713
ACH-000086,-0.297967826413
ACH-000087,-0.177850329336
ACH-000092,-0.34571746526299996
ACH-000095,-0.13104509427000002
ACH-000097,-0.144540276906
ACH-000098,-0.11764508666
ACH-000099,-0.166524163251
ACH-000108,-0.0402048706308
ACH-000113,-0.149386822804
ACH-000115,-0.0768372953928
ACH-000116,-0.0172501260742
ACH-000118,-0.22184858849599998
ACH-000120,0.0447624186761
ACH-000123,-0.482097503331
ACH-000127,-0.156566967696
ACH-000128,-0.436347056419
ACH-000132,-0.237843686974
ACH-000133,-0.250045947178
ACH-000137,-0.193658030025
ACH-000138,-0.30449807756700004
ACH-000142,-0.22941137808899997
ACH-000143,-0.0944209950925
ACH-000146,-0.0131978286855
ACH-000148,-0.162390350539
ACH-000150,-0.35593097063900003
ACH-000152,-0.270352636029
ACH-000153,-0.0469280602274
ACH-000159,-0.22939787258000002
ACH-000160,-0.17119526519
ACH-000163,-0.19340281596500003
ACH-000167,-0.0471620884306
ACH-000168,-0.313728972707
ACH-000169,-0.094814362295
ACH-000178,-0.252886165561
ACH-000182,-0.08046445836360001
ACH-000183,-0.158310310517
ACH-000188,-0.23665808151999998
ACH-000189,-0.305220306303
ACH-000190,-0.101834030124
ACH-000198,-0.160427275645
ACH-000204,-0.38313902848399994
ACH-000206,-0.256206767011
ACH-000207,-0.14031080369
ACH-000211,-0.318128925259
ACH-000215,-0.282910027316
