,SHCBP1 (79801)
ACH-000004,-0.23441399830600002
ACH-000007,0.0224036672346
ACH-000009,0.0102111225861
ACH-000011,-0.0667519401934
ACH-000012,-0.14411522165899998
ACH-000013,-0.16116712119100002
ACH-000014,-0.0387926958726
ACH-000015,-0.154413069888
ACH-000017,-0.055441577568899995
ACH-000018,-0.063770686069
ACH-000019,-0.27882989222
ACH-000021,-0.42623178533
ACH-000022,0.00673299245389
ACH-000025,-0.0601351916617
ACH-000028,0.013115566862000001
ACH-000030,-0.130975352107
ACH-000035,-0.391944526794
ACH-000036,0.10284053914499999
ACH-000037,-0.00882216185492
ACH-000039,-0.237426222091
ACH-000040,0.00997086027556
ACH-000041,0.0283728299597
ACH-000042,-0.23946838296
ACH-000045,-0.10171756378900002
ACH-000047,-0.282732231455
ACH-000052,-0.0314638302756
ACH-000053,-0.176723507853
ACH-000054,-0.202753538219
ACH-000055,-0.185177494907
ACH-000060,-0.144160893907
ACH-000067,-0.233009091861
ACH-000070,-0.142113946923
ACH-000075,-0.229554137437
ACH-000078,-0.179547204949
ACH-000082,-0.150042905868
ACH-000085,-0.223400072901
ACH-000086,-0.116428746689
ACH-000087,0.0360472527046
ACH-000092,-0.24062809198000001
ACH-000095,-0.0942265606043
ACH-000097,-0.338505241981
ACH-000098,-0.32924393017299997
ACH-000099,-0.09497054568760001
ACH-000108,-0.367787013315
ACH-000113,-0.08470204609760001
ACH-000115,-0.177059726182
ACH-000116,-0.0869170538686
ACH-000118,-0.24826369757
ACH-000120,-0.210697378906
ACH-000123,-0.10543264750800001
ACH-000127,-0.13710378056199998
ACH-000128,-0.04269118427080001
ACH-000132,-0.276217333381
ACH-000133,-0.22854238214699998
ACH-000137,-0.199551212605
ACH-000138,-0.293373764628
ACH-000142,-0.0134358976956
ACH-000143,-0.0146043313496
ACH-000146,0.0219169628608
ACH-000148,-0.0549436535788
ACH-000150,-0.0924536911297
ACH-000152,-0.10699768971899999
ACH-000153,0.04714181779619999
ACH-000159,0.0102303560893
ACH-000160,-0.0734812248719
ACH-000163,0.134412886766
ACH-000167,-0.333352226816
ACH-000168,-0.166864950348
ACH-000169,0.0638299667498
ACH-000178,-0.146872461665
ACH-000182,-0.188285205293
ACH-000183,-0.0360568927151
ACH-000188,-0.254731426893
ACH-000189,0.161116528142
ACH-000190,-0.37635117619
ACH-000198,-0.131186375843
ACH-000204,-0.12714347651799998
ACH-000206,-0.155079021652
ACH-000207,-0.0767451061872
ACH-000211,-0.176630181705
ACH-000215,-0.0443093090275
ACH-000221,-0.0352081663481
ACH-000222,-0.376560004486
ACH-000223,-0.356729013728
ACH-000226,-0.0991931635323
ACH-000227,0.225365078265
ACH-000228,0.0370035138845
ACH-000231,0.055316669742199995
ACH-000232,-0.0280437404017
ACH-000233,-0.0580159443156
ACH-000234,0.147276501794
ACH-000235,-0.22236747708299998
ACH-000237,0.020674980746900003
ACH-000238,-0.0369025536135
ACH-000243,-0.04731589675509999
ACH-000244,-0.17424062304699997
ACH-000246,-0.11832314754899999
ACH-000248,-0.330571426696
ACH-000250,-0.0017551527377900002
ACH-000251,0.135799906479
ACH-000253,-0.036452603859
ACH-000255,-0.08858947288360002
ACH-000256,0.10537684102900001
ACH-000257,0.122733489948
ACH-000258,0.05088433491230001
ACH-000259,-0.027892831556000003
ACH-000260,-0.159572813398
ACH-000261,-0.058263136764900005
ACH-000262,-0.0762363283225
ACH-000263,0.048061807054900006
ACH-000264,-0.178226246106
ACH-000265,-0.161530028281
ACH-000266,-0.21500494721000002
ACH-000272,-0.010442150828
ACH-000273,0.03085698001
ACH-000274,0.0874795970905
ACH-000277,0.054964371133699993
ACH-000278,-0.35792333943300003
ACH-000279,-0.12372016292600001
ACH-000280,-0.0476941121445
ACH-000281,-0.133695561273
ACH-000288,-0.143284752368
ACH-000291,-0.0449078573035
ACH-000293,-0.111242140792
ACH-000294,-0.09509251907189999
ACH-000295,-0.00405799340136
ACH-000296,-0.058112153206199994
ACH-000302,-0.056682805554900004
ACH-000304,0.0488981912753
ACH-000307,-0.12210822722999999
ACH-000308,-0.160693219451
ACH-000310,-0.22392321549199998
ACH-000311,-0.242723442126
ACH-000312,-0.19128034785
ACH-000315,-0.0337929136018
ACH-000316,-0.443038878204
ACH-000317,-0.123739966973
ACH-000318,-0.01825511546
ACH-000319,-0.0458328112301
ACH-000320,-0.41757698760899997
ACH-000322,-0.575611913696
ACH-000323,-0.052611062505800006
ACH-000324,-0.179880437005
ACH-000329,-0.126344573082
ACH-000330,-0.187410989556
ACH-000331,-0.146053599539
ACH-000332,-0.029480304928900004
ACH-000334,-0.145655485809
ACH-000335,-0.163811867959
ACH-000336,-0.12917797872
ACH-000337,-0.20250856928599997
ACH-000339,-0.101522902806
ACH-000341,0.0276935519601
ACH-000348,0.058989777544200005
ACH-000350,-0.0674879838427
ACH-000352,-0.17245064750599998
ACH-000356,-0.174777251364
ACH-000361,-0.468430569939
ACH-000362,-0.0984032290726
ACH-000363,-0.13965786264
ACH-000364,-0.174327574436
ACH-000365,-0.13591156574899999
ACH-000366,0.08634136128730001
ACH-000368,-0.0640763578863
ACH-000374,-0.122586321853
ACH-000375,-0.119761998866
ACH-000376,-0.0787750262714
