,CRACR2A (84766)
ACH-000004,0.057736692820499994
ACH-000007,0.268461127467
ACH-000009,0.16843279715
ACH-000011,-0.190550756688
ACH-000012,0.150426897717
ACH-000013,0.115456652982
ACH-000014,0.226107159516
ACH-000015,-0.005439261948520001
ACH-000017,-0.038398030634699994
ACH-000018,0.110230253453
ACH-000019,-0.00519511931678
ACH-000021,0.15528951048599998
ACH-000022,0.166375694815
ACH-000025,0.22267378840100002
ACH-000028,-0.0386267637206
ACH-000030,0.0622391630038
ACH-000035,0.236198629656
ACH-000036,0.25073969989100003
ACH-000037,0.08391018175899999
ACH-000039,0.270198930302
ACH-000040,-0.0411322817719
ACH-000041,0.0523987467945
ACH-000042,0.0516408016802
ACH-000045,0.088992067533
ACH-000047,-0.0333265207469
ACH-000052,0.0390630847815
ACH-000053,0.048208606213699996
ACH-000054,-0.033479814704100004
ACH-000055,0.228362200091
ACH-000060,0.120561463657
ACH-000067,-0.011841028920100001
ACH-000070,0.0695730475539
ACH-000075,0.300110248542
ACH-000078,0.270014309109
ACH-000082,-0.0883289980493
ACH-000085,-0.10629449266
ACH-000086,-0.0218228815989
ACH-000087,0.13309181537
ACH-000092,0.0642150134402
ACH-000095,0.0022137257514899997
ACH-000097,0.050161071843999996
ACH-000098,-0.019081033454499997
ACH-000099,0.118083880184
ACH-000108,0.118011781745
ACH-000113,0.10201975611
ACH-000115,0.0846508729125
ACH-000116,-0.0214801082092
ACH-000118,0.0889100542567
ACH-000120,-0.013824061139100001
ACH-000123,0.22660333515500003
ACH-000127,0.0326484099732
ACH-000128,0.127586930794
ACH-000132,0.07979033603239999
ACH-000133,0.018481692142
ACH-000137,-0.014185816223299999
ACH-000138,0.0500650799014
ACH-000142,0.0571811173742
ACH-000143,0.0868847538238
ACH-000146,-0.0156425070111
ACH-000148,0.0429360624239
ACH-000150,0.00905730480515
ACH-000152,0.034470789947500004
ACH-000153,0.16055963025699999
ACH-000159,0.22079992479000002
ACH-000160,-0.07068802296889999
ACH-000163,0.025289444725599998
ACH-000167,-0.030347949654200002
ACH-000168,0.290520080985
ACH-000169,0.006278770330890001
ACH-000178,0.11458681927200001
ACH-000182,0.09528272349719999
ACH-000183,0.125018841177
ACH-000188,0.04685003615
ACH-000189,0.18938986744300002
ACH-000190,0.147135435367
ACH-000198,0.09648708336310001
ACH-000204,0.14731709918
ACH-000206,-0.156559686745
ACH-000207,0.261056137919
ACH-000211,0.06831599448390001
ACH-000215,0.0417097621571
ACH-000221,0.0239457213902
ACH-000222,0.0170106427399
ACH-000223,0.0125233790072
ACH-000226,-0.0371327792593
ACH-000227,0.227598603429
ACH-000228,-0.130293199848
ACH-000231,0.0849318037735
ACH-000232,0.0431557578556
ACH-000233,0.10500387453500001
