,KCNC4 (3749)
ACH-000004,-0.24345551366999998
ACH-000007,-0.170167826925
ACH-000009,-0.38705977248
ACH-000011,-0.08499030966150001
ACH-000012,-0.33812447505599996
ACH-000013,-0.259236333533
ACH-000014,-0.177342416032
ACH-000015,-0.18604016373100002
ACH-000017,-0.207415996462
ACH-000018,-0.138732395322
ACH-000019,-0.492655049108
ACH-000021,-0.19642776060800002
ACH-000022,-0.214777436795
ACH-000025,-0.45754209820299996
ACH-000028,-0.368260023378
ACH-000030,-0.364190345063
ACH-000035,-0.501620111767
ACH-000036,-0.356155413326
ACH-000037,-0.305924923711
ACH-000039,-0.522593827667
ACH-000040,-0.40192770768200003
ACH-000041,-0.21349255318799998
ACH-000042,-0.274631856068
ACH-000045,-0.312496360626
ACH-000047,-0.313956165108
ACH-000052,-0.219069153748
ACH-000053,-0.20037437056600002
ACH-000054,-0.369158303355
ACH-000055,0.027505028035400003
ACH-000060,-0.317820086421
ACH-000067,-0.613769643849
ACH-000070,-0.0623925315876
ACH-000075,-0.034882315834
ACH-000078,-0.20103322690499997
ACH-000082,-0.071471417715
ACH-000085,-0.0697600876427
ACH-000086,-0.191462075477
ACH-000087,-0.144277871509
ACH-000092,-0.49464305211599996
ACH-000095,-0.265274629222
ACH-000097,-0.185426874692
ACH-000098,-0.294849521323
ACH-000099,-0.21268651693500001
ACH-000108,-0.40673977413900003
ACH-000113,-0.284927656618
ACH-000115,-0.32861422385
ACH-000116,-0.307911552477
ACH-000118,-0.271279216401
ACH-000120,-0.170542950783
ACH-000123,-0.16749964993
ACH-000127,-0.297317427312
ACH-000128,-0.37750568886299996
ACH-000132,-0.31958350651399997
ACH-000133,-0.09819292034939998
ACH-000137,-0.378011843275
ACH-000138,-0.04967493948469999
ACH-000142,-0.269444506183
ACH-000143,-0.41773654240099994
ACH-000146,-0.210212235733
ACH-000148,-0.18760101755699998
ACH-000150,-0.177477523579
ACH-000152,-0.576138394343
ACH-000153,-0.249655680921
ACH-000159,-0.293672625963
ACH-000160,-0.023382825857599997
ACH-000163,-0.328360224831
ACH-000167,-0.368485781997
ACH-000168,-0.136643338296
ACH-000169,-0.278565153509
ACH-000178,-0.22863944749
ACH-000182,-0.0969332476379
ACH-000183,-0.278122729734
ACH-000188,-0.309845982748
ACH-000189,-0.141693561832
ACH-000190,-0.13588235751
ACH-000198,-0.475995342747
ACH-000204,-0.306162068572
ACH-000206,0.16020395738600002
ACH-000207,-0.245927900033
ACH-000211,-0.19944066124200002
ACH-000215,-0.38640658148699997
ACH-000221,-0.42056379394599996
ACH-000222,-0.321740403022
ACH-000223,-0.254728373593
ACH-000226,-0.549333116657
ACH-000227,-0.218507211313
ACH-000228,-0.325067143748
ACH-000231,-0.295513909884
ACH-000232,-0.251762748729
ACH-000233,-0.216239487522
ACH-000234,-0.36377030389
ACH-000235,-0.24356298958099998
ACH-000237,-0.07247675953169999
ACH-000238,-0.245444022111
ACH-000243,-0.214018659168
ACH-000244,-0.193191604331
ACH-000246,-0.139752233715
ACH-000248,-0.656874169498
ACH-000250,-0.273155113811
ACH-000251,-0.33519623577
ACH-000253,-0.382636557967
ACH-000255,-0.633588777346
ACH-000256,0.195184751053
ACH-000257,-0.165805860721
ACH-000258,-0.15815838950799999
ACH-000259,-0.374852979332
ACH-000260,-0.339872915889
ACH-000261,-0.255177365843
ACH-000262,-0.37947289471900003
ACH-000263,-0.313483632626
ACH-000264,-0.20471142289
ACH-000265,-0.33571540338399997
ACH-000266,-0.234372243222
ACH-000272,-0.284263963772
ACH-000273,-0.183172034834
ACH-000274,-0.206617351895
ACH-000277,-0.29398543438200003
ACH-000278,-0.38607819709299995
ACH-000279,-0.22420431851599998
ACH-000280,-0.42914670208000005
ACH-000281,-0.130678734548
ACH-000288,-0.301727400555
ACH-000291,-0.196313461466
ACH-000293,-0.178659279678
ACH-000294,-0.200241600097
ACH-000295,-0.370844468558
ACH-000296,-0.23344051986699998
ACH-000302,-0.457086047587
ACH-000304,-0.133531514893
ACH-000307,-0.25052438828400003
ACH-000308,-0.227798315801
ACH-000310,-0.423539245894
ACH-000311,-0.22305144287700002
ACH-000312,-0.448443239582
ACH-000315,-0.481965884627
ACH-000316,-0.217466091254
ACH-000317,-0.500230454853
ACH-000318,-0.257855490633
ACH-000319,-0.251105025366
ACH-000320,-0.18937195603300003
ACH-000322,-0.235322858759
ACH-000323,-0.461858059481
ACH-000324,-0.458674308414
ACH-000329,-0.25686246339499996
ACH-000330,-0.417948593905
ACH-000331,-0.292292535577
ACH-000332,-0.24935816621800003
ACH-000334,0.071261878898
ACH-000335,-0.43689565614799997
ACH-000336,-0.186992836746
ACH-000337,-0.507316126229
ACH-000339,-0.34142106688100005
ACH-000341,-0.278152598891
ACH-000348,-0.24613853013599998
ACH-000350,-0.37481654085
ACH-000352,-0.311081193913
ACH-000356,-0.16844689774099997
ACH-000361,-0.503938753605
ACH-000362,-0.283966116337
ACH-000363,-0.239164599544
ACH-000364,-0.575538649318
ACH-000365,-0.210475738977
ACH-000366,-0.29074857804800003
ACH-000368,-0.3623718736
ACH-000374,-0.25847290543
ACH-000375,-0.329922961459
ACH-000376,-0.35655990836999996
ACH-000381,-0.272357068484
ACH-000383,-0.292223580118
ACH-000387,-0.263974394567
ACH-000389,-0.11337835183700001
ACH-000390,-0.36383961819399996
ACH-000393,-0.43416986074600006
ACH-000395,-0.397318746087
ACH-000397,-0.28074401695
ACH-000401,-0.187230102707
ACH-000402,-0.20117901328899998
ACH-000403,-0.0971657934887
ACH-000404,-0.403430317191
ACH-000406,-0.24807938783300001
ACH-000407,-0.265899492955
ACH-000408,-0.556799177559
ACH-000410,-0.178690410397
ACH-000411,-0.320556874772
ACH-000414,-0.179288252492
ACH-000415,-0.286806270051
ACH-000416,-0.410052242879
ACH-000420,-0.143176655493
ACH-000421,-0.224850853714
ACH-000424,-0.259933682308
ACH-000425,-0.113987774913
ACH-000426,-0.038890579937400006
ACH-000427,-0.440750364767
ACH-000433,-0.0555363436049
ACH-000436,-0.550847338648
ACH-000444,-0.433143387995
ACH-000445,-0.0981166305181
ACH-000448,-0.460607279446
ACH-000450,-0.202337131928
ACH-000452,-0.20166706511399998
ACH-000454,-0.494705743774
ACH-000458,-0.0984188655635
ACH-000459,-0.129120557028
ACH-000460,-0.277074234275
ACH-000461,-0.624527610517
ACH-000463,-0.348585671382
