,VCP (7415)
ACH-000004,-1.81085927877
ACH-000007,-1.57637075955
ACH-000009,-1.9906136795900002
ACH-000011,-1.4585376897100002
ACH-000012,-1.8125652582299998
ACH-000013,-1.72410479914
ACH-000014,-1.9761105092099998
ACH-000015,-1.8012607595099996
ACH-000017,-1.70165367509
ACH-000018,-1.79538720847
ACH-000019,-1.90676695439
ACH-000021,-1.6638890423500001
ACH-000022,-1.8649608843
ACH-000025,-1.78318235566
ACH-000028,-1.4755556730000001
ACH-000030,-1.7150789358899998
ACH-000035,-1.78100087313
ACH-000036,-2.0575300892099997
ACH-000037,-2.30794933697
ACH-000039,-1.5528060384600002
ACH-000040,-1.88581103056
ACH-000041,-1.3772044089500002
ACH-000042,-1.6800102889
ACH-000045,-1.94858903341
ACH-000047,-1.7485191219299998
ACH-000052,-1.71676780259
ACH-000053,-1.7449625995500002
ACH-000054,-1.62135088213
ACH-000055,-1.71388890914
ACH-000060,-1.45477102882
ACH-000067,-1.5675257973899999
ACH-000070,-2.02587033261
ACH-000075,-1.9265263672400001
ACH-000078,-1.67792134189
ACH-000082,-1.73586518382
ACH-000085,-1.2033861360200002
ACH-000086,-1.94500483525
ACH-000087,-1.7006353296799999
ACH-000092,-1.7219752310699998
ACH-000095,-1.8991357958000001
ACH-000097,-1.78871775649
ACH-000098,-1.7752145296700002
ACH-000099,-1.77433593896
ACH-000108,-1.8299145658700002
ACH-000113,-1.76241694118
ACH-000115,-2.0367901985
ACH-000116,-1.5658572145299998
ACH-000118,-1.5311929330899998
ACH-000120,-1.50312949991
ACH-000123,-1.84593688129
ACH-000127,-2.0530651470900003
ACH-000128,-1.83780832556
ACH-000132,-1.90258800285
ACH-000133,-1.74584951624
ACH-000137,-1.80258352572
ACH-000138,-1.66954179234
ACH-000142,-1.65569292262
ACH-000143,-1.8774555994
ACH-000146,-1.7056159765799999
ACH-000148,-2.04858664214
ACH-000150,-1.40847194912
ACH-000152,-1.8052705551599997
ACH-000153,-1.6471693417500002
ACH-000159,-1.95552526352
ACH-000160,-1.9366674999400002
ACH-000163,-1.5210586187900001
ACH-000167,-2.08895813237
ACH-000168,-1.6000383868299999
ACH-000169,-1.55517955949
ACH-000178,-1.6473321789300002
ACH-000182,-1.9105906958599999
ACH-000183,-2.03256032911
ACH-000188,-1.8710693137999999
ACH-000189,-1.91324566128
ACH-000190,-1.5487648516899999
ACH-000198,-1.89211829479
ACH-000204,-2.21776633956
ACH-000206,-1.55774564913
ACH-000207,-1.78524702712
ACH-000211,-1.43631315028
ACH-000215,-1.8923599906900002
ACH-000221,-1.8427388531599997
ACH-000222,-1.9346943148599998
ACH-000223,-1.94073134069
ACH-000226,-1.6424635215799999
ACH-000227,-1.85905025012
ACH-000228,-1.5356326557100002
ACH-000231,-1.75824718724
ACH-000232,-1.7917179183900003
ACH-000233,-1.90664983462
ACH-000234,-1.9467274938699999
ACH-000235,-1.88615461056
ACH-000237,-1.52340142497
ACH-000238,-1.76592594872
ACH-000243,-1.47112916581
ACH-000244,-1.90869069107
ACH-000246,-1.75604496558
ACH-000248,-1.6801239608399998
ACH-000250,-1.63687790291
ACH-000251,-1.1639231379200001
ACH-000253,-1.89291035007
ACH-000255,-1.4755129366100002
ACH-000256,-1.70107124773
ACH-000257,-1.70134769554
ACH-000258,-2.04097705944
ACH-000259,-1.5703906047299998
ACH-000260,-1.57597718264
ACH-000261,-1.74072953165
ACH-000262,-1.9262055625
ACH-000263,-1.9846318973700001
ACH-000264,-1.8685019924500001
ACH-000265,-1.54062767435
ACH-000266,-1.5486936997299998
ACH-000272,-1.7455460020299998
ACH-000273,-1.90187038345
ACH-000274,-2.10084912468
ACH-000277,-2.11241787151
ACH-000278,-1.4420706562399999
ACH-000279,-1.8968174729299998
ACH-000280,-1.7921019407299998
ACH-000281,-1.68098286118
ACH-000288,-1.7945290795700002
ACH-000291,-1.94742620782
ACH-000293,-1.5238148367
ACH-000294,-1.26402518358
ACH-000295,-2.11801205958
ACH-000296,-1.6823061501499998
ACH-000302,-1.8983974685799998
ACH-000304,-1.6163490842100001
ACH-000307,-1.64701857342
ACH-000308,-1.9063051376099998
ACH-000310,-1.76193919093
ACH-000311,-1.8036945586200002
ACH-000312,-1.55608594199
ACH-000315,-1.87390294872
ACH-000316,-1.8403579730700002
ACH-000317,-1.71696264028
ACH-000318,-1.6079109921899999
ACH-000319,-1.5087961725299999
ACH-000320,-1.78235976965
ACH-000322,-2.15630854822
ACH-000323,-1.69705602
ACH-000324,-1.74734902692
ACH-000329,-1.9113392903400002
ACH-000330,-1.67202701912
ACH-000331,-1.64149890909
ACH-000332,-1.62780598909
ACH-000334,-1.95794364479
ACH-000335,-1.6680296325400001
ACH-000336,-1.9839979076700003
ACH-000337,-1.91377477757
ACH-000339,-1.71321254521
ACH-000341,-1.8732461714900002
ACH-000348,-1.8324670155900002
ACH-000350,-1.76913136912
ACH-000352,-1.8381834881799999
ACH-000356,-1.96271076028
ACH-000361,-1.69647083268
ACH-000362,-1.8027757975799998
ACH-000363,-1.8345202945200003
ACH-000364,-1.63130227593
ACH-000365,-1.69076249088
ACH-000366,-1.67003296345
ACH-000368,-1.9946833885599997
ACH-000374,-1.67935215597
ACH-000375,-1.89569267321
ACH-000376,-1.73625298185
ACH-000381,-1.80714744905
ACH-000383,-2.11440103347
ACH-000387,-1.79432161908
ACH-000389,-1.4141391228100002
ACH-000390,-1.57907124778
ACH-000393,-1.97730236175
ACH-000395,-1.90479077563
ACH-000397,-1.5956406537
ACH-000401,-1.69148239218
ACH-000402,-1.46490756532
ACH-000403,-2.0545116804599997
ACH-000404,-1.7935831549799999
ACH-000406,-1.6155698341
ACH-000407,-1.7219800168000001
ACH-000408,-1.50169805771
ACH-000410,-1.5100879001899998
ACH-000411,-1.49893944282
ACH-000414,-1.81000400258
ACH-000415,-1.5615101075
ACH-000416,-1.6612606799399998
ACH-000420,-1.70065397405
ACH-000421,-1.61549298508
ACH-000424,-1.88518220037
ACH-000425,-1.8829067332099998
ACH-000426,-1.34791295408
ACH-000427,-1.89824385498
ACH-000433,-1.84487477754
ACH-000436,-1.74339772184
ACH-000444,-1.4875093322
ACH-000445,-1.9772921422299998
ACH-000448,-1.84534882353
ACH-000450,-2.0782602307099998
ACH-000452,-1.82347864648
ACH-000454,-1.55857342461
ACH-000458,-1.35940741396
ACH-000459,-1.9614160973099997
ACH-000460,-1.4034400788699999
ACH-000461,-1.8495506616400001
ACH-000463,-1.64381985794
ACH-000464,-1.9365214155300001
ACH-000466,-1.7157005516400001
ACH-000467,-1.4964607830599999
ACH-000468,-1.70988324687
ACH-000469,-1.6806191727200002
ACH-000470,-2.07173080751
ACH-000471,-1.7865956139400003
ACH-000472,-2.08470972159
ACH-000473,-1.61229412057
ACH-000475,-1.88092212409
ACH-000476,-2.0133440869
ACH-000477,-1.6972572767700003
ACH-000480,-1.6460637405200003
ACH-000481,-1.72697225569
ACH-000483,-1.57854847313
ACH-000484,-2.3779488804700004
ACH-000485,-1.7977932260499998
ACH-000486,-1.5946255912799998
ACH-000487,-1.59765166942
ACH-000488,-1.61117215746
ACH-000490,-1.7136206295299998
ACH-000491,-1.9523530061400003
ACH-000495,-2.10779413096
ACH-000496,-1.52459522465
ACH-000499,-1.51775173095
ACH-000500,-1.81899528865
ACH-000502,-1.7294282135299999
ACH-000503,-1.50107911769
ACH-000505,-1.77697930619
ACH-000507,-1.80695656449
ACH-000510,-1.8305006489900002
ACH-000511,-1.5326000233200001
ACH-000512,-2.09952833982
ACH-000516,-1.96751479148
ACH-000517,-1.8437872105700002
ACH-000518,-1.7565066703
ACH-000520,-1.8389048214800001
ACH-000521,-1.6540596995899999
ACH-000522,-1.85307497461
ACH-000524,-1.7439889751599997
ACH-000527,-1.6346921419
ACH-000528,-1.6931484835100001
ACH-000537,-1.7211082690900001
ACH-000541,-2.24281487247
ACH-000542,-1.6744600156
ACH-000544,-1.77847524288
ACH-000545,-1.75808095412
ACH-000547,-1.6752979820299998
ACH-000548,-1.59545479511
ACH-000549,-1.4644440384200001
ACH-000550,-1.4789481772400002
ACH-000552,-1.79783508023
ACH-000556,-1.9338014220200002
ACH-000557,-2.02378938229
ACH-000570,-1.6872117915600002
ACH-000571,-2.29436987332
ACH-000573,-1.84971110574
ACH-000576,-1.49754920205
ACH-000580,-2.20041200404
ACH-000584,-1.9437602478799998
ACH-000585,-1.29149570504
ACH-000588,-1.6517527921200001
ACH-000589,-1.62400436783
ACH-000591,-1.82871295093
ACH-000593,-1.4306051309099999
ACH-000600,-1.86275975997
ACH-000601,-1.85394142493
ACH-000604,-2.12911048177
ACH-000605,-1.34101762925
ACH-000606,-1.4045679964
ACH-000608,-2.59942700603
ACH-000614,-2.2158288865299998
ACH-000616,-1.6927960636200001
