,FDX1L (112812)
ACH-000004,-0.503277077597
ACH-000007,-0.436751525184
ACH-000009,-0.251378974421
ACH-000011,-0.174623506421
ACH-000012,-0.417481305589
ACH-000013,-0.6914222047130001
ACH-000014,-0.333736981485
ACH-000015,-0.280885540863
ACH-000017,-0.458717284072
ACH-000018,-0.241390167943
ACH-000019,-0.535365138081
ACH-000021,-0.555784144209
ACH-000022,-0.491341709053
ACH-000025,-0.701972669488
ACH-000028,-0.620480594121
ACH-000030,-0.637207284337
ACH-000035,-0.415225668509
ACH-000036,-0.482114522376
ACH-000037,-0.20358565846
ACH-000039,-0.293212532668
ACH-000040,-0.14210301
ACH-000041,-0.305164108544
ACH-000042,-0.319830380791
ACH-000045,0.0998837507065
ACH-000047,-0.346327605762
ACH-000052,-0.430424067325
ACH-000053,-0.237492518335
ACH-000054,-0.331975476577
ACH-000055,-0.413906060837
ACH-000060,-0.548070465576
ACH-000067,-0.23395047881499997
ACH-000070,-0.29371479880600004
ACH-000075,-0.259531564379
ACH-000078,-0.28453332095199996
ACH-000082,-0.250723125283
ACH-000085,-0.1981371621
ACH-000086,-0.551812238742
ACH-000087,-0.166911156272
ACH-000092,-0.213061952923
ACH-000095,-0.204489239458
ACH-000097,-0.291682623894
ACH-000098,-0.506933941912
ACH-000099,-0.331173736796
ACH-000108,-0.053598393889
ACH-000113,-0.245939572912
ACH-000115,-0.62626181821
ACH-000116,-0.645286859257
ACH-000118,-0.39724974964299997
ACH-000120,-0.389592915383
ACH-000123,-0.376031198962
ACH-000127,-0.543582046903
ACH-000128,-0.370140559871
ACH-000132,-0.497906356796
ACH-000133,-0.562501740188
ACH-000137,-0.573458637244
ACH-000138,-0.465791228076
ACH-000142,-0.5148460611760001
ACH-000143,-0.733547961244
ACH-000146,-0.309077198474
ACH-000148,-0.441579691687
ACH-000150,-0.280981082462
ACH-000152,-0.215247046861
ACH-000153,-0.395189867102
ACH-000159,-0.200991171609
ACH-000160,-0.827193916821
ACH-000163,-0.345772026412
ACH-000167,-0.28360705545299997
ACH-000168,-0.0118566967613
ACH-000169,-0.12192738760600001
ACH-000178,-0.30470047589899996
